PID;utime;stime;elapsed;cpu_usage
3317196;20;14;115;29
3317308;72;13;112;75
3317435;69;13;110;74
3317574;71;13;108;77
3317725;70;13;106;78
3317888;72;13;104;81
3318059;73;14;102;85
3318236;70;12;100;82
3318426;71;12;98;84
3318625;70;13;96;86
3318814;71;14;94;90
3318999;73;13;92;93
3319187;73;13;90;95
3319379;72;13;88;96
3319575;73;14;86;101
3319776;72;12;84;100
3319981;73;13;82;104
3320189;73;13;80;107
3320401;73;13;78;110
3320617;72;13;76;111
3320837;71;13;74;113
3321062;71;14;72;118
3321290;74;14;70;125
3321523;73;14;68;127
3321759;73;13;66;130
3321999;74;14;64;137
3322243;73;11;62;135
3322491;72;13;60;141
3322743;72;13;58;146
3323012;75;13;56;157
3323274;73;13;54;159
3323541;73;13;52;165
