PID;utime;stime;elapsed;cpu_usage
3512783;31;28;300;19
3512895;201;27;297;76
3513021;201;27;295;77
3513160;202;27;293;78
3513311;202;26;291;78
3513475;201;26;289;78
3513646;200;28;287;79
3513823;200;25;285;78
3514014;198;25;283;78
3514212;203;27;281;81
3514401;200;28;279;81
3514585;200;28;277;82
3514773;201;27;275;82
3514965;201;27;273;83
3515162;203;27;271;84
3515362;203;27;269;85
3515567;203;27;267;86
3515775;203;28;265;87
3515986;203;27;263;87
3516202;203;28;261;88
3516433;199;22;259;85
3516657;204;27;257;89
3516885;203;27;255;90
3517117;202;27;253;90
3517353;201;28;251;91
3517593;202;28;249;92
3517837;203;27;247;93
3518085;204;27;245;94
3518337;198;24;243;91
3518600;200;26;241;93
3518865;203;27;239;96
3519132;202;27;237;96
3519404;206;26;235;98
3519682;203;27;233;98
3519961;204;26;231;99
3520246;203;27;229;100
3520531;200;24;227;98
3520819;203;26;225;101
3521111;204;26;223;103
3521407;204;26;221;104
3521707;205;24;219;104
3522011;204;25;217;105
3522319;202;26;215;106
3522631;201;25;213;106
3522946;202;25;211;107
3523266;203;26;209;109
3523590;202;24;207;109
3523917;204;25;205;111
3524249;205;25;203;113
3524585;204;26;201;114
3524925;202;25;199;114
3525269;203;25;197;115
3525617;204;26;195;117
3525969;203;26;193;118
3526325;204;26;191;120
3526685;204;26;189;121
3527049;203;26;187;122
3527417;204;26;185;124
3527789;204;25;183;125
3528165;203;26;181;126
3528545;204;27;179;129
3528929;206;27;177;131
3529318;203;26;175;130
3529710;203;25;173;131
