PID;utime;stime;elapsed;cpu_usage
3199356;35;28;822;7
3199468;441;27;819;57
3199595;437;28;817;56
3199732;382;27;815;50
3199883;426;28;813;55
3200046;366;28;811;48
3200218;381;27;809;50
3200397;377;27;807;50
3200586;353;26;805;47
3200786;381;27;803;50
3200974;377;27;801;50
3201157;413;29;799;55
3201345;430;29;797;57
3201537;395;28;795;53
3201734;371;29;793;50
3201935;441;27;791;59
3202140;375;28;789;51
3202348;444;28;787;59
3202560;355;29;785;48
3202776;299;30;783;42
3202996;384;28;781;52
3203221;368;29;779;50
3203448;447;30;777;61
3203680;365;28;775;50
3203916;358;29;773;50
3204156;414;28;771;57
3204400;446;27;769;61
3204648;358;29;767;50
3204900;373;29;765;52
3205163;392;28;763;55
3205427;350;29;761;49
3205694;334;29;759;47
3205966;357;28;757;50
3206245;350;29;755;50
3206523;385;30;753;55
3206806;364;29;751;52
3207090;376;27;749;53
3207377;402;29;747;57
3207669;403;29;745;57
3207965;383;25;743;54
3208265;383;29;741;55
3208570;379;29;739;55
3208878;380;30;737;55
3209190;439;29;735;63
3209505;398;29;733;58
3209825;354;30;731;52
3210149;412;29;729;60
3210477;402;28;727;59
3210809;363;28;725;53
3211145;355;26;723;52
3211485;423;29;721;62
3211829;432;29;719;64
3212177;395;29;717;59
3212529;401;29;715;60
3212885;472;29;713;70
3213245;465;29;711;69
3213609;391;29;709;59
3213977;334;30;707;51
3214349;389;29;705;59
3214725;391;30;703;59
3215105;454;29;701;68
3215489;353;28;699;54
3215877;442;29;697;67
3216280;428;30;695;65
3216676;358;30;693;55
3217077;369;29;691;57
3217481;423;30;689;65
3217889;433;29;687;67
3218314;438;30;685;68
3218743;393;29;683;61
3219189;389;28;681;61
3219626;452;32;679;71
3220093;374;26;677;59
3220538;365;29;675;58
3221000;433;30;673;68
3221453;450;30;671;71
3221910;379;28;669;60
3222371;468;29;667;74
3222837;446;29;665;71
3223319;410;30;663;66
3223792;428;30;661;69
3224297;373;29;659;61
3224791;371;30;657;61
3225290;408;30;655;66
3225792;450;29;653;73
3226285;370;29;651;61
3226860;449;29;649;73
3227362;438;29;647;72
3227880;318;30;645;53
3228403;333;30;643;56
3228931;360;31;641;60
3229479;419;30;639;70
3230003;442;29;637;73
3230533;416;30;635;70
3231066;427;29;632;72
3231630;410;29;630;69
3232185;414;30;628;70
3232745;419;27;626;71
3233296;372;29;624;64
3233849;412;29;622;70
3234407;443;30;620;76
3234969;425;29;618;73
3235537;359;26;616;62
3236103;432;26;614;74
3236675;438;28;612;76
3237267;357;26;610;62
3237862;351;28;608;62
3238450;388;25;606;68
3239054;393;29;604;69
3239662;358;28;602;64
3240272;344;29;600;62
3240874;361;24;598;64
3241495;324;29;597;59
3242106;374;25;595;67
3242720;369;29;593;67
3243341;427;28;591;76
3243963;355;27;589;64
3244603;371;27;587;67
3245247;408;29;585;74
3245908;370;27;583;68
3246560;385;28;581;71
3247203;364;28;579;67
3247849;401;26;577;74
3248500;389;28;575;72
3249166;441;28;573;81
3249825;389;28;571;73
3250486;424;29;569;79
3251150;403;28;567;76
