Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;21.546035;7;7;0;36;42
1;40.351188;7;7;0;36;42
2;35.623395;7;7;0;36;42
3;9.339102;7;7;0;36;42
4;42.166202;7;7;0;36;42
5;13.560169;7;7;0;36;42
6;8.080397;7;7;0;36;42
7;10.740709;7;7;0;36;42
8;8.654582;7;7;0;36;42
9;7.170544;7;7;0;36;42
10;8.423209;7;7;0;36;42
11;8.744417;7;7;0;36;42
12;6.818035;7;7;0;36;42
13;6.405643;7;7;0;36;42
14;5.953501;7;7;0;36;42
15;6.183831;7;7;0;36;42
16;6.91937;7;7;0;36;42
17;6.876644;7;7;0;36;42
18;6.38038;7;7;0;36;42
19;6.37351;7;7;0;36;42
20;6.301461;7;7;0;36;42
21;6.672742;7;7;0;36;42
22;6.086543;7;7;0;36;42
23;5.090774;7;7;0;36;42
24;5.336189;7;7;0;36;42
25;6.544315;7;7;0;36;42
26;6.364088;7;7;0;36;42
27;5.474481;7;7;0;36;42
28;5.164162;7;7;0;36;42
29;8.053733;7;7;0;36;42
30;5.454028;7;7;0;36;42
31;5.726662;7;7;0;36;42
32;5.708785;7;7;0;36;42
33;6.608262;7;7;0;36;42
34;5.289726;7;7;0;36;42
35;9.840302;7;7;0;36;42
36;8.840793;7;7;0;36;42
37;5.573432;7;7;0;36;42
38;4.539291;7;7;0;36;42
39;4.987306;7;7;0;36;42
40;5.185128;7;7;0;36;42
41;5.385088;7;7;0;36;42
42;6.700216;7;7;0;36;42
43;4.926944;7;7;0;36;42
44;9.449931;7;7;0;36;42
45;22.943797;7;7;0;36;42
46;5.138165;7;7;0;36;42
47;5.425214;7;7;0;36;42
48;6.806737;7;7;0;36;42
49;8.824455;7;7;0;36;42
50;7.030126;7;7;0;36;42
51;7.452119;7;7;0;36;42
52;7.441275;7;7;0;36;42
53;4.773908;7;7;0;36;42
54;7.287672;7;7;0;36;42
55;5.923738;7;7;0;36;42
56;7.469873;7;7;0;36;42
57;5.883692;7;7;0;36;42
58;5.581972;7;7;0;36;42
59;4.723326;7;7;0;36;42
60;5.78461;7;7;0;36;42
61;5.183887;7;7;0;36;42
62;4.983969;7;7;0;36;42
63;6.133133;7;7;0;36;42
64;5.194456;7;7;0;36;42
65;4.577077;7;7;0;36;42
66;4.748477;7;7;0;36;42
67;3.988257;7;7;0;36;42
68;4.547662;7;7;0;36;42
69;4.749491;7;7;0;36;42
70;4.258705;7;7;0;36;42
71;4.737545;7;7;0;36;42
72;3.427422;7;7;0;36;42
73;4.913189;7;7;0;36;42
74;3.947102;7;7;0;36;42
75;3.512085;7;7;0;36;42
76;5.195164;7;7;0;36;42
77;4.170528;7;7;0;36;42
78;4.375004;7;7;0;36;42
79;3.809646;7;7;0;36;42
80;5.625119;7;7;0;36;42
81;4.639551;7;7;0;36;42
82;5.450921;7;7;0;36;42
83;5.147276;7;7;0;36;42
84;4.795415;7;7;0;36;42
85;3.523457;7;7;0;36;42
86;4.314118;7;7;0;36;42
87;3.464925;7;7;0;36;42
88;3.787869;7;7;0;36;42
89;5.868566;7;7;0;36;42
90;4.569903;7;7;0;36;42
91;3.41003;7;7;0;36;42
92;3.550751;7;7;0;36;42
93;4.083871;7;7;0;36;42
94;3.900595;7;7;0;36;42
95;3.819332;7;7;0;36;42
96;2.926158;7;7;0;36;42
97;3.378937;7;7;0;36;42
98;4.247589;7;7;0;36;42
99;3.579178;7;7;0;36;42
100;3.639599;7;7;0;36;42
101;5.229262;7;7;0;36;42
102;3.424397;7;7;0;36;42
103;4.329036;7;7;0;36;42
104;3.214036;7;7;0;36;42
105;5.267624;7;7;0;36;42
106;3.933091;7;7;0;36;42
107;3.396569;7;7;0;36;42
108;3.934579;7;7;0;36;42
109;3.752269;7;7;0;36;42
110;4.076087;7;7;0;36;42
111;3.337786;7;7;0;36;42
112;3.92367;7;7;0;36;42
113;3.921141;7;7;0;36;42
114;3.665919;7;7;0;36;42
115;4.162695;7;7;0;36;42
116;3.677616;7;7;0;36;42
117;3.579081;7;7;0;36;42
118;3.522024;7;7;0;36;42
119;2.881647;7;7;0;36;42
120;4.238294;7;7;0;36;42
121;4.276319;7;7;0;36;42
122;4.450945;7;7;0;36;42
123;3.53275;7;7;0;36;42
124;5.898398;7;7;0;36;42
125;3.486045;7;7;0;36;42
126;3.047169;7;7;0;36;42
127;3.915614;7;7;0;36;42
128;5.334308;7;7;0;36;42
129;4.517496;7;7;0;36;42
130;4.905756;7;7;0;36;42
131;4.943934;7;7;0;36;42
132;5.509708;7;7;0;36;42
133;7.382766;7;7;0;36;42
134;3.633065;7;7;0;36;42
135;2.794889;7;7;0;36;42
136;3.827915;7;7;0;36;42
137;3.749046;7;7;0;36;42
138;4.579952;7;7;0;36;42
139;3.507645;7;7;0;36;42
140;3.075492;7;7;0;36;42
141;3.543337;7;7;0;36;42
142;2.626975;7;7;0;36;42
143;3.465885;7;7;0;36;42
144;3.829339;7;7;0;36;42
145;3.693127;7;7;0;36;42
146;3.24034;7;7;0;36;42
147;3.694052;7;7;0;36;42
148;3.833684;7;7;0;36;42
149;3.524706;7;7;0;36;42
