Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;14529.15332;15;15;14;308;330
1;14097.26023;15;15;14;308;330
2;14091.935209;15;15;14;308;330
3;14067.460171;15;15;14;308;330
4;14069.670655;15;15;14;308;330
5;14076.853895;15;15;14;308;330
6;14045.827864;15;15;14;308;330
7;14065.15044;15;15;14;308;330
8;14058.38735;15;15;14;308;330
9;14061.629202;15;15;14;308;330
10;14035.177432;15;15;14;308;330
11;14037.863475;15;15;14;308;330
12;14047.240362;15;15;14;308;330
13;14051.615678;15;15;14;308;330
14;14043.371838;15;15;14;308;330
15;14052.062754;15;15;14;308;330
16;14058.817756;15;15;14;308;330
17;14055.970391;15;15;14;308;330
18;14056.316972;15;15;14;308;330
19;14043.563873;15;15;14;308;330
20;14042.502467;15;15;14;308;330
21;14040.724223;15;15;14;308;330
22;14036.9265;15;15;14;308;330
23;14042.656656;15;15;14;308;330
24;14040.547687;15;15;14;308;330
25;14047.393866;15;15;14;308;330
26;14039.524879;15;15;14;308;330
27;14036.902601;15;15;14;308;330
28;14041.839793;15;15;14;308;330
29;14032.074626;15;15;14;308;330
30;14043.464267;15;15;14;308;330
31;14037.385981;15;15;14;308;330
32;14043.717574;15;15;14;308;330
33;14042.039667;15;15;14;308;330
34;14042.512614;15;15;14;308;330
35;14039.560086;15;15;14;308;330
36;14036.311615;15;15;14;308;330
37;14041.512995;15;15;14;308;330
38;14037.249034;15;15;14;308;330
39;14033.965029;15;15;14;308;330
40;14036.451029;15;15;14;308;330
41;14038.546509;15;15;14;308;330
42;14036.911601;15;15;14;308;330
43;14042.695098;15;15;14;308;330
44;14038.977902;15;15;14;308;330
45;14035.436496;15;15;14;308;330
46;14043.853959;15;15;14;308;330
47;14035.440598;15;15;14;308;330
48;14043.996606;15;15;14;308;330
49;14033.794941;15;15;14;308;330
50;14032.612254;15;15;14;308;330
51;14037.027009;15;15;14;308;330
52;14038.291248;15;15;14;308;330
53;14040.819657;15;15;14;308;330
54;14037.091862;15;15;14;308;330
55;14047.032658;15;15;14;308;330
56;14035.17828;15;15;14;308;330
57;14040.065291;15;15;14;308;330
58;14035.452544;15;15;14;308;330
59;14053.249094;15;15;14;308;330
60;14033.738752;15;15;14;308;330
61;14040.192648;15;15;14;308;330
62;14040.30467;15;15;14;308;330
63;14045.167819;15;15;14;308;330
64;14040.027228;15;15;14;308;330
65;14033.81997;15;15;14;308;330
66;14047.566686;15;15;14;308;330
67;14040.172187;15;15;14;308;330
68;14035.39257;15;15;14;308;330
69;14033.613936;15;15;14;308;330
70;14036.360513;15;15;14;308;330
71;14034.57128;15;15;14;308;330
72;14035.689824;15;15;14;308;330
73;14036.087141;15;15;14;308;330
74;14035.036078;15;15;14;308;330
75;14037.354528;15;15;14;308;330
76;14036.436229;15;15;14;308;330
77;14036.352078;15;15;14;308;330
78;14036.11398;15;15;14;308;330
79;14032.072628;15;15;14;308;330
80;14034.588206;15;15;14;308;330
81;14035.642088;15;15;14;308;330
82;14039.840938;15;15;14;308;330
83;14039.443476;15;15;14;308;330
84;14042.004696;15;15;14;308;330
85;14033.522615;15;15;14;308;330
86;14047.15416;15;15;14;308;330
87;14034.505468;15;15;14;308;330
88;14049.160736;15;15;14;308;330
89;14039.523662;15;15;14;308;330
90;14039.911073;15;15;14;308;330
91;14037.758208;15;15;14;308;330
92;14038.165082;15;15;14;308;330
93;14037.434048;15;15;14;308;330
94;14035.253974;15;15;14;308;330
95;14039.167862;15;15;14;308;330
96;14033.653726;15;15;14;308;330
97;14041.469127;15;15;14;308;330
98;14044.555059;15;15;14;308;330
99;14047.552093;15;15;14;308;330
100;14050.952459;15;15;14;308;330
101;14037.679046;15;15;14;308;330
102;14044.882599;15;15;14;308;330
103;14036.359227;15;15;14;308;330
104;14039.74991;15;15;14;308;330
105;14037.767141;15;15;14;308;330
106;14043.051785;15;15;14;308;330
107;14041.720012;15;15;14;308;330
108;14038.197113;15;15;14;308;330
109;14035.775164;15;15;14;308;330
110;14041.487849;15;15;14;308;330
111;14037.844645;15;15;14;308;330
112;14047.403796;15;15;14;308;330
113;14042.585571;15;15;14;308;330
114;14034.425045;15;15;14;308;330
115;14061.329721;15;15;14;308;330
116;14035.74196;15;15;14;308;330
117;14052.887086;15;15;14;308;330
118;14050.128396;15;15;14;308;330
119;14039.161979;15;15;14;308;330
120;14056.949728;15;15;14;308;330
121;14035.810074;15;15;14;308;330
122;14046.99745;15;15;14;308;330
123;14046.622689;15;15;14;308;330
124;14037.265354;15;15;14;308;330
125;14040.81715;15;15;14;308;330
126;14051.649772;15;15;14;308;330
127;14045.21379;15;15;14;308;330
128;14047.885246;15;15;14;308;330
129;14041.208388;15;15;14;308;330
130;14045.569507;15;15;14;308;330
131;14038.858772;15;15;14;308;330
132;14044.952309;15;15;14;308;330
133;14046.630896;15;15;14;308;330
134;14044.919194;15;15;14;308;330
135;14035.798066;15;15;14;308;330
136;14051.268768;15;15;14;308;330
137;14044.410741;15;15;14;308;330
138;14044.011278;15;15;14;308;330
139;14034.084234;15;15;14;308;330
140;14046.543893;15;15;14;308;330
141;14048.368562;15;15;14;308;330
142;14047.464533;15;15;14;308;330
143;14048.816179;15;15;14;308;330
144;14037.273566;15;15;14;308;330
145;14055.69958;15;15;14;308;330
146;14041.532112;15;15;14;308;330
147;14041.478232;15;15;14;308;330
148;14044.997604;15;15;14;308;330
149;14048.429727;15;15;14;308;330
150;14036.224525;15;15;14;308;330
151;14038.558092;15;15;14;308;330
152;14045.860484;15;15;14;308;330
153;14043.669128;15;15;14;308;330
154;14044.81641;15;15;14;308;330
155;14050.121897;15;15;14;308;330
156;14037.959845;15;15;14;308;330
157;14041.579981;15;15;14;308;330
158;14047.436363;15;15;14;308;330
159;14050.294163;15;15;14;308;330
160;14047.560638;15;15;14;308;330
161;14062.091312;15;15;14;308;330
162;14051.785413;15;15;14;308;330
163;14055.393304;15;15;14;308;330
164;14041.654948;15;15;14;308;330
165;14040.673001;15;15;14;308;330
166;14045.933918;15;15;14;308;330
167;14049.364681;15;15;14;308;330
168;14041.746035;15;15;14;308;330
169;14044.212296;15;15;14;308;330
170;14046.646429;15;15;14;308;330
171;14042.17922;15;15;14;308;330
172;14038.183313;15;15;14;308;330
173;14048.607772;15;15;14;308;330
174;14051.143047;15;15;14;308;330
175;14049.814656;15;15;14;308;330
176;14049.936815;15;15;14;308;330
177;14042.394861;15;15;14;308;330
178;14044.027023;15;15;14;308;330
179;14048.171288;15;15;14;308;330
180;14041.597364;15;15;14;308;330
181;14056.063577;15;15;14;308;330
182;14048.299575;15;15;14;308;330
183;14045.158423;15;15;14;308;330
184;14050.064336;15;15;14;308;330
185;14039.080126;15;15;14;308;330
186;14046.520595;15;15;14;308;330
187;14063.919588;15;15;14;308;330
188;14040.925399;15;15;14;308;330
189;14039.755518;15;15;14;308;330
190;14048.599486;15;15;14;308;330
191;14047.688935;15;15;14;308;330
192;14041.446073;15;15;14;308;330
193;14044.821487;15;15;14;308;330
194;14043.155687;15;15;14;308;330
195;14054.41435;15;15;14;308;330
196;14048.364236;15;15;14;308;330
197;14042.884674;15;15;14;308;330
198;14047.524336;15;15;14;308;330
199;14060.509919;15;15;14;308;330
200;14044.259519;15;15;14;308;330
201;14047.78409;15;15;14;308;330
202;14069.992591;15;15;14;308;330
203;14051.819388;15;15;14;308;330
204;14053.586528;15;15;14;308;330
205;14047.842494;15;15;14;308;330
206;14052.799464;15;15;14;308;330
207;14047.961758;15;15;14;308;330
208;14073.785111;15;15;14;308;330
209;14051.308626;15;15;14;308;330
210;14043.296882;15;15;14;308;330
211;14045.720839;15;15;14;308;330
212;14050.575873;15;15;14;308;330
213;14049.585297;15;15;14;308;330
214;14060.089571;15;15;14;308;330
215;14044.774444;15;15;14;308;330
216;14053.498999;15;15;14;308;330
217;14047.808266;15;15;14;308;330
218;14046.821426;15;15;14;308;330
219;14045.021596;15;15;14;308;330
220;14054.701772;15;15;14;308;330
221;14044.44767;15;15;14;308;330
222;14058.446986;15;15;14;308;330
223;14052.327166;15;15;14;308;330
224;14044.303736;15;15;14;308;330
225;14042.643918;15;15;14;308;330
226;14057.418206;15;15;14;308;330
227;14045.964558;15;15;14;308;330
228;14061.299952;15;15;14;308;330
229;14060.816069;15;15;14;308;330
230;14052.223447;15;15;14;308;330
231;14044.114674;15;15;14;308;330
232;14050.598015;15;15;14;308;330
233;14058.107313;15;15;14;308;330
234;14051.778328;15;15;14;308;330
