Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;2023-02-08T12:06:12.703176261;11047.688198;12;12;11;55;60
1;2023-02-08T12:06:23.853165239;11020.501209;12;12;11;55;60
2;2023-02-08T12:06:34.974009976;11024.799758;12;12;11;55;60
3;2023-02-08T12:06:46.099611887;11021.698589;12;12;11;55;60
4;2023-02-08T12:06:57.221800068;11016.634198;12;12;11;55;60
5;2023-02-08T12:07:08.338859661;11013.586089;12;12;11;55;60
6;2023-02-08T12:07:19.452726905;11013.582024;12;12;11;55;60
7;2023-02-08T12:07:30.567047953;11016.494236;12;12;11;55;60
8;2023-02-08T12:07:41.683977149;11017.032467;12;12;11;55;60
9;2023-02-08T12:07:52.801442411;11013.897077;12;12;11;55;60
10;2023-02-08T12:08:03.915644761;11016.226446;12;12;11;55;60
11;2023-02-08T12:08:15.033172269;11016.856531;12;12;11;55;60
12;2023-02-08T12:08:26.150919470;11013.888197;12;12;11;55;60
13;2023-02-08T12:08:37.265096595;11013.699436;12;12;11;55;60
14;2023-02-08T12:08:48.379232207;11011.303896;12;12;11;55;60
15;2023-02-08T12:08:59.490784863;11013.206095;12;12;11;55;60
16;2023-02-08T12:09:10.604419464;11012.949332;12;12;11;55;60
17;2023-02-08T12:09:21.717619595;11010.796879;12;12;11;55;60
18;2023-02-08T12:09:32.828641394;11011.627394;12;12;11;55;60
19;2023-02-08T12:09:43.940562928;11011.562332;12;12;11;55;60
20;2023-02-08T12:09:55.052368117;11012.818924;12;12;11;55;60
21;2023-02-08T12:10:06.165471113;11011.285158;12;12;11;55;60
22;2023-02-08T12:10:17.277006297;11009.79359;12;12;11;55;60
23;2023-02-08T12:10:28.387022687;11011.10378;12;12;11;55;60
24;2023-02-08T12:10:39.498357178;11012.438062;12;12;11;55;60
25;2023-02-08T12:10:50.611129237;11012.588837;12;12;11;55;60
26;2023-02-08T12:11:01.724215071;11010.058761;12;12;11;55;60
27;2023-02-08T12:11:12.834799575;11010.076561;12;12;11;55;60
28;2023-02-08T12:11:23.945114701;11010.232593;12;12;11;55;60
29;2023-02-08T12:11:35.055607160;11010.009034;12;12;11;55;60
30;2023-02-08T12:11:46.165892367;11009.251227;12;12;11;55;60
31;2023-02-08T12:11:57.275405406;11010.735434;12;12;11;55;60
32;2023-02-08T12:12:08.386411795;11010.031039;12;12;11;55;60
33;2023-02-08T12:12:19.496732406;11009.057461;12;12;11;55;60
34;2023-02-08T12:12:30.606034405;11009.54286;12;12;11;55;60
35;2023-02-08T12:12:41.715837451;11009.73102;12;12;11;55;60
36;2023-02-08T12:12:52.825861821;11009.461529;12;12;11;55;60
37;2023-02-08T12:13:03.935586882;11009.068645;12;12;11;55;60
38;2023-02-08T12:13:15.044879069;11008.451276;12;12;11;55;60
39;2023-02-08T12:13:26.153551049;11008.998385;12;12;11;55;60
40;2023-02-08T12:13:37.262780478;11008.107705;12;12;11;55;60
41;2023-02-08T12:13:48.371112373;11008.327399;12;12;11;55;60
42;2023-02-08T12:13:59.479675381;11008.473414;12;12;11;55;60
43;2023-02-08T12:14:10.588378762;11008.92823;12;12;11;55;60
44;2023-02-08T12:14:21.697536721;11008.22839;12;12;11;55;60
45;2023-02-08T12:14:32.805977743;11008.400637;12;12;11;55;60
46;2023-02-08T12:14:43.914600779;11008.698631;12;12;11;55;60
47;2023-02-08T12:14:55.023553481;11008.505261;12;12;11;55;60
48;2023-02-08T12:15:06.132275128;11010.065023;12;12;11;55;60
49;2023-02-08T12:15:17.242735180;11009.150403;12;12;11;55;60
50;2023-02-08T12:15:28.352109135;11010.992887;12;12;11;55;60
51;2023-02-08T12:15:39.463475840;11009.29464;12;12;11;55;60
52;2023-02-08T12:15:50.572998780;11008.838618;12;12;11;55;60
53;2023-02-08T12:16:01.682099388;11008.433411;12;12;11;55;60
54;2023-02-08T12:16:12.790768279;11007.597966;12;12;11;55;60
55;2023-02-08T12:16:23.898648756;11007.553385;12;12;11;55;60
56;2023-02-08T12:16:35.006475864;11008.274217;12;12;11;55;60
57;2023-02-08T12:16:46.114981496;11010.818765;12;12;11;55;60
58;2023-02-08T12:16:57.226085291;11008.541609;12;12;11;55;60
59;2023-02-08T12:17:08.334838246;11008.566338;12;12;11;55;60
60;2023-02-08T12:17:19.443639579;11008.984208;12;12;11;55;60
61;2023-02-08T12:17:30.552851080;11008.71403;12;12;11;55;60
62;2023-02-08T12:17:41.661797450;11008.424457;12;12;11;55;60
63;2023-02-08T12:17:52.770432681;11008.198364;12;12;11;55;60
64;2023-02-08T12:18:03.878840733;11008.342164;12;12;11;55;60
65;2023-02-08T12:18:14.987436194;11007.796547;12;12;11;55;60
66;2023-02-08T12:18:26.095438334;11008.81756;12;12;11;55;60
67;2023-02-08T12:18:37.204467965;11007.851491;12;12;11;55;60
68;2023-02-08T12:18:48.312556528;11008.184921;12;12;11;55;60
69;2023-02-08T12:18:59.420940684;11008.74359;12;12;11;55;60
70;2023-02-08T12:19:10.529959164;11008.354184;12;12;11;55;60
71;2023-02-08T12:19:21.638540276;11007.609783;12;12;11;55;60
72;2023-02-08T12:19:32.746447657;11008.632343;12;12;11;55;60
73;2023-02-08T12:19:43.855335347;11009.354558;12;12;11;55;60
74;2023-02-08T12:19:54.965062773;11008.225045;12;12;11;55;60
75;2023-02-08T12:20:06.073649370;11008.160245;12;12;11;55;60
76;2023-02-08T12:20:17.182027121;11007.475938;12;12;11;55;60
77;2023-02-08T12:20:28.289757459;11008.333001;12;12;11;55;60
78;2023-02-08T12:20:39.398325845;11007.514663;12;12;11;55;60
79;2023-02-08T12:20:50.506065202;11007.95359;12;12;11;55;60
80;2023-02-08T12:21:01.614272595;11007.222799;12;12;11;55;60
81;2023-02-08T12:21:12.721703694;11007.94761;12;12;11;55;60
