Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;3637.167706;10;10;9;45;50
1;3623.121954;10;10;9;45;50
2;3620.562041;10;10;9;45;50
3;3616.350816;10;10;9;45;50
4;3617.417918;10;10;9;45;50
5;3619.691355;10;10;9;45;50
6;3615.08956;10;10;9;45;50
7;3613.828734;10;10;9;45;50
8;3612.671453;10;10;9;45;50
9;3614.406486;10;10;9;45;50
10;3613.263297;10;10;9;45;50
11;3613.839808;10;10;9;45;50
12;3612.023264;10;10;9;45;50
13;3613.583475;10;10;9;45;50
14;3613.335996;10;10;9;45;50
15;3613.213704;10;10;9;45;50
16;3611.22619;10;10;9;45;50
17;3612.524015;10;10;9;45;50
18;3611.360637;10;10;9;45;50
19;3610.541311;10;10;9;45;50
20;3610.45644;10;10;9;45;50
21;3611.447104;10;10;9;45;50
22;3610.238485;10;10;9;45;50
23;3609.804679;10;10;9;45;50
24;3610.734737;10;10;9;45;50
25;3610.862579;10;10;9;45;50
26;3609.393621;10;10;9;45;50
27;3609.878103;10;10;9;45;50
28;3610.128356;10;10;9;45;50
29;3608.740846;10;10;9;45;50
30;3609.150763;10;10;9;45;50
31;3609.144035;10;10;9;45;50
32;3609.539399;10;10;9;45;50
33;3608.981274;10;10;9;45;50
34;3609.427693;10;10;9;45;50
35;3609.204553;10;10;9;45;50
36;3608.753803;10;10;9;45;50
37;3610.150661;10;10;9;45;50
38;3610.207211;10;10;9;45;50
39;3608.321227;10;10;9;45;50
40;3609.229922;10;10;9;45;50
41;3608.012795;10;10;9;45;50
42;3608.801574;10;10;9;45;50
43;3607.791928;10;10;9;45;50
44;3606.235739;10;10;9;45;50
45;3606.362601;10;10;9;45;50
46;3607.097815;10;10;9;45;50
47;3608.042024;10;10;9;45;50
48;3607.411734;10;10;9;45;50
49;3607.427904;10;10;9;45;50
50;3606.81994;10;10;9;45;50
51;3607.125559;10;10;9;45;50
52;3607.107574;10;10;9;45;50
53;3606.880923;10;10;9;45;50
54;3606.419328;10;10;9;45;50
55;3606.883209;10;10;9;45;50
56;3606.593244;10;10;9;45;50
57;3606.073351;10;10;9;45;50
58;3607.872721;10;10;9;45;50
59;3606.182164;10;10;9;45;50
60;3607.257718;10;10;9;45;50
61;3606.969919;10;10;9;45;50
62;3607.130434;10;10;9;45;50
63;3606.516422;10;10;9;45;50
64;3607.229597;10;10;9;45;50
65;3607.114518;10;10;9;45;50
66;3606.828728;10;10;9;45;50
67;3606.666373;10;10;9;45;50
68;3607.01478;10;10;9;45;50
69;3608.234601;10;10;9;45;50
70;3607.050035;10;10;9;45;50
71;3606.958802;10;10;9;45;50
72;3606.082043;10;10;9;45;50
73;3605.901531;10;10;9;45;50
74;3605.744013;10;10;9;45;50
75;3606.433364;10;10;9;45;50
76;3606.767844;10;10;9;45;50
77;3606.491506;10;10;9;45;50
78;3607.34841;10;10;9;45;50
79;3605.752471;10;10;9;45;50
80;3606.19204;10;10;9;45;50
81;3606.447253;10;10;9;45;50
82;3605.976748;10;10;9;45;50
83;3606.046402;10;10;9;45;50
84;3606.593426;10;10;9;45;50
85;3605.978375;10;10;9;45;50
86;3606.044052;10;10;9;45;50
87;3605.900034;10;10;9;45;50
88;3606.806436;10;10;9;45;50
89;3605.605908;10;10;9;45;50
90;3605.278291;10;10;9;45;50
91;3606.21529;10;10;9;45;50
92;3605.883881;10;10;9;45;50
93;3605.623523;10;10;9;45;50
94;3606.070888;10;10;9;45;50
95;3605.897903;10;10;9;45;50
96;3605.689725;10;10;9;45;50
97;3605.630867;10;10;9;45;50
98;3606.07591;10;10;9;45;50
99;3605.432528;10;10;9;45;50
100;3606.131694;10;10;9;45;50
101;3605.842339;10;10;9;45;50
102;3605.882723;10;10;9;45;50
103;3605.907585;10;10;9;45;50
104;3605.418143;10;10;9;45;50
105;3605.982674;10;10;9;45;50
106;3606.208975;10;10;9;45;50
