Id;StartingWallTime;Texec;expectedH;realH;neededMessages;processedMessages
0;2023-01-31T14:13:03.585123736;165.092892;1;1;62;93
1;2023-01-31T14:13:03.851360971;67.721793;1;1;62;93
2;2023-01-31T14:13:04.019543539;87.295963;1;1;62;93
3;2023-01-31T14:13:04.208285626;50.531441;1;1;62;93
4;2023-01-31T14:13:04.359613792;51.771247;1;1;62;93
5;2023-01-31T14:13:04.511937014;89.305778;1;1;62;93
6;2023-01-31T14:13:04.701738086;40.370294;1;1;62;93
7;2023-01-31T14:13:04.842632881;49.122108;1;1;62;93
8;2023-01-31T14:13:04.992127531;85.601313;1;1;62;93
9;2023-01-31T14:13:05.178283340;75.363314;1;1;62;93
10;2023-01-31T14:13:05.354275698;63.53262;1;1;62;93
11;2023-01-31T14:13:05.518437428;96.106186;1;1;62;93
12;2023-01-31T14:13:05.715187503;37.627653;1;1;62;93
13;2023-01-31T14:13:05.853310048;52.664854;1;1;62;93
14;2023-01-31T14:13:06.006458138;50.711188;1;1;62;93
15;2023-01-31T14:13:06.157643932;33.089406;1;1;62;93
16;2023-01-31T14:13:06.291117834;42.769192;1;1;62;93
17;2023-01-31T14:13:06.434241398;32.97456;1;1;62;93
18;2023-01-31T14:13:06.567714438;41.385331;1;1;62;93
19;2023-01-31T14:13:06.709526518;31.240512;1;1;62;93
20;2023-01-31T14:13:06.841176725;29.341856;1;1;62;93
21;2023-01-31T14:13:06.970901804;27.869761;1;1;62;93
22;2023-01-31T14:13:07.099202767;29.985684;1;1;62;93
23;2023-01-31T14:13:07.229643605;28.132066;1;1;62;93
24;2023-01-31T14:13:07.358237346;29.173877;1;1;62;93
25;2023-01-31T14:13:07.487834280;28.2826;1;1;62;93
26;2023-01-31T14:13:07.616562576;33.816943;1;1;62;93
27;2023-01-31T14:13:07.750698352;30.278321;1;1;62;93
28;2023-01-31T14:13:07.881450272;53.898009;1;1;62;93
29;2023-01-31T14:13:08.036252368;74.104146;1;1;62;93
30;2023-01-31T14:13:08.210827481;53.928508;1;1;62;93
31;2023-01-31T14:13:08.365301904;40.128575;1;1;62;93
32;2023-01-31T14:13:08.505949811;32.547118;1;1;62;93
33;2023-01-31T14:13:08.638902199;26.769418;1;1;62;93
34;2023-01-31T14:13:08.766124717;50.867553;1;1;62;93
35;2023-01-31T14:13:08.917605667;44.85961;1;1;62;93
36;2023-01-31T14:13:09.063063560;54.573558;1;1;62;93
37;2023-01-31T14:13:09.218202169;106.784579;1;1;62;93
38;2023-01-31T14:13:09.425808476;79.521022;1;1;62;93
39;2023-01-31T14:13:09.605843136;54.658453;1;1;62;93
40;2023-01-31T14:13:09.761052697;39.771653;1;1;62;93
41;2023-01-31T14:13:09.901196237;41.364862;1;1;62;93
42;2023-01-31T14:13:10.043050928;33.702158;1;1;62;93
43;2023-01-31T14:13:10.177162731;29.527647;1;1;62;93
44;2023-01-31T14:13:10.307122994;26.977944;1;1;62;93
45;2023-01-31T14:13:10.434678411;24.961274;1;1;62;93
46;2023-01-31T14:13:10.560111331;24.795871;1;1;62;93
47;2023-01-31T14:13:10.685362788;23.768271;1;1;62;93
48;2023-01-31T14:13:10.809502979;23.776812;1;1;62;93
49;2023-01-31T14:13:10.933662792;23.511526;1;1;62;93
50;2023-01-31T14:13:11.057552321;24.184084;1;1;62;93
51;2023-01-31T14:13:11.182162463;22.220481;1;1;62;93
52;2023-01-31T14:13:11.304797868;23.903583;1;1;62;93
53;2023-01-31T14:13:11.429134947;34.634641;1;1;62;93
54;2023-01-31T14:13:11.564199927;30.115671;1;1;62;93
55;2023-01-31T14:13:11.694676411;33.894082;1;1;62;93
56;2023-01-31T14:13:11.829096214;22.566768;1;1;62;93
57;2023-01-31T14:13:11.952127226;48.821783;1;1;62;93
58;2023-01-31T14:13:12.101380090;43.497487;1;1;62;93
59;2023-01-31T14:13:12.245246830;49.818709;1;1;62;93
60;2023-01-31T14:13:12.395495396;33.391148;1;1;62;93
