Id;Texec;expectedH;realH;neededMessages;processedMessages
0;97.664487;8;8;135;150
1;62.755163;8;8;135;150
2;42.802853;8;8;135;150
3;27.248976;8;8;135;150
4;25.726214;8;8;135;150
5;39.336904;8;8;135;150
6;43.940784;8;8;135;150
7;54.528661;8;8;135;150
8;53.360996;8;8;135;150
9;36.042239;8;8;135;150
10;41.724783;8;8;135;150
11;27.65628;8;8;135;150
12;23.887643;8;8;135;150
13;24.027033;8;8;135;150
14;18.983305;8;8;135;150
15;15.028093;8;8;135;150
16;19.411524;8;8;135;150
17;19.06361;8;8;135;150
18;27.317017;8;8;135;150
19;32.147015;8;8;135;150
20;29.14477;8;8;135;150
21;40.570014;8;8;135;150
22;41.365649;8;8;135;150
23;27.890299;8;8;135;150
24;21.858419;8;8;135;150
25;24.431777;8;8;135;150
26;13.725324;8;8;135;150
27;13.660828;8;8;135;150
28;16.029259;8;8;135;150
29;19.953489;8;8;135;150
30;11.885308;8;8;135;150
31;15.435702;8;8;135;150
32;12.780802;8;8;135;150
33;14.020709;8;8;135;150
34;10.96879;8;8;135;150
35;17.123114;8;8;135;150
36;17.366586;8;8;135;150
37;17.281562;8;8;135;150
38;15.476946;8;8;135;150
39;12.190855;8;8;135;150
40;12.69421;8;8;135;150
41;11.362511;8;8;135;150
42;19.323116;8;8;135;150
43;18.963434;8;8;135;150
44;16.002957;8;8;135;150
45;12.0815;8;8;135;150
46;10.061069;8;8;135;150
47;9.471831;8;8;135;150
48;10.048389;8;8;135;150
49;10.48524;8;8;135;150
50;23.435009;8;8;135;150
51;20.838832;8;8;135;150
52;9.571009;8;8;135;150
53;34.634228;8;8;135;150
54;25.998033;8;8;135;150
55;25.66887;8;8;135;150
56;21.06148;8;8;135;150
57;29.983125;8;8;135;150
58;40.81489;8;8;135;150
59;9.579679;8;8;135;150
60;9.610621;8;8;135;150
61;9.512852;8;8;135;150
62;21.565898;8;8;135;150
63;9.547998;8;8;135;150
64;10.264241;8;8;135;150
65;9.633043;8;8;135;150
66;9.067629;8;8;135;150
67;8.717805;8;8;135;150
68;8.530098;8;8;135;150
69;10.147169;8;8;135;150
70;12.273336;8;8;135;150
71;9.286146;8;8;135;150
72;10.329991;8;8;135;150
73;8.968212;8;8;135;150
74;9.104855;8;8;135;150
75;10.046842;8;8;135;150
76;10.007827;8;8;135;150
77;9.502185;8;8;135;150
78;9.563951;8;8;135;150
79;9.962103;8;8;135;150
80;10.86499;8;8;135;150
81;9.13692;8;8;135;150
82;12.049204;8;8;135;150
83;10.330677;8;8;135;150
84;9.586757;8;8;135;150
85;9.080911;8;8;135;150
