Id;Texec;expectedH;realH;neededMessages
0;6035.68425;8;8;918
1;3527.997231;8;8;918
2;2586.554359;8;8;918
3;1974.76754;8;8;918
4;2118.686408;8;8;918
5;2290.363739;8;8;918
6;3680.496581;8;8;918
7;5137.50728;8;8;918
8;4661.379176;8;8;918
9;2983.421898;8;8;918
10;2582.111527;8;8;918
11;2631.12025;8;8;918
12;1920.756601;8;8;918
13;1909.33909;8;8;918
14;1936.024032;8;8;918
15;1986.874446;8;8;918
16;1765.293725;8;8;918
17;1406.297461;8;8;918
18;1355.426447;8;8;918
19;1290.779169;8;8;918
20;1296.488098;8;8;918
21;1337.600663;8;8;918
22;1332.534153;8;8;918
23;1256.013065;8;8;918
24;1288.308197;8;8;918
25;1327.482587;8;8;918
26;1273.356488;8;8;918
27;1317.193975;8;8;918
28;1380.704777;8;8;918
29;1283.983282;8;8;918
30;1353.515918;8;8;918
31;1365.644101;8;8;918
32;1334.144521;8;8;918
33;1396.342567;8;8;918
34;1392.164961;8;8;918
35;1325.830339;8;8;918
36;1310.624948;8;8;918
37;1647.527043;8;8;918
38;1574.113917;8;8;918
39;1323.715866;8;8;918
40;1391.5115;8;8;918
41;1403.216039;8;8;918
42;1355.989137;8;8;918
43;1320.039443;8;8;918
44;1227.646434;8;8;918
45;1217.563634;8;8;918
46;1280.266125;8;8;918
47;1283.217944;8;8;918
48;1289.362403;8;8;918
49;1380.895619;8;8;918
50;1247.300698;8;8;918
51;1275.684003;8;8;918
52;1250.896977;8;8;918
53;1245.078986;8;8;918
54;1277.125595;8;8;918
55;1200.843092;8;8;918
56;1286.464113;8;8;918
57;1321.413114;8;8;918
58;1257.528073;8;8;918
59;1260.727364;8;8;918
60;1283.157058;8;8;918
61;1247.829664;8;8;918
62;1310.782283;8;8;918
63;1243.774028;8;8;918
64;1512.707432;8;8;918
65;1391.644548;8;8;918
66;1534.223285;8;8;918
67;1386.406331;8;8;918
68;1340.210423;8;8;918
69;1341.539688;8;8;918
70;1351.081266;8;8;918
71;1395.666637;8;8;918
72;1317.491082;8;8;918
73;1383.118953;8;8;918
74;1503.128123;8;8;918
75;1330.454067;8;8;918
76;1257.363105;8;8;918
77;1260.893292;8;8;918
78;1192.689287;8;8;918
79;1350.307814;8;8;918
80;1263.039813;8;8;918
81;1241.939802;8;8;918
82;1241.02148;8;8;918
83;1238.715621;8;8;918
84;1255.837754;8;8;918
85;1259.016699;8;8;918
86;1292.017081;8;8;918
87;1220.153301;8;8;918
88;1300.654789;8;8;918
89;1315.270885;8;8;918
90;1190.690756;8;8;918
91;1278.277546;8;8;918
92;1238.600698;8;8;918
93;1374.745945;8;8;918
94;1305.668165;8;8;918
95;1285.342113;8;8;918
96;1284.211637;8;8;918
97;1277.765196;8;8;918
98;1300.383394;8;8;918
99;1397.73118;8;8;918
100;1275.625828;8;8;918
101;1349.78189;8;8;918
102;1357.238912;8;8;918
103;1293.264977;8;8;918
104;1367.454777;8;8;918
105;1502.414481;8;8;918
106;1590.389858;8;8;918
107;1287.092669;8;8;918
108;1258.462557;8;8;918
109;1293.706455;8;8;918
110;1353.84345;8;8;918
111;1342.168846;8;8;918
112;1308.787087;8;8;918
113;1252.738734;8;8;918
114;1292.354591;8;8;918
115;1174.937339;8;8;918
116;1256.400023;8;8;918
117;1231.389476;8;8;918
118;1233.587698;8;8;918
119;1301.306844;8;8;918
120;1273.748647;8;8;918
121;1290.731367;8;8;918
122;1243.11236;8;8;918
123;1242.459867;8;8;918
124;1233.422808;8;8;918
125;1328.31264;8;8;918
126;1412.328162;8;8;918
127;1215.259526;8;8;918
128;1284.337358;8;8;918
129;1360.348429;8;8;918
130;1266.802437;8;8;918
131;1248.479278;8;8;918
132;1337.836176;8;8;918
133;1253.359315;8;8;918
134;1239.878952;8;8;918
135;1187.876213;8;8;918
136;1240.670471;8;8;918
137;1336.654432;8;8;918
138;1249.270387;8;8;918
139;1227.531382;8;8;918
140;1202.040092;8;8;918
141;1264.870209;8;8;918
142;1200.544501;8;8;918
143;1196.921062;8;8;918
144;1233.838067;8;8;918
145;1298.819606;8;8;918
146;1246.645541;8;8;918
147;1167.926101;8;8;918
148;1260.02696;8;8;918
149;1203.592005;8;8;918
150;1210.78536;8;8;918
151;1279.017197;8;8;918
152;1228.075599;8;8;918
153;1297.693177;8;8;918
154;1288.936773;8;8;918
155;1188.512987;8;8;918
156;1248.263554;8;8;918
157;1322.485152;8;8;918
158;1210.976649;8;8;918
159;1239.531829;8;8;918
160;1314.228254;8;8;918
161;1215.81035;8;8;918
162;1274.221071;8;8;918
163;1258.72059;8;8;918
164;1297.259772;8;8;918
165;1211.535678;8;8;918
166;1229.156153;8;8;918
167;1239.832702;8;8;918
168;1232.675462;8;8;918
169;1194.474025;8;8;918
170;1223.579142;8;8;918
171;1320.878403;8;8;918
172;1290.812301;8;8;918
173;1180.894741;8;8;918
174;1274.334597;8;8;918
175;1229.032519;8;8;918
176;1244.137942;8;8;918
177;1248.573341;8;8;918
178;1255.734429;8;8;918
179;1325.917473;8;8;918
180;1295.820314;8;8;918
181;1325.05032;8;8;918
182;1383.088863;8;8;918
183;1346.078834;8;8;918
184;1286.460645;8;8;918
185;1268.043855;8;8;918
186;1362.176557;8;8;918
187;1303.772853;8;8;918
188;1234.115461;8;8;918
189;1595.329143;8;8;918
190;1290.398355;8;8;918
191;1508.747324;8;8;918
192;1291.595857;8;8;918
193;1274.86979;8;8;918
194;1247.064887;8;8;918
195;1235.819461;8;8;918
196;1532.90016;8;8;918
197;1240.620229;8;8;918
198;1235.419203;8;8;918
199;1211.132871;8;8;918
200;1283.804426;8;8;918
201;1256.074577;8;8;918
202;1344.345988;8;8;918
203;1210.737614;8;8;918
204;1262.354342;8;8;918
205;1244.685517;8;8;918
206;1164.19717;8;8;918
207;1217.814339;8;8;918
208;1229.086465;8;8;918
209;1465.775603;8;8;918
210;1226.570602;8;8;918
211;1242.947221;8;8;918
212;1235.332707;8;8;918
213;1237.356514;8;8;918
214;1248.407518;8;8;918
215;1256.463927;8;8;918
216;1257.540688;8;8;918
217;1271.124328;8;8;918
218;1375.088248;8;8;918
219;1309.031577;8;8;918
220;1321.450338;8;8;918
221;1221.030094;8;8;918
222;1276.277993;8;8;918
223;1186.714922;8;8;918
224;1355.952072;8;8;918
225;1333.159985;8;8;918
226;1183.811741;8;8;918
227;1282.241607;8;8;918
228;1203.298235;8;8;918
229;1282.270517;8;8;918
230;1388.104897;8;8;918
231;1417.748748;8;8;918
232;1359.094242;8;8;918
233;1278.645464;8;8;918
234;1200.357191;8;8;918
235;1265.698806;8;8;918
236;1244.754602;8;8;918
237;1310.326526;8;8;918
238;1172.944924;8;8;918
239;1278.580945;8;8;918
240;1240.942495;8;8;918
241;1215.029178;8;8;918
242;1279.366138;8;8;918
243;1324.731775;8;8;918
244;1309.028427;8;8;918
245;1192.75418;8;8;918
246;1176.478288;8;8;918
247;1234.311255;8;8;918
248;1134.366549;8;8;918
249;1228.513465;8;8;918
250;1183.543664;8;8;918
251;1338.229725;8;8;918
252;1253.986202;8;8;918
253;1304.176202;8;8;918
254;1272.936041;8;8;918
255;1220.362282;8;8;918
256;1302.63051;8;8;918
257;1262.915172;8;8;918
258;1190.121241;8;8;918
259;1301.385503;8;8;918
260;1182.269564;8;8;918
261;1230.00669;8;8;918
262;1234.1501;8;8;918
263;1205.087427;8;8;918
264;1198.539371;8;8;918
265;1174.029562;8;8;918
266;1182.9491;8;8;918
267;1266.332153;8;8;918
268;1419.032733;8;8;918
269;1241.025897;8;8;918
270;1247.517985;8;8;918
271;1263.303059;8;8;918
272;1270.667174;8;8;918
273;1225.688532;8;8;918
274;1419.599011;8;8;918
275;1145.110147;8;8;918
276;1323.214702;8;8;918
277;1264.706471;8;8;918
278;1251.500897;8;8;918
279;1216.369894;8;8;918
280;1241.092353;8;8;918
281;1296.01695;8;8;918
282;1253.640981;8;8;918
283;1508.33232;8;8;918
284;1351.112309;8;8;918
285;1208.563515;8;8;918
286;1265.183056;8;8;918
287;1345.21251;8;8;918
288;1356.762513;8;8;918
289;1266.447572;8;8;918
290;1203.775812;8;8;918
291;1273.241646;8;8;918
292;1257.801561;8;8;918
293;1430.782995;8;8;918
294;1213.308439;8;8;918
295;1206.725606;8;8;918
296;1326.820759;8;8;918
297;1330.273262;8;8;918
298;1250.576588;8;8;918
299;1344.40958;8;8;918
