tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675077535903;142.841417
pool-16-thread-2;INITIALIZATION;12346;0;0;1675077536046;61.0505
pool-16-thread-3;INITIALIZATION;12347;0;0;1675077536108;83.120167
pool-16-thread-4;INITIALIZATION;12348;0;0;1675077536191;30.726709
pool-16-thread-5;INITIALIZATION;12350;0;0;1675077536223;114.396042
pool-16-thread-6;INITIALIZATION;12352;0;0;1675077536338;68.26275
pool-16-thread-7;APPROXIMATION;12345;0;1;1675077536407;27.16625
pool-16-thread-8;INITIALIZATION;12351;0;0;1675077536436;5.022708
pool-16-thread-9;APPROXIMATION;12346;0;1;1675077536441;17.60925
pool-16-thread-10;APPROXIMATION;12347;0;1;1675077536459;10.647292
pool-16-thread-1;APPROXIMATION;12348;0;1;1675077536470;9.174292
pool-16-thread-2;APPROXIMATION;12351;0;1;1675077536479;20.466917
pool-16-thread-2;APPROXIMATION;12350;0;1;1675077536500;0.728083
pool-16-thread-4;APPROXIMATION;12352;0;1;1675077536501;0.132416
pool-16-thread-5;APPROXIMATION;12345;0;2;1675077536502;0.917917
pool-16-thread-5;APPROXIMATION;12346;0;2;1675077536503;2.227875
pool-16-thread-5;APPROXIMATION;12347;0;2;1675077536505;0.446416
pool-16-thread-5;APPROXIMATION;12348;0;2;1675077536505;0.745875
pool-16-thread-5;APPROXIMATION;12351;0;2;1675077536506;4.076458
pool-16-thread-5;APPROXIMATION;12350;0;2;1675077536511;0.633458
pool-16-thread-5;APPROXIMATION;12352;0;2;1675077536512;0.713583
pool-16-thread-5;APPROXIMATION;12345;0;3;1675077536512;1.3565
pool-16-thread-5;APPROXIMATION;12346;0;3;1675077536514;0.521209
pool-16-thread-5;APPROXIMATION;12347;0;3;1675077536515;2.147791
pool-16-thread-5;APPROXIMATION;12348;0;3;1675077536517;0.874708
pool-16-thread-5;APPROXIMATION;12351;0;3;1675077536518;3.57525
pool-16-thread-5;APPROXIMATION;12350;0;3;1675077536521;0.635708
pool-16-thread-5;APPROXIMATION;12352;0;3;1675077536522;0.934792
pool-16-thread-5;APPROXIMATION;12345;0;4;1675077536523;0.916542
pool-16-thread-5;APPROXIMATION;12346;0;4;1675077536524;1.598625
pool-16-thread-5;APPROXIMATION;12347;0;4;1675077536526;1.627667
pool-16-thread-5;APPROXIMATION;12348;0;4;1675077536528;0.854458
pool-16-thread-5;APPROXIMATION;12350;0;4;1675077536529;3.662792
pool-16-thread-5;APPROXIMATION;12351;0;4;1675077536532;0.975583
pool-16-thread-5;APPROXIMATION;12352;0;4;1675077536534;0.670583
pool-16-thread-5;APPROXIMATION;12346;0;5;1675077536534;2.7595
pool-16-thread-5;APPROXIMATION;12345;0;5;1675077536537;0.6665
pool-16-thread-5;APPROXIMATION;12348;0;5;1675077536538;1.359042
pool-16-thread-5;APPROXIMATION;12347;0;5;1675077536540;0.065167
pool-16-thread-5;APPROXIMATION;12351;0;5;1675077536540;5.04525
pool-16-thread-5;APPROXIMATION;12350;0;5;1675077536545;1.647792
pool-16-thread-5;APPROXIMATION;12352;0;5;1675077536547;2.145875
pool-16-thread-5;HALTED;12346;0;6;1675077536549;1.246042
pool-16-thread-5;HALTED;12345;0;6;1675077536550;1.9815
pool-16-thread-5;HALTED;12347;0;6;1675077536552;0.797292
pool-16-thread-5;HALTED;12348;0;6;1675077536553;0.829708
pool-16-thread-5;HALTED;12351;0;6;1675077536554;3.251708
pool-16-thread-5;HALTED;12352;0;6;1675077536558;0.72325
pool-16-thread-5;HALTED;12350;0;6;1675077536559;0.051042
