tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-28;INITIALIZATION;12345;0;0;1675077536046;0.0945
pool-1-thread-29;INITIALIZATION;12346;0;0;1675077536107;0.05525
pool-1-thread-30;INITIALIZATION;12347;0;0;1675077536191;0.062583
pool-1-thread-31;INITIALIZATION;12348;0;0;1675077536222;0.053875
pool-1-thread-6;INITIALIZATION;12350;0;0;1675077536337;0.053334
pool-1-thread-8;INITIALIZATION;12352;0;0;1675077536406;0.055
pool-1-thread-10;APPROXIMATION;12345;0;1;1675077536434;0.0575
pool-1-thread-9;INITIALIZATION;12351;0;0;1675077536441;0.085709
pool-1-thread-11;APPROXIMATION;12346;0;1;1675077536458;0.050042
pool-1-thread-13;APPROXIMATION;12347;0;1;1675077536469;0.079625
pool-1-thread-19;APPROXIMATION;12348;0;1;1675077536479;0.039625
pool-1-thread-22;APPROXIMATION;12351;0;1;1675077536499;0.05375
pool-1-thread-23;APPROXIMATION;12350;0;1;1675077536500;0.092458
pool-1-thread-23;APPROXIMATION;12352;0;1;1675077536500;0.716792
pool-1-thread-25;APPROXIMATION;12345;0;2;1675077536502;0.09575
pool-1-thread-24;APPROXIMATION;12346;0;2;1675077536504;0.04425
pool-1-thread-24;APPROXIMATION;12347;0;2;1675077536504;0.600375
pool-1-thread-31;APPROXIMATION;12348;0;2;1675077536506;0.032959
pool-1-thread-4;APPROXIMATION;12351;0;2;1675077536510;0.044209
pool-1-thread-4;APPROXIMATION;12350;0;2;1675077536510;0.767625
pool-1-thread-7;APPROXIMATION;12352;0;2;1675077536512;0.047208
pool-1-thread-7;APPROXIMATION;12345;0;3;1675077536512;1.2455
pool-1-thread-10;APPROXIMATION;12346;0;3;1675077536514;0.033
pool-1-thread-11;APPROXIMATION;12347;0;3;1675077536516;0.089
pool-1-thread-13;APPROXIMATION;12348;0;3;1675077536517;0.040833
pool-1-thread-17;APPROXIMATION;12351;0;3;1675077536521;0.068208
pool-1-thread-17;APPROXIMATION;12350;0;3;1675077536521;0.995458
pool-1-thread-12;APPROXIMATION;12352;0;3;1675077536523;0.030667
pool-1-thread-22;APPROXIMATION;12345;0;4;1675077536524;0.026917
pool-1-thread-23;APPROXIMATION;12346;0;4;1675077536525;0.081458
pool-1-thread-26;APPROXIMATION;12347;0;4;1675077536527;0.030959
pool-1-thread-26;APPROXIMATION;12348;0;4;1675077536527;0.8355
pool-1-thread-31;APPROXIMATION;12350;0;4;1675077536532;0.039667
pool-1-thread-31;APPROXIMATION;12351;0;4;1675077536532;1.073458
pool-1-thread-3;APPROXIMATION;12352;0;4;1675077536534;0.030625
pool-1-thread-4;APPROXIMATION;12346;0;5;1675077536537;0.065917
pool-1-thread-4;APPROXIMATION;12345;0;5;1675077536537;0.813875
pool-1-thread-8;APPROXIMATION;12347;0;5;1675077536537;1.14025
pool-1-thread-7;APPROXIMATION;12348;0;5;1675077536538;1.103208
pool-1-thread-13;APPROXIMATION;12351;0;5;1675077536544;0.036458
pool-1-thread-13;APPROXIMATION;12350;0;5;1675077536544;1.592542
pool-1-thread-15;APPROXIMATION;12352;0;5;1675077536546;2.482541
pool-1-thread-20;HALTED;12346;0;6;1675077536550;0.070208
pool-1-thread-19;HALTED;12345;0;6;1675077536552;0.031292
pool-1-thread-19;HALTED;12347;0;6;1675077536552;0.763375
pool-1-thread-22;HALTED;12348;0;6;1675077536553;0.992583
pool-1-thread-29;HALTED;12351;0;6;1675077536557;0.043792
pool-1-thread-29;HALTED;12350;0;6;1675077536557;0.877209
pool-1-thread-24;HALTED;12352;0;6;1675077536557;0.869625
