tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675077536059;341.8405
pool-16-thread-2;INITIALIZATION;12346;0;0;1675077536401;0.942708
pool-16-thread-3;INITIALIZATION;12347;0;0;1675077536401;0.887625
pool-16-thread-4;INITIALIZATION;12348;0;0;1675077536401;0.87875
pool-16-thread-5;INITIALIZATION;12349;0;0;1675077536401;0.864375
pool-16-thread-6;INITIALIZATION;12350;0;0;1675077536401;0.861916
pool-16-thread-7;APPROXIMATION;12345;0;1;1675077536438;0.121416
pool-16-thread-8;INITIALIZATION;12351;0;0;1675077536442;0.028292
pool-16-thread-9;APPROXIMATION;12346;0;1;1675077536460;0.028333
pool-16-thread-10;APPROXIMATION;12347;0;1;1675077536470;0.028667
pool-16-thread-1;APPROXIMATION;12349;0;1;1675077536479;0.032416
pool-16-thread-2;APPROXIMATION;12348;0;1;1675077536480;0.037459
pool-16-thread-3;APPROXIMATION;12351;0;1;1675077536503;0.042
pool-16-thread-3;APPROXIMATION;12350;0;1;1675077536504;0.031958
pool-16-thread-3;APPROXIMATION;12345;0;2;1675077536506;0.027417
pool-16-thread-3;APPROXIMATION;12346;0;2;1675077536509;0.026709
pool-16-thread-3;APPROXIMATION;12347;0;2;1675077536510;0.035833
pool-16-thread-3;APPROXIMATION;12348;0;2;1675077536510;0.037375
pool-16-thread-3;APPROXIMATION;12349;0;2;1675077536511;0.030625
pool-16-thread-3;APPROXIMATION;12351;0;2;1675077536513;0.031125
pool-16-thread-3;APPROXIMATION;12350;0;2;1675077536513;0.022167
pool-16-thread-3;APPROXIMATION;12345;0;3;1675077536518;0.034709
pool-16-thread-3;APPROXIMATION;12346;0;3;1675077536519;0.030167
pool-16-thread-3;APPROXIMATION;12347;0;3;1675077536521;0.031667
pool-16-thread-3;APPROXIMATION;12348;0;3;1675077536522;0.029666
pool-16-thread-3;APPROXIMATION;12349;0;3;1675077536523;0.035333
pool-16-thread-3;APPROXIMATION;12351;0;3;1675077536524;0.056584
pool-16-thread-3;APPROXIMATION;12350;0;3;1675077536525;0.032708
pool-16-thread-3;APPROXIMATION;12345;0;4;1675077536529;0.06275
pool-16-thread-3;APPROXIMATION;12346;0;4;1675077536530;0.034541
pool-16-thread-3;APPROXIMATION;12347;0;4;1675077536532;0.034875
pool-16-thread-3;APPROXIMATION;12348;0;4;1675077536533;0.026583
pool-16-thread-3;APPROXIMATION;12349;0;4;1675077536535;0.045
pool-16-thread-3;APPROXIMATION;12350;0;4;1675077536536;0.037584
pool-16-thread-3;APPROXIMATION;12351;0;4;1675077536537;0.0285
pool-16-thread-3;APPROXIMATION;12346;0;5;1675077536540;0.033417
pool-16-thread-3;APPROXIMATION;12345;0;5;1675077536544;0.036542
pool-16-thread-3;APPROXIMATION;12347;0;5;1675077536545;0.034583
pool-16-thread-3;APPROXIMATION;12348;0;5;1675077536547;0.09925
pool-16-thread-3;APPROXIMATION;12351;0;5;1675077536549;0.026541
pool-16-thread-3;APPROXIMATION;12350;0;5;1675077536550;0.678292
pool-16-thread-5;APPROXIMATION;12349;0;5;1675077536551;0.924
pool-16-thread-3;HALTED;12346;0;6;1675077536554;0.057375
pool-16-thread-3;HALTED;12347;0;6;1675077536556;0.03425
pool-16-thread-3;HALTED;12345;0;6;1675077536557;0.027459
pool-16-thread-3;HALTED;12348;0;6;1675077536558;0.028709
pool-16-thread-3;HALTED;12350;0;6;1675077536559;0.022417
pool-16-thread-3;HALTED;12351;0;6;1675077536560;0.046334
pool-16-thread-2;HALTED;12349;0;6;1675077536560;0.018667
