tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-31;INITIALIZATION;12345;0;0;1675077536017;148.382042
pool-1-thread-32;INITIALIZATION;12346;0;0;1675077536110;9970566.750541
pool-1-thread-1;INITIALIZATION;12347;0;0;1675077536192;9970649.357875
pool-1-thread-3;INITIALIZATION;12348;0;0;1675077536223;9970680.273375
pool-1-thread-4;INITIALIZATION;12349;0;0;1675077536274;9970730.975333
pool-1-thread-2;INITIALIZATION;12350;0;0;1675077536338;9970794.756166
pool-1-thread-13;APPROXIMATION;12345;0;1;1675077536437;382.757292
pool-1-thread-12;INITIALIZATION;12351;0;0;1675077536441;9970898.178291
pool-1-thread-14;APPROXIMATION;12346;0;1;1675077536459;349.331584
pool-1-thread-16;APPROXIMATION;12347;0;1;1675077536470;277.554292
pool-1-thread-17;APPROXIMATION;12349;0;1;1675077536479;204.89825
pool-1-thread-15;APPROXIMATION;12348;0;1;1675077536479;256.061667
pool-1-thread-25;APPROXIMATION;12351;0;1;1675077536502;60.407917
pool-1-thread-26;APPROXIMATION;12350;0;1;1675077536503;164.905
pool-1-thread-28;APPROXIMATION;12345;0;2;1675077536506;68.84375
pool-1-thread-31;APPROXIMATION;12346;0;2;1675077536508;48.496291
pool-1-thread-31;APPROXIMATION;12347;0;2;1675077536508;37.807375
pool-1-thread-3;APPROXIMATION;12348;0;2;1675077536510;30.082
pool-1-thread-4;APPROXIMATION;12349;0;2;1675077536510;30.860417
pool-1-thread-7;APPROXIMATION;12351;0;2;1675077536513;10.634959
pool-1-thread-6;APPROXIMATION;12350;0;2;1675077536513;10.113666
pool-1-thread-8;APPROXIMATION;12345;0;3;1675077536517;11.648209
pool-1-thread-12;APPROXIMATION;12346;0;3;1675077536518;10.286875
pool-1-thread-16;APPROXIMATION;12347;0;3;1675077536520;11.598417
pool-1-thread-16;APPROXIMATION;12348;0;3;1675077536521;10.93575
pool-1-thread-19;APPROXIMATION;12349;0;3;1675077536522;11.604959
pool-1-thread-18;APPROXIMATION;12351;0;3;1675077536523;10.474334
pool-1-thread-22;APPROXIMATION;12350;0;3;1675077536524;10.492291
pool-1-thread-26;APPROXIMATION;12345;0;4;1675077536528;10.649042
pool-1-thread-28;APPROXIMATION;12346;0;4;1675077536529;10.907042
pool-1-thread-30;APPROXIMATION;12347;0;4;1675077536531;10.351833
pool-1-thread-1;APPROXIMATION;12348;0;4;1675077536533;11.09975
pool-1-thread-3;APPROXIMATION;12349;0;4;1675077536534;11.619834
pool-1-thread-2;APPROXIMATION;12350;0;4;1675077536534;9.814542
pool-1-thread-4;APPROXIMATION;12351;0;4;1675077536535;11.501625
pool-1-thread-10;APPROXIMATION;12346;0;5;1675077536539;9.600541
pool-1-thread-8;APPROXIMATION;12345;0;5;1675077536542;13.604084
pool-1-thread-8;APPROXIMATION;12347;0;5;1675077536542;11.050417
pool-1-thread-12;APPROXIMATION;12348;0;5;1675077536544;11.22125
pool-1-thread-15;APPROXIMATION;12351;0;5;1675077536548;12.092875
pool-1-thread-16;APPROXIMATION;12350;0;5;1675077536549;13.769625
pool-1-thread-20;APPROXIMATION;12349;0;5;1675077536550;16.0415
pool-1-thread-24;HALTED;12346;0;6;1675077536553;14.038542
pool-1-thread-26;HALTED;12347;0;6;1675077536555;11.133125
pool-1-thread-26;HALTED;12345;0;6;1675077536556;13.344958
pool-1-thread-29;HALTED;12348;0;6;1675077536557;10.794792
pool-1-thread-1;HALTED;12350;0;6;1675077536559;9.007292
pool-1-thread-1;HALTED;12351;0;6;1675077536559;10.482833
pool-1-thread-31;HALTED;12349;0;6;1675077536559;8.762417
