tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12346;0;0;1675077535895;267.405625
pool-16-thread-2;INITIALIZATION;12347;0;0;1675077536168;20.507209
pool-16-thread-3;INITIALIZATION;12348;0;0;1675077536189;29.049583
pool-16-thread-4;INITIALIZATION;12349;0;0;1675077536218;51.494042
pool-16-thread-5;INITIALIZATION;12350;0;0;1675077536270;63.3895
pool-16-thread-6;INITIALIZATION;12352;0;0;1675077536336;67.666792
pool-16-thread-7;INITIALIZATION;12351;0;0;1675077536404;34.599583
pool-16-thread-8;APPROXIMATION;12346;0;1;1675077536439;18.277
pool-16-thread-9;APPROXIMATION;12347;0;1;1675077536458;10.800083
pool-16-thread-10;APPROXIMATION;12349;0;1;1675077536469;7.405167
pool-16-thread-10;APPROXIMATION;12348;0;1;1675077536477;1.179167
pool-16-thread-2;APPROXIMATION;12351;0;1;1675077536478;16.996
pool-16-thread-2;APPROXIMATION;12352;0;1;1675077536495;0.037542
pool-16-thread-3;APPROXIMATION;12350;0;1;1675077536495;0.058625
pool-16-thread-4;APPROXIMATION;12346;0;2;1675077536496;4.440542
pool-16-thread-4;APPROXIMATION;12347;0;2;1675077536501;0.721833
pool-16-thread-4;APPROXIMATION;12348;0;2;1675077536501;1.133542
pool-16-thread-4;APPROXIMATION;12349;0;2;1675077536503;0.051083
pool-16-thread-4;APPROXIMATION;12351;0;2;1675077536503;2.533541
pool-16-thread-4;APPROXIMATION;12352;0;2;1675077536506;0.852
pool-16-thread-4;APPROXIMATION;12350;0;2;1675077536507;0.050542
pool-16-thread-4;APPROXIMATION;12346;0;3;1675077536507;2.792584
pool-16-thread-4;APPROXIMATION;12347;0;3;1675077536510;1.054292
pool-16-thread-4;APPROXIMATION;12348;0;3;1675077536511;1.187458
pool-16-thread-4;APPROXIMATION;12349;0;3;1675077536512;1.786958
pool-16-thread-4;APPROXIMATION;12351;0;3;1675077536514;1.327542
pool-16-thread-4;APPROXIMATION;12350;0;3;1675077536516;0.903958
pool-16-thread-4;APPROXIMATION;12352;0;3;1675077536517;0.609125
pool-16-thread-4;APPROXIMATION;12346;0;4;1675077536517;3.44925
pool-16-thread-4;APPROXIMATION;12347;0;4;1675077536521;1.822084
pool-16-thread-4;APPROXIMATION;12348;0;4;1675077536523;0.956583
pool-16-thread-4;APPROXIMATION;12349;0;4;1675077536524;0.977875
pool-16-thread-4;APPROXIMATION;12351;0;4;1675077536525;1.663042
pool-16-thread-4;APPROXIMATION;12352;0;4;1675077536527;1.049333
pool-16-thread-4;APPROXIMATION;12350;0;4;1675077536528;0.039459
pool-16-thread-7;APPROXIMATION;12346;0;5;1675077536529;3.660333
pool-16-thread-7;APPROXIMATION;12347;0;5;1675077536532;1.345375
pool-16-thread-7;APPROXIMATION;12348;0;5;1675077536534;0.733584
pool-16-thread-7;APPROXIMATION;12349;0;5;1675077536535;1.703
pool-16-thread-7;APPROXIMATION;12351;0;5;1675077536536;1.244917
pool-16-thread-7;APPROXIMATION;12352;0;5;1675077536538;1.197667
pool-16-thread-7;APPROXIMATION;12350;0;5;1675077536539;0.042958
pool-16-thread-7;HALTED;12346;0;6;1675077536539;3.131667
pool-16-thread-7;HALTED;12347;0;6;1675077536542;2.87475
pool-16-thread-7;HALTED;12348;0;6;1675077536546;3.232334
pool-16-thread-7;HALTED;12351;0;6;1675077536549;2.62825
pool-16-thread-7;HALTED;12350;0;6;1675077536552;0.625292
pool-16-thread-7;HALTED;12349;0;6;1675077536552;1.051459
pool-16-thread-7;HALTED;12352;0;6;1675077536554;0.034667
