tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-3;INITIALIZATION;12346;0;0;1675077536160;0.140417
pool-1-thread-4;INITIALIZATION;12347;0;0;1675077536188;0.073
pool-1-thread-5;INITIALIZATION;12348;0;0;1675077536217;0.058791
pool-1-thread-1;INITIALIZATION;12349;0;0;1675077536269;0.05325
pool-1-thread-7;INITIALIZATION;12350;0;0;1675077536331;1.606834
pool-1-thread-8;INITIALIZATION;12352;0;0;1675077536403;0.051583
pool-1-thread-16;INITIALIZATION;12351;0;0;1675077536438;0.04775
pool-1-thread-17;APPROXIMATION;12346;0;1;1675077536457;0.083583
pool-1-thread-18;APPROXIMATION;12347;0;1;1675077536468;0.081125
pool-1-thread-12;APPROXIMATION;12349;0;1;1675077536476;0.056292
pool-1-thread-20;APPROXIMATION;12348;0;1;1675077536478;0.052458
pool-1-thread-21;APPROXIMATION;12351;0;1;1675077536495;0.082583
pool-1-thread-21;APPROXIMATION;12350;0;1;1675077536495;0.479
pool-1-thread-21;APPROXIMATION;12352;0;1;1675077536495;0.019416
pool-1-thread-26;APPROXIMATION;12346;0;2;1675077536500;0.054
pool-1-thread-26;APPROXIMATION;12347;0;2;1675077536500;0.681916
pool-1-thread-30;APPROXIMATION;12348;0;2;1675077536502;0.038625
pool-1-thread-31;APPROXIMATION;12349;0;2;1675077536503;0.022833
pool-1-thread-3;APPROXIMATION;12351;0;2;1675077536505;0.081541
pool-1-thread-4;APPROXIMATION;12350;0;2;1675077536505;0.594084
pool-1-thread-5;APPROXIMATION;12352;0;2;1675077536506;0.464125
pool-1-thread-8;APPROXIMATION;12346;0;3;1675077536509;0.066667
pool-1-thread-10;APPROXIMATION;12347;0;3;1675077536510;0.028583
pool-1-thread-6;APPROXIMATION;12348;0;3;1675077536512;0.052708
pool-1-thread-14;APPROXIMATION;12349;0;3;1675077536514;0.034458
pool-1-thread-16;APPROXIMATION;12351;0;3;1675077536515;0.053084
pool-1-thread-16;APPROXIMATION;12350;0;3;1675077536515;1.340666
pool-1-thread-12;APPROXIMATION;12352;0;3;1675077536517;0.03075
pool-1-thread-21;APPROXIMATION;12346;0;4;1675077536520;0.041042
pool-1-thread-25;APPROXIMATION;12347;0;4;1675077536522;0.061875
pool-1-thread-25;APPROXIMATION;12348;0;4;1675077536523;0.702208
pool-1-thread-26;APPROXIMATION;12349;0;4;1675077536524;0.034083
pool-1-thread-30;APPROXIMATION;12351;0;4;1675077536526;0.033875
pool-1-thread-30;APPROXIMATION;12350;0;4;1675077536526;0.86475
pool-1-thread-31;APPROXIMATION;12352;0;4;1675077536527;0.737333
pool-1-thread-4;APPROXIMATION;12346;0;5;1675077536531;0.052958
pool-1-thread-5;APPROXIMATION;12347;0;5;1675077536533;0.026959
pool-1-thread-8;APPROXIMATION;12348;0;5;1675077536534;0.065625
pool-1-thread-10;APPROXIMATION;12349;0;5;1675077536536;0.03425
pool-1-thread-6;APPROXIMATION;12351;0;5;1675077536537;0.068458
pool-1-thread-6;APPROXIMATION;12350;0;5;1675077536537;0.840583
pool-1-thread-13;APPROXIMATION;12352;0;5;1675077536537;1.128375
pool-1-thread-18;HALTED;12346;0;6;1675077536542;0.045834
pool-1-thread-12;HALTED;12347;0;6;1675077536544;0.058583
pool-1-thread-22;HALTED;12348;0;6;1675077536548;0.039125
pool-1-thread-24;HALTED;12351;0;6;1675077536551;0.131625
pool-1-thread-24;HALTED;12350;0;6;1675077536551;0.706792
pool-1-thread-28;HALTED;12352;0;6;1675077536552;0.896584
pool-1-thread-24;HALTED;12349;0;6;1675077536552;1.105667
