tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-3;INITIALIZATION;12346;0;0;1675077536079;12204.72725
pool-1-thread-4;INITIALIZATION;12347;0;0;1675077536188;10481.325833
pool-1-thread-5;INITIALIZATION;12348;0;0;1675077536217;8408.516625
pool-1-thread-1;INITIALIZATION;12349;0;0;1675077536269;6450.772084
pool-1-thread-7;INITIALIZATION;12350;0;0;1675077536331;4496.763625
pool-1-thread-8;INITIALIZATION;12352;0;0;1675077536403;526.816875
pool-1-thread-16;INITIALIZATION;12351;0;0;1675077536438;2602.450541
pool-1-thread-17;APPROXIMATION;12346;0;1;1675077536457;297.025375
pool-1-thread-18;APPROXIMATION;12347;0;1;1675077536468;280.217375
pool-1-thread-12;APPROXIMATION;12349;0;1;1675077536476;206.84325
pool-1-thread-20;APPROXIMATION;12348;0;1;1675077536478;260.183625
pool-1-thread-21;APPROXIMATION;12351;0;1;1675077536494;56.281708
pool-1-thread-21;APPROXIMATION;12350;0;1;1675077536495;161.905834
pool-1-thread-21;APPROXIMATION;12352;0;1;1675077536495;92.246625
pool-1-thread-26;APPROXIMATION;12346;0;2;1675077536500;42.585
pool-1-thread-26;APPROXIMATION;12347;0;2;1675077536500;31.76025
pool-1-thread-30;APPROXIMATION;12348;0;2;1675077536502;24.294041
pool-1-thread-31;APPROXIMATION;12349;0;2;1675077536503;26.293584
pool-1-thread-3;APPROXIMATION;12351;0;2;1675077536505;10.215583
pool-1-thread-4;APPROXIMATION;12350;0;2;1675077536505;9.935959
pool-1-thread-5;APPROXIMATION;12352;0;2;1675077536506;10.23625
pool-1-thread-8;APPROXIMATION;12346;0;3;1675077536509;8.970458
pool-1-thread-10;APPROXIMATION;12347;0;3;1675077536510;9.547959
pool-1-thread-6;APPROXIMATION;12348;0;3;1675077536512;9.428584
pool-1-thread-14;APPROXIMATION;12349;0;3;1675077536514;10.777959
pool-1-thread-16;APPROXIMATION;12351;0;3;1675077536514;9.324791
pool-1-thread-16;APPROXIMATION;12350;0;3;1675077536515;8.867375
pool-1-thread-12;APPROXIMATION;12352;0;3;1675077536517;10.552625
pool-1-thread-21;APPROXIMATION;12346;0;4;1675077536520;10.794958
pool-1-thread-25;APPROXIMATION;12347;0;4;1675077536522;11.8165
pool-1-thread-25;APPROXIMATION;12348;0;4;1675077536522;10.801375
pool-1-thread-26;APPROXIMATION;12349;0;4;1675077536524;10.457666
pool-1-thread-30;APPROXIMATION;12351;0;4;1675077536526;11.503292
pool-1-thread-30;APPROXIMATION;12350;0;4;1675077536526;10.2335
pool-1-thread-31;APPROXIMATION;12352;0;4;1675077536527;9.989417
pool-1-thread-4;APPROXIMATION;12346;0;5;1675077536531;11.146583
pool-1-thread-5;APPROXIMATION;12347;0;5;1675077536533;10.784166
pool-1-thread-8;APPROXIMATION;12348;0;5;1675077536534;10.574292
pool-1-thread-10;APPROXIMATION;12349;0;5;1675077536536;11.518625
pool-1-thread-6;APPROXIMATION;12351;0;5;1675077536537;10.769833
pool-1-thread-6;APPROXIMATION;12350;0;5;1675077536537;9.953958
pool-1-thread-13;APPROXIMATION;12352;0;5;1675077536537;9.851833
pool-1-thread-18;HALTED;12346;0;6;1675077536541;9.9585
pool-1-thread-12;HALTED;12347;0;6;1675077536544;11.121792
pool-1-thread-22;HALTED;12348;0;6;1675077536548;13.957667
pool-1-thread-24;HALTED;12351;0;6;1675077536551;13.651875
pool-1-thread-24;HALTED;12350;0;6;1675077536551;13.003917
pool-1-thread-28;HALTED;12352;0;6;1675077536552;13.132708
pool-1-thread-24;HALTED;12349;0;6;1675077536552;16.046542
