Id;Texec;expectedH;realH;neededMessages
0;2657.428356;14;14;945
1;1464.258009;14;14;945
2;1687.620645;14;14;945
3;2865.407504;14;14;945
4;1968.38331;14;14;945
5;1575.776751;14;14;945
6;1335.327419;14;14;945
7;561.525327;14;14;945
8;557.998617;14;14;945
9;554.477797;14;14;945
10;548.523561;14;14;945
11;554.095583;14;14;945
12;514.516177;14;14;945
13;514.473851;14;14;945
14;487.063646;14;14;945
15;510.176345;14;14;945
16;499.813001;14;14;945
17;492.767595;14;14;945
18;533.045038;14;14;945
19;512.079807;14;14;945
20;515.167357;14;14;945
21;554.499949;14;14;945
22;576.077387;14;14;945
23;664.691566;14;14;945
24;612.239475;14;14;945
25;621.965646;14;14;945
26;540.421531;14;14;945
27;540.788683;14;14;945
28;506.842953;14;14;945
29;541.360467;14;14;945
30;466.294224;14;14;945
31;465.737557;14;14;945
32;464.456126;14;14;945
33;491.001871;14;14;945
34;488.630663;14;14;945
35;448.987658;14;14;945
36;470.234644;14;14;945
37;466.962799;14;14;945
38;438.70863;14;14;945
39;433.215198;14;14;945
40;441.140626;14;14;945
41;477.354141;14;14;945
42;456.85173;14;14;945
43;461.91748;14;14;945
44;431.965069;14;14;945
45;469.85995;14;14;945
46;442.658519;14;14;945
47;593.836049;14;14;945
48;601.468494;14;14;945
49;701.208462;14;14;945
50;758.298852;14;14;945
51;743.133203;14;14;945
52;638.01962;14;14;945
53;571.778632;14;14;945
54;483.722986;14;14;945
55;480.739891;14;14;945
56;460.294769;14;14;945
57;447.303594;14;14;945
58;574.466026;14;14;945
59;461.962287;14;14;945
60;456.060905;14;14;945
61;456.901428;14;14;945
62;443.74331;14;14;945
63;434.071526;14;14;945
64;445.100393;14;14;945
65;448.509261;14;14;945
66;453.358049;14;14;945
67;440.593458;14;14;945
68;452.832158;14;14;945
69;437.337487;14;14;945
70;440.092664;14;14;945
71;408.185269;14;14;945
72;445.299017;14;14;945
73;445.886447;14;14;945
74;433.370773;14;14;945
75;438.372235;14;14;945
76;438.203449;14;14;945
77;441.659243;14;14;945
78;447.806535;14;14;945
79;427.6821;14;14;945
80;446.638992;14;14;945
81;486.465463;14;14;945
82;466.539216;14;14;945
83;491.565263;14;14;945
84;477.260755;14;14;945
85;487.702142;14;14;945
86;501.88232;14;14;945
87;452.931409;14;14;945
88;549.514598;14;14;945
