Id;StartingWallTime;Texec;expectedH;realH;neededMessages;processedMessages
0;2023-01-31T11:42:52.577088562;42.494529;13;13;98;105
1;2023-01-31T11:42:52.719915655;18.990048;13;13;98;105
2;2023-01-31T11:42:52.839098354;17.724955;13;13;98;105
3;2023-01-31T11:42:52.956991120;16.554851;13;13;98;105
4;2023-01-31T11:42:53.073828272;13.204694;13;13;98;105
5;2023-01-31T11:42:53.187200289;12.565685;13;13;98;105
6;2023-01-31T11:42:53.299956225;12.194877;13;13;98;105
7;2023-01-31T11:42:53.412315908;12.077234;13;13;98;105
8;2023-01-31T11:42:53.524606498;24.169572;13;13;98;105
9;2023-01-31T11:42:53.648980842;14.819916;13;13;98;105
10;2023-01-31T11:42:53.763934575;14.14319;13;13;98;105
11;2023-01-31T11:42:53.878218043;13.125685;13;13;98;105
12;2023-01-31T11:42:53.991483010;12.773497;13;13;98;105
13;2023-01-31T11:42:54.104396799;11.068582;13;13;98;105
14;2023-01-31T11:42:54.215627737;10.757316;13;13;98;105
15;2023-01-31T11:42:54.326574343;11.022654;13;13;98;105
16;2023-01-31T11:42:54.437825845;20.745335;13;13;98;105
17;2023-01-31T11:42:54.558725834;11.908923;13;13;98;105
18;2023-01-31T11:42:54.670815604;10.286419;13;13;98;105
19;2023-01-31T11:42:54.781272267;10.917038;13;13;98;105
20;2023-01-31T11:42:54.892350922;9.41012;13;13;98;105
21;2023-01-31T11:42:55.001917534;9.456603;13;13;98;105
22;2023-01-31T11:42:55.111531679;8.618524;13;13;98;105
23;2023-01-31T11:42:55.220291343;9.73246;13;13;98;105
24;2023-01-31T11:42:55.330167728;9.206268;13;13;98;105
25;2023-01-31T11:42:55.439540242;10.442199;13;13;98;105
26;2023-01-31T11:42:55.550153255;14.34702;13;13;98;105
27;2023-01-31T11:42:55.664692641;10.453627;13;13;98;105
28;2023-01-31T11:42:55.775354547;9.488034;13;13;98;105
29;2023-01-31T11:42:55.885031624;9.609662;13;13;98;105
30;2023-01-31T11:42:55.994805390;9.685446;13;13;98;105
31;2023-01-31T11:42:56.104728483;11.172494;13;13;98;105
32;2023-01-31T11:42:56.216130895;12.015106;13;13;98;105
33;2023-01-31T11:42:56.328334733;8.493465;13;13;98;105
34;2023-01-31T11:42:56.437415404;12.163265;13;13;98;105
35;2023-01-31T11:42:56.549320246;7.870263;13;13;98;105
36;2023-01-31T11:42:56.657327468;7.941455;13;13;98;105
37;2023-01-31T11:42:56.765434902;7.814048;13;13;98;105
38;2023-01-31T11:42:56.873402524;7.877538;13;13;98;105
39;2023-01-31T11:42:56.981413626;8.17566;13;13;98;105
40;2023-01-31T11:42:57.089750937;8.1443;13;13;98;105
41;2023-01-31T11:42:57.198040747;6.578542;13;13;98;105
42;2023-01-31T11:42:57.304751534;7.231021;13;13;98;105
43;2023-01-31T11:42:57.412122446;8.007903;13;13;98;105
44;2023-01-31T11:42:57.520259607;7.541848;13;13;98;105
45;2023-01-31T11:42:57.627935300;8.327128;13;13;98;105
46;2023-01-31T11:42:57.736395804;8.046716;13;13;98;105
47;2023-01-31T11:42:57.844578902;8.164074;13;13;98;105
48;2023-01-31T11:42:57.952888484;7.853296;13;13;98;105
49;2023-01-31T11:42:58.060887507;8.309745;13;13;98;105
50;2023-01-31T11:42:58.169342753;7.520959;13;13;98;105
51;2023-01-31T11:42:58.277030306;8.657711;13;13;98;105
52;2023-01-31T11:42:58.385842979;7.665992;13;13;98;105
53;2023-01-31T11:42:58.493666825;9.374534;13;13;98;105
54;2023-01-31T11:42:58.603190792;8.876306;13;13;98;105
55;2023-01-31T11:42:58.712221646;8.568412;13;13;98;105
56;2023-01-31T11:42:58.820956631;8.061879;13;13;98;105
57;2023-01-31T11:42:58.929162494;8.394717;13;13;98;105
58;2023-01-31T11:42:59.037708382;8.368053;13;13;98;105
59;2023-01-31T11:42:59.146224340;7.827234;13;13;98;105
60;2023-01-31T11:42:59.254216809;8.282453;13;13;98;105
61;2023-01-31T11:42:59.362690468;9.095599;13;13;98;105
62;2023-01-31T11:42:59.471965578;12.480557;13;13;98;105
63;2023-01-31T11:42:59.584667328;8.236101;13;13;98;105
64;2023-01-31T11:42:59.693047404;8.514134;13;13;98;105
65;2023-01-31T11:42:59.801712060;7.546935;13;13;98;105
66;2023-01-31T11:42:59.909402719;7.19633;13;13;98;105
67;2023-01-31T11:43:00.016732620;23.664391;13;13;98;105
68;2023-01-31T11:43:00.140569063;7.870044;13;13;98;105
69;2023-01-31T11:43:00.248575426;25.617352;13;13;98;105
70;2023-01-31T11:43:00.374345824;25.172348;13;13;98;105
71;2023-01-31T11:43:00.499669090;15.499414;13;13;98;105
72;2023-01-31T11:43:00.615331725;7.264891;13;13;98;105
73;2023-01-31T11:43:00.722764765;16.393833;13;13;98;105
74;2023-01-31T11:43:00.839284982;7.620385;13;13;98;105
75;2023-01-31T11:43:00.947052447;7.041472;13;13;98;105
76;2023-01-31T11:43:01.054221315;7.373038;13;13;98;105
77;2023-01-31T11:43:01.161726209;7.28298;13;13;98;105
78;2023-01-31T11:43:01.269135017;6.636527;13;13;98;105
79;2023-01-31T11:43:01.375900370;7.486768;13;13;98;105
80;2023-01-31T11:43:01.483508093;7.241652;13;13;98;105
81;2023-01-31T11:43:01.590880190;6.739775;13;13;98;105
82;2023-01-31T11:43:01.697743644;6.695595;13;13;98;105
83;2023-01-31T11:43:01.804597566;7.373755;13;13;98;105
84;2023-01-31T11:43:01.912101449;7.38493;13;13;98;105
85;2023-01-31T11:43:02.019626039;6.654944;13;13;98;105
86;2023-01-31T11:43:02.126415786;7.135724;13;13;98;105
87;2023-01-31T11:43:02.233676407;7.187091;13;13;98;105
88;2023-01-31T11:43:02.340988694;7.14763;13;13;98;105
89;2023-01-31T11:43:02.448270467;7.744943;13;13;98;105
90;2023-01-31T11:43:02.556163220;6.84827;13;13;98;105
91;2023-01-31T11:43:02.663142842;6.940955;13;13;98;105
92;2023-01-31T11:43:02.770208738;6.977804;13;13;98;105
93;2023-01-31T11:43:02.877314431;6.549195;13;13;98;105
94;2023-01-31T11:43:02.983984081;6.700901;13;13;98;105
95;2023-01-31T11:43:03.090809255;7.195023;13;13;98;105
96;2023-01-31T11:43:03.198135720;6.917464;13;13;98;105
97;2023-01-31T11:43:03.305176951;8.039185;13;13;98;105
98;2023-01-31T11:43:03.413345389;7.256039;13;13;98;105
99;2023-01-31T11:43:03.520734360;8.11684;13;13;98;105
100;2023-01-31T11:43:03.629010815;7.207904;13;13;98;105
101;2023-01-31T11:43:03.736398301;7.333368;13;13;98;105
102;2023-01-31T11:43:03.843911295;7.438021;13;13;98;105
103;2023-01-31T11:43:03.951501588;7.621375;13;13;98;105
104;2023-01-31T11:43:04.059260757;6.984753;13;13;98;105
105;2023-01-31T11:43:04.166379734;7.228452;13;13;98;105
106;2023-01-31T11:43:04.273735786;5.125223;13;13;98;105
107;2023-01-31T11:43:04.378992060;6.4589;13;13;98;105
108;2023-01-31T11:43:04.485587424;6.812444;13;13;98;105
109;2023-01-31T11:43:04.592536993;9.085869;13;13;98;105
110;2023-01-31T11:43:04.701766447;8.260808;13;13;98;105
111;2023-01-31T11:43:04.810165186;7.245353;13;13;98;105
112;2023-01-31T11:43:04.917548925;7.00059;13;13;98;105
113;2023-01-31T11:43:05.024683527;7.007018;13;13;98;105
114;2023-01-31T11:43:05.131820513;7.014362;13;13;98;105
115;2023-01-31T11:43:05.238963452;6.760045;13;13;98;105
116;2023-01-31T11:43:05.345850690;6.805083;13;13;98;105
117;2023-01-31T11:43:05.452780352;6.968842;13;13;98;105
118;2023-01-31T11:43:05.559879886;20.655134;13;13;98;105
119;2023-01-31T11:43:05.680689795;7.157282;13;13;98;105
120;2023-01-31T11:43:05.788003043;7.552553;13;13;98;105
121;2023-01-31T11:43:05.895707992;7.261078;13;13;98;105
122;2023-01-31T11:43:06.003105582;7.026991;13;13;98;105
123;2023-01-31T11:43:06.110276361;6.917617;13;13;98;105
124;2023-01-31T11:43:06.217319876;8.007908;13;13;98;105
125;2023-01-31T11:43:06.325466244;7.440361;13;13;98;105
126;2023-01-31T11:43:06.433040018;7.120665;13;13;98;105
127;2023-01-31T11:43:06.540296716;7.19099;13;13;98;105
128;2023-01-31T11:43:06.647632475;6.682065;13;13;98;105
129;2023-01-31T11:43:06.754436359;7.029267;13;13;98;105
130;2023-01-31T11:43:06.861598592;6.584867;13;13;98;105
131;2023-01-31T11:43:06.968304721;6.585807;13;13;98;105
132;2023-01-31T11:43:07.075023779;6.765552;13;13;98;105
133;2023-01-31T11:43:07.181908798;6.916713;13;13;98;105
134;2023-01-31T11:43:07.288946116;7.096199;13;13;98;105
135;2023-01-31T11:43:07.396158771;5.725892;13;13;98;105
136;2023-01-31T11:43:07.502008027;7.162582;13;13;98;105
137;2023-01-31T11:43:07.609301277;7.787018;13;13;98;105
138;2023-01-31T11:43:07.717234107;7.932439;13;13;98;105
139;2023-01-31T11:43:07.825307820;6.766564;13;13;98;105
140;2023-01-31T11:43:07.932200549;7.383928;13;13;98;105
141;2023-01-31T11:43:08.039702612;6.556955;13;13;98;105
142;2023-01-31T11:43:08.146379530;6.712193;13;13;98;105
143;2023-01-31T11:43:08.253218803;7.10144;13;13;98;105
144;2023-01-31T11:43:08.360439300;7.266688;13;13;98;105
145;2023-01-31T11:43:08.467829462;10.712069;13;13;98;105
146;2023-01-31T11:43:08.578667363;7.054203;13;13;98;105
147;2023-01-31T11:43:08.685838479;7.064595;13;13;98;105
148;2023-01-31T11:43:08.793024691;7.365946;13;13;98;105
149;2023-01-31T11:43:08.900509291;7.221625;13;13;98;105
150;2023-01-31T11:43:09.007846088;7.155251;13;13;98;105
151;2023-01-31T11:43:09.115119530;7.399368;13;13;98;105
152;2023-01-31T11:43:09.222638013;7.837289;13;13;98;105
153;2023-01-31T11:43:09.330598237;6.923995;13;13;98;105
154;2023-01-31T11:43:09.437665463;7.009604;13;13;98;105
155;2023-01-31T11:43:09.544799861;7.207492;13;13;98;105
156;2023-01-31T11:43:09.652137635;7.560282;13;13;98;105
157;2023-01-31T11:43:09.759847740;7.80793;13;13;98;105
158;2023-01-31T11:43:09.867786825;7.658742;13;13;98;105
159;2023-01-31T11:43:09.975577858;7.2887;13;13;98;105
160;2023-01-31T11:43:10.082998228;6.981867;13;13;98;105
161;2023-01-31T11:43:10.190104569;7.079883;13;13;98;105
162;2023-01-31T11:43:10.297311629;6.936254;13;13;98;105
163;2023-01-31T11:43:10.404402878;6.823869;13;13;98;105
164;2023-01-31T11:43:10.511379938;7.726405;13;13;98;105
165;2023-01-31T11:43:10.619286072;8.204548;13;13;98;105
166;2023-01-31T11:43:10.727677872;7.154924;13;13;98;105
167;2023-01-31T11:43:10.834955893;8.61614;13;13;98;105
168;2023-01-31T11:43:10.943690066;7.329457;13;13;98;105
169;2023-01-31T11:43:11.051150680;7.458371;13;13;98;105
170;2023-01-31T11:43:11.158767089;6.869539;13;13;98;105
171;2023-01-31T11:43:11.265769885;5.588256;13;13;98;105
172;2023-01-31T11:43:11.371480332;7.124389;13;13;98;105
173;2023-01-31T11:43:11.478720798;6.754328;13;13;98;105
174;2023-01-31T11:43:11.585599564;4.977846;13;13;98;105
175;2023-01-31T11:43:11.690713025;6.724577;13;13;98;105
176;2023-01-31T11:43:11.797560771;6.506076;13;13;98;105
