Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
0;925.624125;39;39;0;266;272;1.27826955143E14;1.2772699205185653E14
1;292.196042;39;39;0;266;272;1.278287822135E14;1.2772831399044311E14
2;328.932416;39;39;0;266;272;1.27830099717125E14;1.2772968457465961E14
3;370.042042;39;39;0;266;272;1.27831446261375E14;1.2773104905113288E14
4;328.707292;39;39;0;266;272;1.27832839647583E14;1.2773241740007452E14
5;285.1615;39;39;0;266;272;1.27834199834458E14;1.2773372021865117E14
6;279.222459;39;39;0;266;272;1.27835500323083E14;1.2773502210337698E14
7;251.570459;39;39;0;266;272;1.2783679923625E14;1.2773627848490627E14
8;299.814625;39;39;0;266;272;1.27838099534666E14;1.2773764324970603E14
9;182.759125;39;39;0;266;272;1.27839407111583E14;1.2773881709635845E14
10;313.420917;39;39;0;266;272;1.27840661104541E14;1.2774019597181327E14
11;127.25075;39;39;0;266;272;1.27841959941333E14;1.2774132494116384E14
12;216.098167;39;39;0;266;272;1.2784310160575E14;1.2774256717109553E14
13;186.708208;39;39;0;266;272;1.27844332958208E14;1.2774375313095939E14
14;137.913667;39;39;0;266;272;1.27845541291708E14;1.2774493133198289E14
15;173.937375;39;39;0;266;272;1.2784670149775E14;1.2774610650332819E14
16;125.084667;39;39;0;266;272;1.27847887516833E14;1.277472622128281E14
17;125.506333;39;39;0;266;272;1.27849032870958E14;1.2774839274075742E14
18;201.440666;39;39;0;266;272;1.27850219938416E14;1.2774966770466414E14
19;246.167375;39;39;0;266;272;1.2785144234125E14;1.277509084803604E14
20;218.010958;39;39;0;266;272;1.278527083535E14;1.2775216708695531E14
21;283.7615;39;39;0;266;272;1.27853942432958E14;1.2775344846496766E14
22;175.993125;39;39;0;266;272;1.27855253928083E14;1.2775466940608161E14
23;194.14225;39;39;0;266;272;1.27856450755E14;1.277558680291286E14
24;221.889;39;39;0;266;272;1.27857662251375E14;1.2775711747984433E14
25;138.872625;39;39;0;266;272;1.27858890569458E14;1.2775825394956028E14
26;96.092833;39;39;0;266;272;1.27860049392125E14;1.2775938528760403E14
27;266.254792;39;39;0;266;272;1.27861190483791E14;1.2776065856414416E14
28;217.324625;39;39;0;266;272;1.27862464230791E14;1.2776190289464088E14
29;180.1595;39;39;0;266;272;1.27863684107916E14;1.2776307891378283E14
30;139.908375;39;39;0;266;272;1.27864896126333E14;1.2776426793770633E14
31;127.753375;39;39;0;266;272;1.27866071038583E14;1.2776540773374883E14
32;251.877291;39;39;0;266;272;1.27867232653625E14;1.2776671646835556E14
33;230.537875;39;39;0;266;272;1.27868496783291E14;1.277679361669642E14
34;222.262708;39;39;0;266;272;1.27869819371791E14;1.277692473928393E14
35;197.999709;39;39;0;266;272;1.27871060689208E14;1.2777046163542564E14
36;88.489041;39;39;0;266;272;1.27872259214541E14;1.2777158028873781E14
37;149.362875;39;39;0;266;272;1.27873357708375E14;1.2777272320402617E14
38;135.442208;39;39;0;266;272;1.27874532437416E14;1.2777389182206266E14
39;183.042125;39;39;0;266;272;1.27875692627083E14;1.2777508138483998E14
40;242.010875;39;39;0;266;272;1.27876943321916E14;1.2777638571493119E14
41;118.949667;39;39;0;266;272;1.27878192889125E14;1.2777752120935267E14
42;118.353041;39;39;0;266;272;1.27879325843125E14;1.2777866760586106E14
43;87.140417;39;39;0;266;272;1.27880449198625E14;1.2777974664202406E14
