Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV;realTimeAtEnding
0;2023-03-05T16:38:08.827811000;9.96894084E8;39;39;0;266;273;1.27816741000916E14;1.2772842111579919E14;1.27827737848541E14
1;2023-03-05T16:38:10.831349000;3.2615875E8;39;39;0;266;273;1.27838744564833E14;1.27729744934564E14;1.27829070718E14
2;2023-03-05T16:38:12.162710000;3.4555E8;39;39;0;266;273;1.27820075935583E14;1.2773111168768244E14;1.27830421479291E14
3;2023-03-05T16:38:13.508496000;3.87011416E8;39;39;0;266;273;1.27841421784166E14;1.2773248091193997E14;1.27831808787541E14
4;2023-03-05T16:38:14.903703000;3.44983834E8;39;39;0;266;273;1.27822817034458E14;1.2773384553098194E14;1.2783316201075E14
5;2023-03-05T16:38:16.250787000;3.1035975E8;39;39;0;266;273;1.27844164191666E14;1.2773514770615744E14;1.27834474543125E14
6;2023-03-05T16:38:17.561387000;2.96469792E8;39;39;0;266;273;1.278254748385E14;1.277364501484776E14;1.2783577130025E14
7;2023-03-05T16:38:18.864927000;2.57819958E8;39;39;0;266;273;1.27846778411083E14;1.2773770681924503E14;1.27837036225125E14
8;2023-03-05T16:38:20.127893000;3.45372542E8;39;39;0;266;273;1.27828041440666E14;1.2773906956904642E14;1.27838386805625E14
9;2023-03-05T16:38:21.476312000;1.8999E8;39;39;0;266;273;1.27849389954375E14;1.27740244916539E14;1.27839579936333E14
10;2023-03-05T16:38:22.672013000;3.63707209E8;39;39;0;266;273;1.27830585647625E14;1.2774162358968672E14;1.27840949344625E14
11;2023-03-05T16:38:24.040881000;1.28510209E8;39;39;0;266;273;1.27851954572375E14;1.2774275289495962E14;1.2784208307525E14
12;2023-03-05T16:38:25.174505000;2.23267709E8;39;39;0;266;273;1.27833088283125E14;1.2774399548919055E14;1.27843311541666E14
13;2023-03-05T16:38:26.403076000;1.97176E8;39;39;0;266;273;1.27854316865458E14;1.2774518138376978E14;1.27844514019541E14
14;2023-03-05T16:38:27.614660000;1.47541417E8;39;39;0;266;273;1.27835528481041E14;1.2774635952453308E14;1.27845676014125E14
15;2023-03-05T16:38:28.765017000;1.8898525E8;39;39;0;266;273;1.27856678886166E14;1.277475350387184E14;1.27846867863208E14
16;2023-03-05T16:38:29.959127000;1.35017958E8;39;39;0;266;273;1.27837873044416E14;1.2774869041095614E14;1.27848008053458E14
17;2023-03-05T16:38:31.100329000;1.42020917E8;39;39;0;266;273;1.27859014285833E14;1.2774982085128427E14;1.27849156299958E14
18;2023-03-05T16:38:32.250341000;2.51982333E8;39;39;0;266;273;1.27840164342625E14;1.2775109514866747E14;1.27850416318083E14
19;2023-03-05T16:38:33.507452000;2.58087292E8;39;39;0;266;273;1.27861421505666E14;1.2775233679169806E14;1.2785167958375E14
20;2023-03-05T16:38:34.770685000;2.36813208E8;39;39;0;266;273;1.27842684790333E14;1.2775359525061744E14;1.2785292159275E14
21;2023-03-05T16:38:36.017668000;2.92239208E8;39;39;0;266;273;1.27863931816791E14;1.277548772654609E14;1.27854224049583E14
22;2023-03-05T16:38:37.316148000;1.93344542E8;39;39;0;266;273;1.27845230346708E14;1.2775609831665362E14;1.27855423681916E14
23;2023-03-05T16:38:38.514664000;2.09205625E8;39;39;0;266;273;1.27866428915458E14;1.2775729634338142E14;1.27856638112208E14
24;2023-03-05T16:38:39.729005000;2.30486042E8;39;39;0;266;273;1.27847643301958E14;1.2775854558784531E14;1.27857873778958E14
25;2023-03-05T16:38:40.962533000;1.4731425E8;39;39;0;266;273;1.27868876873708E14;1.2775968222838881E14;1.27859024181583E14
26;2023-03-05T16:38:42.113944000;1.12623E8;39;39;0;266;273;1.27850028333416E14;1.2776081373401188E14;1.2786014094775E14
27;2023-03-05T16:38:43.228842000;3.00047708E8;39;39;0;266;273;1.27871143271958E14;1.2776208671748469E14;1.27861443310625E14
28;2023-03-05T16:38:44.530516000;2.2744125E8;39;39;0;266;273;1.27852444997333E14;1.277633310178756E14;1.27862672430416E14
29;2023-03-05T16:38:45.763068000;1.83326083E8;39;39;0;266;273;1.27873677595291E14;1.2776450725335205E14;1.27863860914416E14
30;2023-03-05T16:38:46.952308000;1.60557459E8;39;39;0;266;273;1.27854866885916E14;1.2776569636200712E14;1.27865027433833E14
31;2023-03-05T16:38:48.116727000;1.57076584E8;39;39;0;266;273;1.27876031351458E14;1.2776683754539883E14;1.27866188419833E14
32;2023-03-05T16:38:49.278901000;2.91345958E8;39;39;0;266;273;1.27857193565875E14;1.2776814337524289E14;1.27867484902333E14
33;2023-03-05T16:38:50.575583000;2.34060042E8;39;39;0;266;273;1.2787849029925E14;1.2776936478042367E14;1.27868724347916E14
34;2023-03-05T16:38:51.815425000;2.89705208E8;39;39;0;266;273;1.2785973018975E14;1.2777067659706289E14;1.27870019884666E14
35;2023-03-05T16:38:53.110328000;2.278675E8;39;39;0;266;273;1.27881025146333E14;1.2777188770664462E14;1.27871253003458E14
