Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;499.5995;7;7;0;36;50
1;137.966084;7;7;0;36;50
2;171.260458;7;7;0;36;50
3;120.522334;7;7;0;36;50
4;124.563667;7;7;0;36;50
5;118.271208;7;7;0;36;50
6;219.655708;7;7;0;36;50
7;69.524917;7;7;0;36;50
8;173.397708;7;7;0;36;50
9;36.936;7;7;0;36;50
10;31.481041;7;7;0;36;50
11;128.707416;7;7;0;36;50
12;160.871083;7;7;0;36;50
13;134.531417;7;7;0;36;50
14;81.4165;7;7;0;36;50
15;197.930625;7;7;0;36;50
16;78.935208;7;7;0;36;50
17;144.965875;7;7;0;36;50
18;143.723208;7;7;0;36;50
19;117.79875;7;7;0;36;50
20;107.402333;7;7;0;36;50
21;57.433166;7;7;0;36;50
22;118.160542;7;7;0;36;50
23;139.719791;7;7;0;36;50
24;137.34875;7;7;0;36;50
25;137.635542;7;7;0;36;50
26;67.024875;7;7;0;36;50
27;46.090291;7;7;0;36;50
28;43.672625;7;7;0;36;50
29;56.93525;7;7;0;36;50
30;150.799375;7;7;0;36;50
31;140.701709;7;7;0;36;50
32;190.485667;7;7;0;36;50
33;108.334208;7;7;0;36;50
34;104.274833;7;7;0;36;50
35;100.977;7;7;0;36;50
36;134.461792;7;7;0;36;50
37;121.976833;7;7;0;36;50
38;32.285042;7;7;0;36;50
39;131.148042;7;7;0;36;50
40;133.393791;7;7;0;36;50
41;29.271125;7;7;0;36;50
42;31.825041;7;7;0;36;50
43;116.985667;7;7;0;36;50
44;31.206125;7;7;0;36;50
45;41.158375;7;7;0;36;50
46;114.656292;7;7;0;36;50
47;22.5085;7;7;0;36;50
48;19.982542;7;7;0;36;50
49;26.101333;7;7;0;36;50
50;25.121959;7;7;0;36;50
51;151.944083;7;7;0;36;50
52;140.501458;7;7;0;36;50
53;132.285459;7;7;0;36;50
54;54.305542;7;7;0;36;50
55;75.681917;7;7;0;36;50
56;122.125791;7;7;0;36;50
57;42.158541;7;7;0;36;50
58;362.404166;7;7;0;36;50
59;29.941709;7;7;0;36;50
60;27.695042;7;7;0;36;50
61;34.127042;7;7;0;36;50
62;24.362625;7;7;0;36;50
63;23.1375;7;7;0;36;50
64;22.077;7;7;0;36;50
65;22.264917;7;7;0;36;50
66;23.912;7;7;0;36;50
67;27.340542;7;7;0;36;50
68;24.834458;7;7;0;36;50
69;27.546709;7;7;0;36;50
70;25.595791;7;7;0;36;50
71;22.107667;7;7;0;36;50
72;101.211042;7;7;0;36;50
73;27.478167;7;7;0;36;50
74;64.361625;7;7;0;36;50
75;74.083459;7;7;0;36;50
76;132.569291;7;7;0;36;50
77;25.696708;7;7;0;36;50
78;32.154584;7;7;0;36;50
79;26.691459;7;7;0;36;50
80;167.303083;7;7;0;36;50
81;27.66275;7;7;0;36;50
82;26.733;7;7;0;36;50
83;19.647625;7;7;0;36;50
84;82.20175;7;7;0;36;50
85;27.1035;7;7;0;36;50
86;122.534;7;7;0;36;50
87;27.040583;7;7;0;36;50
88;27.318208;7;7;0;36;50
89;132.308333;7;7;0;36;50
90;27.074083;7;7;0;36;50
91;131.295583;7;7;0;36;50
92;24.627042;7;7;0;36;50
93;27.709334;7;7;0;36;50
94;60.617041;7;7;0;36;50
95;97.233625;7;7;0;36;50
96;66.636209;7;7;0;36;50
97;51.515167;7;7;0;36;50
98;24.00725;7;7;0;36;50
99;61.313084;7;7;0;36;50
100;72.604667;7;7;0;36;50
101;46.65425;7;7;0;36;50
102;26.576917;7;7;0;36;50
103;135.856625;7;7;0;36;50
104;236.745875;7;7;0;36;50
105;51.742667;7;7;0;36;50
106;27.003;7;7;0;36;50
107;72.239167;7;7;0;36;50
108;23.245833;7;7;0;36;50
109;135.424666;7;7;0;36;50
110;28.048292;7;7;0;36;50
111;118.593125;7;7;0;36;50
112;22.29775;7;7;0;36;50
113;22.343458;7;7;0;36;50
114;24.348292;7;7;0;36;50
115;25.480667;7;7;0;36;50
116;31.551416;7;7;0;36;50
117;142.552708;7;7;0;36;50
118;64.281333;7;7;0;36;50
119;120.859458;7;7;0;36;50
120;26.54375;7;7;0;36;50
121;23.655542;7;7;0;36;50
122;108.940292;7;7;0;36;50
123;30.107334;7;7;0;36;50
