Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;2023-02-27T11:37:48.107631000;117.455709;2;2;0;24;27
1;2023-02-27T11:37:48.330181000;27.423917;2;2;0;24;27
2;2023-02-27T11:37:48.458702000;18.222958;2;2;0;24;27
3;2023-02-27T11:37:48.582016000;14.973667;2;2;0;24;27
4;2023-02-27T11:37:48.702123000;25.837333;2;2;0;24;27
5;2023-02-27T11:37:48.830175000;16.912291;2;2;0;24;27
6;2023-02-27T11:37:48.952202000;21.79925;2;2;0;24;27
7;2023-02-27T11:37:49.074988000;25.55975;2;2;0;24;27
8;2023-02-27T11:37:49.201713000;21.74625;2;2;0;24;27
9;2023-02-27T11:37:49.328490000;24.881875;2;2;0;24;27
10;2023-02-27T11:37:49.458478000;20.136083;2;2;0;24;27
11;2023-02-27T11:37:49.580369000;15.699584;2;2;0;24;27
12;2023-02-27T11:37:49.701258000;12.420875;2;2;0;24;27
13;2023-02-27T11:37:49.818739000;19.797583;2;2;0;24;27
14;2023-02-27T11:37:49.939431000;32.683042;2;2;0;24;27
15;2023-02-27T11:37:50.072399000;19.930667;2;2;0;24;27
16;2023-02-27T11:37:50.194851000;16.573708;2;2;0;24;27
17;2023-02-27T11:37:50.316559000;13.382208;2;2;0;24;27
18;2023-02-27T11:37:50.432994000;25.688416;2;2;0;24;27
19;2023-02-27T11:37:50.561431000;13.403792;2;2;0;24;27
20;2023-02-27T11:37:50.675361000;9.664583;2;2;0;24;27
21;2023-02-27T11:37:50.790082000;11.48225;2;2;0;24;27
22;2023-02-27T11:37:50.903383000;10.948417;2;2;0;24;27
23;2023-02-27T11:37:51.019141000;20.2785;2;2;0;24;27
24;2023-02-27T11:37:51.142205000;12.00175;2;2;0;24;27
25;2023-02-27T11:37:51.258638000;12.824916;2;2;0;24;27
26;2023-02-27T11:37:51.376382000;13.782;2;2;0;24;27
27;2023-02-27T11:37:51.494549000;15.673167;2;2;0;24;27
28;2023-02-27T11:37:51.614628000;27.582917;2;2;0;24;27
29;2023-02-27T11:37:51.746709000;27.074083;2;2;0;24;27
30;2023-02-27T11:37:51.878238000;17.725083;2;2;0;24;27
31;2023-02-27T11:37:51.996246000;13.148;2;2;0;24;27
32;2023-02-27T11:37:52.110977000;12.550083;2;2;0;24;27
33;2023-02-27T11:37:52.225300000;10.033625;2;2;0;24;27
34;2023-02-27T11:37:52.340130000;9.345208;2;2;0;24;27
35;2023-02-27T11:37:52.454597000;10.589875;2;2;0;24;27
36;2023-02-27T11:37:52.570280000;16.140625;2;2;0;24;27
37;2023-02-27T11:37:52.689543000;11.733208;2;2;0;24;27
38;2023-02-27T11:37:52.806320000;10.47575;2;2;0;24;27
39;2023-02-27T11:37:52.921922000;11.81;2;2;0;24;27
40;2023-02-27T11:37:53.038815000;12.554958;2;2;0;24;27
41;2023-02-27T11:37:53.153337000;17.15625;2;2;0;24;27
42;2023-02-27T11:37:53.275584000;16.20675;2;2;0;24;27
