Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;586.974333;10;10;0;63;70
1;58.215292;10;10;0;63;70
2;173.040958;10;10;0;63;70
3;123.913667;10;10;0;63;70
4;140.780709;10;10;0;63;70
5;177.606458;10;10;0;63;70
6;88.61725;10;10;0;63;70
7;145.0115;10;10;0;63;70
8;113.3465;10;10;0;63;70
9;128.698375;10;10;0;63;70
10;106.624541;10;10;0;63;70
11;84.22425;10;10;0;63;70
12;143.40575;10;10;0;63;70
13;156.363625;10;10;0;63;70
14;97.295542;10;10;0;63;70
15;57.931709;10;10;0;63;70
16;91.459;10;10;0;63;70
17;46.703625;10;10;0;63;70
18;144.928083;10;10;0;63;70
19;133.44775;10;10;0;63;70
20;120.545084;10;10;0;63;70
21;101.189375;10;10;0;63;70
22;69.017875;10;10;0;63;70
23;109.80975;10;10;0;63;70
24;45.182;10;10;0;63;70
25;100.000666;10;10;0;63;70
26;58.861542;10;10;0;63;70
27;96.082875;10;10;0;63;70
28;62.661458;10;10;0;63;70
29;90.456875;10;10;0;63;70
30;30.511375;10;10;0;63;70
31;57.974333;10;10;0;63;70
32;103.677084;10;10;0;63;70
33;40.78125;10;10;0;63;70
34;127.657542;10;10;0;63;70
35;109.372042;10;10;0;63;70
36;54.726375;10;10;0;63;70
37;117.303333;10;10;0;63;70
38;52.67775;10;10;0;63;70
39;107.350959;10;10;0;63;70
40;35.544333;10;10;0;63;70
41;42.0995;10;10;0;63;70
42;47.038583;10;10;0;63;70
43;71.488084;10;10;0;63;70
44;44.029875;10;10;0;63;70
45;79.68525;10;10;0;63;70
46;37.807458;10;10;0;63;70
47;130.957458;10;10;0;63;70
48;36.484667;10;10;0;63;70
49;36.037667;10;10;0;63;70
50;37.440167;10;10;0;63;70
51;35.441875;10;10;0;63;70
52;31.142917;10;10;0;63;70
53;52.604958;10;10;0;63;70
54;28.264125;10;10;0;63;70
55;126.187125;10;10;0;63;70
56;33.722583;10;10;0;63;70
57;35.391708;10;10;0;63;70
58;55.950833;10;10;0;63;70
59;91.585166;10;10;0;63;70
60;123.463167;10;10;0;63;70
61;45.588416;10;10;0;63;70
62;161.815125;10;10;0;63;70
63;31.394791;10;10;0;63;70
64;44.037042;10;10;0;63;70
65;29.737333;10;10;0;63;70
66;32.951541;10;10;0;63;70
67;32.238125;10;10;0;63;70
68;32.319417;10;10;0;63;70
69;28.976208;10;10;0;63;70
70;160.803333;10;10;0;63;70
71;105.029833;10;10;0;63;70
72;35.35525;10;10;0;63;70
73;151.652;10;10;0;63;70
74;118.238167;10;10;0;63;70
75;106.5875;10;10;0;63;70
76;140.270291;10;10;0;63;70
77;113.536334;10;10;0;63;70
78;58.539667;10;10;0;63;70
79;52.186584;10;10;0;63;70
80;104.465167;10;10;0;63;70
81;126.230792;10;10;0;63;70
82;71.788667;10;10;0;63;70
83;56.798541;10;10;0;63;70
84;61.411375;10;10;0;63;70
85;58.31775;10;10;0;63;70
86;64.893542;10;10;0;63;70
87;44.6215;10;10;0;63;70
88;38.833084;10;10;0;63;70
89;36.291917;10;10;0;63;70
90;38.805791;10;10;0;63;70
91;35.664917;10;10;0;63;70
92;34.634458;10;10;0;63;70
93;206.418209;10;10;0;63;70
94;82.77975;10;10;0;63;70
95;70.992834;10;10;0;63;70
96;96.66725;10;10;0;63;70
97;40.238458;10;10;0;63;70
98;57.901083;10;10;0;63;70
99;93.343583;10;10;0;63;70
100;31.82825;10;10;0;63;70
101;35.23875;10;10;0;63;70
102;71.635417;10;10;0;63;70
103;84.756667;10;10;0;63;70
104;128.568958;10;10;0;63;70
105;125.106833;10;10;0;63;70
106;26.06425;10;10;0;63;70
107;39.638292;10;10;0;63;70
108;27.770084;10;10;0;63;70
109;40.540417;10;10;0;63;70
110;32.29075;10;10;0;63;70
111;237.374208;10;10;0;63;70
112;73.829292;10;10;0;63;70
113;113.965625;10;10;0;63;70
114;335.23275;10;10;0;63;70
115;39.268708;10;10;0;63;70
116;63.740042;10;10;0;63;70
117;74.97275;10;10;0;63;70
118;122.074708;10;10;0;63;70
119;28.421625;10;10;0;63;70
120;99.850417;10;10;0;63;70
121;64.28;10;10;0;63;70
122;132.055708;10;10;0;63;70
123;29.992375;10;10;0;63;70
124;37.764958;10;10;0;63;70
125;31.772;10;10;0;63;70
126;34.253709;10;10;0;63;70
127;29.410708;10;10;0;63;70
128;31.602083;10;10;0;63;70
129;44.239375;10;10;0;63;70
130;33.112458;10;10;0;63;70
131;126.924792;10;10;0;63;70
132;25.958833;10;10;0;63;70
133;67.18175;10;10;0;63;70
134;71.692959;10;10;0;63;70
135;75.456667;10;10;0;63;70
136;27.501917;10;10;0;63;70
137;65.184083;10;10;0;63;70
138;25.649709;10;10;0;63;70
139;23.769375;10;10;0;63;70
140;44.760458;10;10;0;63;70
141;27.937417;10;10;0;63;70
142;47.727541;10;10;0;63;70
143;69.783167;10;10;0;63;70
144;45.122625;10;10;0;63;70
145;91.641833;10;10;0;63;70
146;30.96075;10;10;0;63;70
147;34.058917;10;10;0;63;70
148;89.957791;10;10;0;63;70
149;141.850375;10;10;0;63;70
150;53.081208;10;10;0;63;70
151;123.460542;10;10;0;63;70
152;32.42325;10;10;0;63;70
153;143.414958;10;10;0;63;70
154;82.258959;10;10;0;63;70
155;77.769625;10;10;0;63;70
156;31.201917;10;10;0;63;70
157;104.393208;10;10;0;63;70
158;30.906333;10;10;0;63;70
159;27.115541;10;10;0;63;70
160;24.421334;10;10;0;63;70
161;117.813208;10;10;0;63;70
162;28.944792;10;10;0;63;70
163;26.30575;10;10;0;63;70
164;48.371291;10;10;0;63;70
165;95.192542;10;10;0;63;70
166;26.453084;10;10;0;63;70
167;97.320125;10;10;0;63;70
168;43.191791;10;10;0;63;70
169;124.925875;10;10;0;63;70
170;31.632125;10;10;0;63;70
171;122.821209;10;10;0;63;70
172;36.925583;10;10;0;63;70
173;113.370292;10;10;0;63;70
174;27.553375;10;10;0;63;70
175;29.410084;10;10;0;63;70
176;128.48575;10;10;0;63;70
177;28.411291;10;10;0;63;70
178;70.067458;10;10;0;63;70
179;74.821625;10;10;0;63;70
180;72.571916;10;10;0;63;70
181;86.506791;10;10;0;63;70
182;29.606667;10;10;0;63;70
183;58.921833;10;10;0;63;70
184;78.352375;10;10;0;63;70
185;36.491416;10;10;0;63;70
186;126.06425;10;10;0;63;70
187;28.234458;10;10;0;63;70
188;63.434667;10;10;0;63;70
189;86.743208;10;10;0;63;70
190;29.166791;10;10;0;63;70
191;129.276458;10;10;0;63;70
192;27.049584;10;10;0;63;70
193;82.515833;10;10;0;63;70
194;53.618666;10;10;0;63;70
195;90.884958;10;10;0;63;70
196;31.791042;10;10;0;63;70
197;27.037041;10;10;0;63;70
198;45.025375;10;10;0;63;70
199;84.912167;10;10;0;63;70
200;32.837958;10;10;0;63;70
201;27.4475;10;10;0;63;70
202;97.425042;10;10;0;63;70
203;67.953;10;10;0;63;70
