Id;Texec;expectedH;realH;neededMessages
0;1676.982251;8;8;567
1;1509.571266;8;8;567
2;760.367339;8;8;567
3;473.643407;8;8;567
4;1992.769536;8;8;567
5;2422.315961;8;8;567
6;929.081517;8;8;567
7;397.525889;8;8;567
8;1408.046367;8;8;567
9;555.185247;8;8;567
10;931.873459;8;8;567
11;416.847337;8;8;567
12;346.206915;8;8;567
13;330.010409;8;8;567
14;354.360155;8;8;567
15;320.883742;8;8;567
16;314.744098;8;8;567
17;300.979907;8;8;567
18;320.205599;8;8;567
19;295.513967;8;8;567
20;318.82278;8;8;567
21;310.088085;8;8;567
22;317.972065;8;8;567
23;313.747286;8;8;567
24;309.499639;8;8;567
25;331.663831;8;8;567
26;304.712515;8;8;567
27;290.176211;8;8;567
28;323.470326;8;8;567
29;339.547237;8;8;567
30;326.109492;8;8;567
31;318.726392;8;8;567
32;294.796245;8;8;567
33;293.036824;8;8;567
34;321.81034;8;8;567
35;309.635397;8;8;567
36;299.935393;8;8;567
37;317.443761;8;8;567
38;354.62842;8;8;567
39;390.255119;8;8;567
40;519.602084;8;8;567
41;424.437968;8;8;567
42;438.896729;8;8;567
43;367.70296;8;8;567
44;332.413639;8;8;567
45;331.616756;8;8;567
46;332.446594;8;8;567
47;300.889246;8;8;567
48;354.638483;8;8;567
49;301.368928;8;8;567
50;391.967402;8;8;567
51;295.356509;8;8;567
52;283.243637;8;8;567
53;289.698509;8;8;567
54;274.063611;8;8;567
55;297.312211;8;8;567
56;269.471461;8;8;567
57;268.97518;8;8;567
58;271.166167;8;8;567
59;266.054285;8;8;567
60;308.143337;8;8;567
61;309.137226;8;8;567
62;278.986774;8;8;567
63;264.19404;8;8;567
64;283.670337;8;8;567
65;305.71999;8;8;567
66;273.422887;8;8;567
67;278.886923;8;8;567
68;286.445317;8;8;567
69;273.271058;8;8;567
70;270.636388;8;8;567
71;268.473154;8;8;567
72;279.644503;8;8;567
73;298.818044;8;8;567
74;266.077678;8;8;567
75;276.938503;8;8;567
76;268.301047;8;8;567
77;261.649804;8;8;567
78;291.860864;8;8;567
79;267.292295;8;8;567
80;319.009482;8;8;567
81;406.411219;8;8;567
82;316.241414;8;8;567
83;514.415082;8;8;567
84;340.880132;8;8;567
85;399.383426;8;8;567
86;391.645931;8;8;567
87;470.36277;8;8;567
88;384.487385;8;8;567
89;409.120494;8;8;567
90;376.24311;8;8;567
91;338.30992;8;8;567
92;322.679598;8;8;567
93;290.186103;8;8;567
94;267.838687;8;8;567
95;288.20239;8;8;567
96;274.075645;8;8;567
97;266.693791;8;8;567
98;270.658681;8;8;567
99;307.752185;8;8;567
100;265.195033;8;8;567
101;283.482983;8;8;567
102;268.774825;8;8;567
103;273.817419;8;8;567
104;281.553543;8;8;567
105;263.32534;8;8;567
106;285.678368;8;8;567
107;282.835442;8;8;567
108;272.214478;8;8;567
109;270.60458;8;8;567
110;283.83127;8;8;567
111;278.32377;8;8;567
112;271.045629;8;8;567
113;272.717832;8;8;567
114;278.823138;8;8;567
115;276.781471;8;8;567
116;268.328896;8;8;567
117;260.659585;8;8;567
118;281.532173;8;8;567
119;288.528728;8;8;567
120;259.900539;8;8;567
121;275.247708;8;8;567
122;287.559474;8;8;567
123;270.873159;8;8;567
124;260.825467;8;8;567
125;304.41269;8;8;567
126;279.381452;8;8;567
127;284.950156;8;8;567
128;262.567905;8;8;567
129;279.648507;8;8;567
130;280.931015;8;8;567
131;289.665385;8;8;567
132;255.744749;8;8;567
133;278.80705;8;8;567
134;268.845018;8;8;567
135;270.218555;8;8;567
136;265.098128;8;8;567
137;264.979669;8;8;567
138;258.571089;8;8;567
139;255.95391;8;8;567
140;266.133283;8;8;567
141;256.993799;8;8;567
142;257.709943;8;8;567
143;270.713098;8;8;567
144;284.469494;8;8;567
145;309.075754;8;8;567
146;276.454102;8;8;567
147;313.251829;8;8;567
148;266.39053;8;8;567
149;378.352555;8;8;567
150;376.75963;8;8;567
151;348.886627;8;8;567
152;380.029421;8;8;567
153;314.802116;8;8;567
154;534.657315;8;8;567
155;362.005887;8;8;567
156;374.501967;8;8;567
157;490.171076;8;8;567
158;381.911227;8;8;567
159;365.586005;8;8;567
160;374.548622;8;8;567
161;368.054512;8;8;567
162;303.80115;8;8;567
163;261.682897;8;8;567
164;280.899621;8;8;567
165;263.982224;8;8;567
166;261.816419;8;8;567
167;252.719491;8;8;567
168;254.887965;8;8;567
169;266.393449;8;8;567
170;253.479676;8;8;567
171;255.520075;8;8;567
172;263.435615;8;8;567
173;286.396114;8;8;567
174;253.161691;8;8;567
175;290.361037;8;8;567
176;285.447902;8;8;567
177;286.985783;8;8;567
178;276.420475;8;8;567
179;261.701334;8;8;567
180;279.232061;8;8;567
181;270.193164;8;8;567
182;257.31721;8;8;567
183;269.01871;8;8;567
184;249.575377;8;8;567
185;276.634414;8;8;567
186;256.791015;8;8;567
187;275.630602;8;8;567
188;248.334369;8;8;567
189;260.626421;8;8;567
190;260.670282;8;8;567
191;248.9306;8;8;567
192;268.396494;8;8;567
193;254.990904;8;8;567
194;259.709689;8;8;567
195;293.278156;8;8;567
196;316.04772;8;8;567
197;273.715754;8;8;567
198;290.793268;8;8;567
199;332.722921;8;8;567
200;388.470099;8;8;567
201;316.887576;8;8;567
202;285.693699;8;8;567
203;319.68921;8;8;567
204;307.461328;8;8;567
205;388.773521;8;8;567
206;325.301635;8;8;567
207;303.253752;8;8;567
208;272.544345;8;8;567
209;335.602658;8;8;567
210;313.566651;8;8;567
211;277.018431;8;8;567
212;340.614894;8;8;567
213;376.808841;8;8;567
214;280.581709;8;8;567
215;285.768112;8;8;567
216;261.605815;8;8;567
