Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;2023-02-27T10:27:40.241379000;654.520375;10;10;0;63;70
1;2023-02-27T10:27:41.000081000;62.15575;10;10;0;63;70
2;2023-02-27T10:27:41.166742000;182.265084;10;10;0;63;70
3;2023-02-27T10:27:41.449565000;132.543875;10;10;0;63;70
4;2023-02-27T10:27:41.687268000;145.047917;10;10;0;63;70
5;2023-02-27T10:27:41.937184000;184.767458;10;10;0;63;70
6;2023-02-27T10:27:42.227093000;104.067;10;10;0;63;70
7;2023-02-27T10:27:42.435257000;154.107167;10;10;0;63;70
8;2023-02-27T10:27:42.690713000;124.732958;10;10;0;63;70
9;2023-02-27T10:27:42.920588000;171.984166;10;10;0;63;70
10;2023-02-27T10:27:43.197699000;160.646791;10;10;0;63;70
11;2023-02-27T10:27:43.460764000;127.057792;10;10;0;63;70
12;2023-02-27T10:27:43.693059000;151.364333;10;10;0;63;70
13;2023-02-27T10:27:43.949511000;151.878916;10;10;0;63;70
14;2023-02-27T10:27:44.206576000;102.223333;10;10;0;63;70
15;2023-02-27T10:27:44.414132000;59.788458;10;10;0;63;70
16;2023-02-27T10:27:44.578525000;92.082291;10;10;0;63;70
17;2023-02-27T10:27:44.774498000;50.150125;10;10;0;63;70
18;2023-02-27T10:27:44.929914000;163.703583;10;10;0;63;70
19;2023-02-27T10:27:45.195070000;150.88925;10;10;0;63;70
20;2023-02-27T10:27:45.448670000;129.504334;10;10;0;63;70
21;2023-02-27T10:27:45.683293000;100.542958;10;10;0;63;70
22;2023-02-27T10:27:45.889038000;77.467917;10;10;0;63;70
23;2023-02-27T10:27:46.068045000;111.952916;10;10;0;63;70
24;2023-02-27T10:27:46.282187000;45.961583;10;10;0;63;70
25;2023-02-27T10:27:46.433389000;101.396458;10;10;0;63;70
26;2023-02-27T10:27:46.640167000;68.885583;10;10;0;63;70
27;2023-02-27T10:27:46.814171000;95.853917;10;10;0;63;70
28;2023-02-27T10:27:47.011599000;78.750667;10;10;0;63;70
29;2023-02-27T10:27:47.195552000;107.849458;10;10;0;63;70
30;2023-02-27T10:27:47.405084000;35.322916;10;10;0;63;70
31;2023-02-27T10:27:47.541811000;58.893208;10;10;0;63;70
32;2023-02-27T10:27:47.705860000;105.826875;10;10;0;63;70
33;2023-02-27T10:27:47.916738000;41.412875;10;10;0;63;70
34;2023-02-27T10:27:48.062632000;142.063;10;10;0;63;70
35;2023-02-27T10:27:48.309856000;110.016917;10;10;0;63;70
36;2023-02-27T10:27:48.524707000;73.547958;10;10;0;63;70
37;2023-02-27T10:27:48.700977000;120.084625;10;10;0;63;70
38;2023-02-27T10:27:48.923343000;55.487417;10;10;0;63;70
39;2023-02-27T10:27:49.083998000;111.910583;10;10;0;63;70
40;2023-02-27T10:27:49.299955000;36.676125;10;10;0;63;70
41;2023-02-27T10:27:49.441761000;43.622292;10;10;0;63;70
42;2023-02-27T10:27:49.590574000;47.021375;10;10;0;63;70
