tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-8-thread-1;INITIALIZATION;12345;0;0;1675077127067;17.785459
pool-8-thread-2;INITIALIZATION;12346;0;0;1675077127103;0.206375
pool-8-thread-3;INITIALIZATION;12348;0;0;1675077127105;0.17675
pool-8-thread-4;APPROXIMATION;12346;0;1;1675077127116;0.135834
pool-8-thread-5;APPROXIMATION;12345;0;1;1675077127127;0.1795
pool-8-thread-6;APPROXIMATION;12348;0;1;1675077127128;0.141833
pool-8-thread-7;APPROXIMATION;12346;0;2;1675077127130;0.112791
pool-8-thread-8;APPROXIMATION;12345;0;2;1675077127131;0.11475
pool-8-thread-9;APPROXIMATION;12345;0;3;1675077127133;0.1705
pool-8-thread-10;APPROXIMATION;12348;0;2;1675077127133;0.099875
pool-8-thread-9;APPROXIMATION;12346;0;3;1675077127135;0.094708
pool-8-thread-9;APPROXIMATION;12348;0;3;1675077127135;0.159
pool-8-thread-3;APPROXIMATION;12345;0;4;1675077127137;0.132166
pool-8-thread-4;APPROXIMATION;12346;0;4;1675077127137;0.140541
pool-8-thread-5;APPROXIMATION;12348;0;4;1675077127138;0.123208
pool-8-thread-6;APPROXIMATION;12345;0;5;1675077127139;0.16825
pool-8-thread-6;APPROXIMATION;12346;0;5;1675077127140;0.145166
pool-8-thread-8;APPROXIMATION;12348;0;5;1675077127141;0.131958
pool-8-thread-1;APPROXIMATION;12346;0;6;1675077127143;0.12725
pool-8-thread-10;APPROXIMATION;12345;0;6;1675077127143;0.338125
pool-8-thread-2;APPROXIMATION;12348;0;6;1675077127145;0.122625
pool-8-thread-2;APPROXIMATION;12345;0;7;1675077127145;0.103083
pool-8-thread-2;APPROXIMATION;12346;0;7;1675077127146;0.105208
pool-8-thread-2;APPROXIMATION;12348;0;7;1675077127147;0.169667
pool-8-thread-5;HALTED;12345;0;8;1675077127149;0.120209
pool-8-thread-5;HALTED;12346;0;8;1675077127150;0.174542
pool-8-thread-5;HALTED;12348;0;8;1675077127152;0.041209
