tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-14;INITIALIZATION;12345;0;0;1675077127062;2138.041416
pool-1-thread-17;INITIALIZATION;12346;0;0;1675077127101;9561548.149958
pool-1-thread-19;INITIALIZATION;12348;0;0;1675077127103;168.371583
pool-1-thread-22;APPROXIMATION;12346;0;1;1675077127115;13.351167
pool-1-thread-24;APPROXIMATION;12345;0;1;1675077127127;60.641833
pool-1-thread-25;APPROXIMATION;12348;0;1;1675077127127;23.895875
pool-1-thread-26;APPROXIMATION;12346;0;2;1675077127129;14.448208
pool-1-thread-27;APPROXIMATION;12345;0;2;1675077127130;2.987542
pool-1-thread-31;APPROXIMATION;12345;0;3;1675077127133;2.806458
pool-1-thread-32;APPROXIMATION;12348;0;2;1675077127133;6.077083
pool-1-thread-1;APPROXIMATION;12346;0;3;1675077127134;4.718
pool-1-thread-4;APPROXIMATION;12348;0;3;1675077127135;1.806292
pool-1-thread-7;APPROXIMATION;12345;0;4;1675077127136;3.498167
pool-1-thread-9;APPROXIMATION;12346;0;4;1675077127137;2.41525
pool-1-thread-12;APPROXIMATION;12348;0;4;1675077127138;2.964292
pool-1-thread-6;APPROXIMATION;12345;0;5;1675077127139;2.309083
pool-1-thread-14;APPROXIMATION;12346;0;5;1675077127140;2.622708
pool-1-thread-16;APPROXIMATION;12348;0;5;1675077127140;1.955791
pool-1-thread-18;APPROXIMATION;12345;0;6;1675077127142;3.121333
pool-1-thread-21;APPROXIMATION;12346;0;6;1675077127143;2.877334
pool-1-thread-24;APPROXIMATION;12348;0;6;1675077127144;3.964875
pool-1-thread-25;APPROXIMATION;12345;0;7;1675077127145;2.913
pool-1-thread-26;APPROXIMATION;12346;0;7;1675077127146;2.976959
pool-1-thread-28;APPROXIMATION;12348;0;7;1675077127147;2.218709
pool-1-thread-31;HALTED;12345;0;8;1675077127148;3.078
pool-1-thread-3;HALTED;12346;0;8;1675077127150;4.231125
pool-1-thread-2;HALTED;12348;0;8;1675077127151;4.208458
