tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-15;INITIALIZATION;12345;0;0;1675077127067;0.087083
pool-1-thread-19;INITIALIZATION;12347;0;0;1675077127102;0.053542
pool-1-thread-20;INITIALIZATION;12346;0;0;1675077127106;0.192209
pool-1-thread-21;APPROXIMATION;12347;0;1;1675077127116;0.047458
pool-1-thread-22;APPROXIMATION;12346;0;1;1675077127117;0.025125
pool-1-thread-26;APPROXIMATION;12345;0;1;1675077127127;0.173
pool-1-thread-27;APPROXIMATION;12345;0;2;1675077127130;0.044375
pool-1-thread-29;APPROXIMATION;12346;0;2;1675077127131;0.047834
pool-1-thread-31;APPROXIMATION;12347;0;2;1675077127132;0.046209
pool-1-thread-1;APPROXIMATION;12345;0;3;1675077127133;0.047417
pool-1-thread-7;APPROXIMATION;12347;0;3;1675077127136;0.051541
pool-1-thread-5;APPROXIMATION;12346;0;3;1675077127136;0.115833
pool-1-thread-6;APPROXIMATION;12345;0;4;1675077127137;0.033292
pool-1-thread-10;APPROXIMATION;12346;0;4;1675077127138;0.033958
pool-1-thread-11;APPROXIMATION;12347;0;4;1675077127138;0.118084
pool-1-thread-16;APPROXIMATION;12345;0;5;1675077127140;0.069334
pool-1-thread-18;APPROXIMATION;12346;0;5;1675077127141;0.033917
pool-1-thread-19;APPROXIMATION;12347;0;5;1675077127141;0.032292
pool-1-thread-20;APPROXIMATION;12345;0;6;1675077127143;0.039417
pool-1-thread-20;APPROXIMATION;12346;0;6;1675077127143;0.322417
pool-1-thread-20;APPROXIMATION;12347;0;6;1675077127143;0.023667
pool-1-thread-28;APPROXIMATION;12345;0;7;1675077127146;0.042667
pool-1-thread-29;APPROXIMATION;12346;0;7;1675077127146;0.029667
pool-1-thread-31;APPROXIMATION;12347;0;7;1675077127147;0.045708
pool-1-thread-1;HALTED;12345;0;8;1675077127149;0.044291
pool-1-thread-3;HALTED;12347;0;8;1675077127150;0.042292
pool-1-thread-2;HALTED;12346;0;8;1675077127151;0.042709
