tid;type;receiverPort;reqIdInternal;Round;startWalltime;duration
pool-15-thread-1;INITIALIZATION;-1;0;0;1675077406897;5.035583
pool-15-thread-1;APPROXIMATION;-1;0;1;1675077407029;3.676708
pool-15-thread-1;APPROXIMATION;-1;0;2;1675077407136;18.112083
pool-15-thread-1;APPROXIMATION;-1;0;3;1675077407157;13.4425
pool-15-thread-1;APPROXIMATION;-1;0;4;1675077407173;13.593958
pool-15-thread-1;APPROXIMATION;-1;0;5;1675077407190;11.684208
pool-15-thread-1;APPROXIMATION;-1;0;6;1675077407207;10.69
pool-15-thread-1;APPROXIMATION;-1;0;7;1675077407218;10.689584
pool-15-thread-1;APPROXIMATION;-1;0;8;1675077407229;8.588417
pool-15-thread-1;HALTED;-1;0;9;1675077407242;1.858625
