tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675077406560;159.687292
pool-16-thread-2;INITIALIZATION;12346;0;0;1675077406720;138.64675
pool-16-thread-3;INITIALIZATION;12347;0;0;1675077406860;2.366458
pool-16-thread-4;INITIALIZATION;12349;0;0;1675077406862;21.007292
pool-16-thread-5;INITIALIZATION;12348;0;0;1675077406883;17.558875
pool-16-thread-6;INITIALIZATION;12351;0;0;1675077406901;42.165625
pool-16-thread-7;INITIALIZATION;12352;0;0;1675077406944;20.260583
pool-16-thread-8;APPROXIMATION;12345;0;1;1675077406965;27.077791
pool-16-thread-9;APPROXIMATION;12346;0;1;1675077406993;13.45725
pool-16-thread-10;APPROXIMATION;12347;0;1;1675077407006;13.622042
pool-16-thread-1;APPROXIMATION;12348;0;1;1675077407020;12.126
pool-16-thread-1;APPROXIMATION;12352;0;1;1675077407032;27.70775
pool-16-thread-1;APPROXIMATION;12349;0;1;1675077407060;0.990667
pool-16-thread-1;APPROXIMATION;12351;0;1;1675077407061;75.77875
pool-16-thread-1;APPROXIMATION;12345;0;2;1675077407137;9.807125
pool-16-thread-1;APPROXIMATION;12346;0;2;1675077407147;1.830292
pool-16-thread-1;APPROXIMATION;12348;0;2;1675077407149;3.035667
pool-16-thread-1;APPROXIMATION;12349;0;2;1675077407153;1.328917
pool-16-thread-1;APPROXIMATION;12347;0;2;1675077407154;0.050042
pool-16-thread-1;APPROXIMATION;12351;0;2;1675077407154;3.791708
pool-16-thread-1;APPROXIMATION;12352;0;2;1675077407158;1.701417
pool-16-thread-1;APPROXIMATION;12345;0;3;1675077407160;3.416041
pool-16-thread-1;APPROXIMATION;12346;0;3;1675077407164;1.028583
pool-16-thread-1;APPROXIMATION;12347;0;3;1675077407165;1.8375
pool-16-thread-1;APPROXIMATION;12348;0;3;1675077407167;0.7515
pool-16-thread-1;APPROXIMATION;12349;0;3;1675077407168;2.66725
pool-16-thread-1;APPROXIMATION;12352;0;3;1675077407170;4.672
pool-16-thread-1;APPROXIMATION;12351;0;3;1675077407175;2.353958
pool-16-thread-1;APPROXIMATION;12345;0;4;1675077407178;3.067875
pool-16-thread-1;APPROXIMATION;12346;0;4;1675077407181;0.864583
pool-16-thread-1;APPROXIMATION;12347;0;4;1675077407182;0.692541
pool-16-thread-1;APPROXIMATION;12348;0;4;1675077407183;1.064208
pool-16-thread-1;APPROXIMATION;12349;0;4;1675077407184;3.015375
pool-16-thread-1;APPROXIMATION;12351;0;4;1675077407187;4.605375
pool-16-thread-1;APPROXIMATION;12352;0;4;1675077407192;1.155791
pool-16-thread-1;APPROXIMATION;12345;0;5;1675077407193;1.914208
pool-16-thread-1;APPROXIMATION;12346;0;5;1675077407195;0.985
pool-16-thread-1;APPROXIMATION;12347;0;5;1675077407196;0.656583
pool-16-thread-1;APPROXIMATION;12348;0;5;1675077407197;2.754959
pool-16-thread-1;APPROXIMATION;12349;0;5;1675077407200;1.953042
pool-16-thread-1;APPROXIMATION;12352;0;5;1675077407202;4.140708
pool-16-thread-1;APPROXIMATION;12351;0;5;1675077407207;1.060584
pool-16-thread-1;APPROXIMATION;12345;0;6;1675077407208;1.956125
pool-16-thread-1;APPROXIMATION;12346;0;6;1675077407210;0.829959
pool-16-thread-1;APPROXIMATION;12347;0;6;1675077407211;1.17575
pool-16-thread-1;APPROXIMATION;12348;0;6;1675077407212;1.078917
pool-16-thread-1;APPROXIMATION;12349;0;6;1675077407213;1.573875
pool-16-thread-1;APPROXIMATION;12351;0;6;1675077407215;3.317959
pool-16-thread-1;APPROXIMATION;12352;0;6;1675077407218;1.005333
pool-16-thread-1;APPROXIMATION;12345;0;7;1675077407220;1.222708
pool-16-thread-1;APPROXIMATION;12346;0;7;1675077407221;0.881083
pool-16-thread-1;APPROXIMATION;12347;0;7;1675077407222;1.87025
pool-16-thread-1;APPROXIMATION;12349;0;7;1675077407224;1.307542
pool-16-thread-1;APPROXIMATION;12348;0;7;1675077407225;0.666834
pool-16-thread-1;APPROXIMATION;12351;0;7;1675077407226;4.566375
pool-16-thread-1;APPROXIMATION;12352;0;7;1675077407231;0.408208
pool-16-thread-1;APPROXIMATION;12345;0;8;1675077407231;1.855459
pool-16-thread-1;APPROXIMATION;12346;0;8;1675077407233;8.302167
pool-16-thread-1;HALTED;12346;0;9;1675077407242;2.398375
pool-16-thread-5;HALTED;12351;0;9;1675077407244;0.149583
pool-16-thread-6;HALTED;12345;0;9;1675077407244;0.034417
pool-16-thread-7;HALTED;12348;0;9;1675077407245;0.034584
pool-16-thread-8;HALTED;12352;0;9;1675077407245;0.030458
pool-16-thread-9;HALTED;12349;0;9;1675077407245;0.029792
pool-16-thread-10;HALTED;12347;0;9;1675077407245;0.036583
pool-16-thread-2;APPROXIMATION;12351;0;8;1675077407245;0.031042
pool-16-thread-3;APPROXIMATION;12352;0;8;1675077407245;0.03075
pool-16-thread-4;APPROXIMATION;12349;0;8;1675077407245;0.0315
pool-16-thread-4;APPROXIMATION;12347;0;8;1675077407245;0.027792
pool-16-thread-1;APPROXIMATION;12348;0;8;1675077407245;0.0655
