tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-8-thread-1;INITIALIZATION;12347;0;0;1675077126950;157.190292
pool-8-thread-2;INITIALIZATION;12346;0;0;1675077127107;0.059833
pool-8-thread-3;INITIALIZATION;12348;0;0;1675077127111;0.09325
pool-8-thread-4;APPROXIMATION;12347;0;1;1675077127113;1.324375
pool-8-thread-5;APPROXIMATION;12346;0;1;1675077127115;0.063542
pool-8-thread-6;APPROXIMATION;12348;0;1;1675077127116;9.589208
pool-8-thread-7;APPROXIMATION;12346;0;2;1675077127126;2.817667
pool-8-thread-8;APPROXIMATION;12347;0;2;1675077127129;0.526375
pool-8-thread-9;APPROXIMATION;12348;0;2;1675077127130;0.056667
pool-8-thread-10;APPROXIMATION;12346;0;3;1675077127131;3.272458
pool-8-thread-1;APPROXIMATION;12348;0;3;1675077127134;0.048375
pool-8-thread-10;APPROXIMATION;12347;0;3;1675077127134;0.326458
pool-8-thread-10;APPROXIMATION;12346;0;4;1675077127135;1.790625
pool-8-thread-10;APPROXIMATION;12347;0;4;1675077127137;0.046125
pool-8-thread-10;APPROXIMATION;12348;0;4;1675077127137;0.593167
pool-8-thread-6;APPROXIMATION;12348;0;5;1675077127138;1.507459
pool-8-thread-7;APPROXIMATION;12346;0;5;1675077127139;0.051583
pool-8-thread-7;APPROXIMATION;12347;0;5;1675077127139;0.448333
pool-8-thread-7;APPROXIMATION;12346;0;6;1675077127140;2.123708
pool-8-thread-7;APPROXIMATION;12347;0;6;1675077127142;0.068292
pool-8-thread-7;APPROXIMATION;12348;0;6;1675077127143;0.46625
pool-8-thread-7;APPROXIMATION;12346;0;7;1675077127143;1.929333
pool-8-thread-5;APPROXIMATION;12348;0;7;1675077127146;0.109417
pool-8-thread-7;APPROXIMATION;12347;0;7;1675077127146;0.332833
pool-8-thread-7;HALTED;12347;0;8;1675077127146;2.225667
pool-8-thread-7;HALTED;12346;0;8;1675077127149;1.062167
pool-8-thread-7;HALTED;12348;0;8;1675077127150;0.341125
