tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-8-thread-1;INITIALIZATION;12347;0;0;1675077127109;9.531125
pool-8-thread-4;APPROXIMATION;12347;0;1;1675077127118;0.144833
pool-8-thread-2;INITIALIZATION;12346;0;0;1675077127118;0.270625
pool-8-thread-5;APPROXIMATION;12346;0;1;1675077127118;0.07
pool-8-thread-3;INITIALIZATION;12348;0;0;1675077127118;0.311916
pool-8-thread-6;APPROXIMATION;12348;0;1;1675077127126;0.154
pool-8-thread-7;APPROXIMATION;12346;0;2;1675077127129;0.143667
pool-8-thread-8;APPROXIMATION;12347;0;2;1675077127130;0.156084
pool-8-thread-9;APPROXIMATION;12348;0;2;1675077127131;0.169375
pool-8-thread-10;APPROXIMATION;12346;0;3;1675077127134;0.094458
pool-8-thread-1;APPROXIMATION;12348;0;3;1675077127134;0.139625
pool-8-thread-10;APPROXIMATION;12347;0;3;1675077127135;0.187625
pool-8-thread-10;APPROXIMATION;12346;0;4;1675077127137;0.117583
pool-8-thread-10;APPROXIMATION;12347;0;4;1675077127137;0.053917
pool-8-thread-10;APPROXIMATION;12348;0;4;1675077127138;0.104125
pool-8-thread-6;APPROXIMATION;12348;0;5;1675077127139;0.160791
pool-8-thread-7;APPROXIMATION;12346;0;5;1675077127139;0.066708
pool-8-thread-7;APPROXIMATION;12347;0;5;1675077127140;0.126041
pool-8-thread-7;APPROXIMATION;12346;0;6;1675077127142;0.08775
pool-8-thread-7;APPROXIMATION;12347;0;6;1675077127143;0.072917
pool-8-thread-7;APPROXIMATION;12348;0;6;1675077127143;0.105542
pool-8-thread-7;APPROXIMATION;12346;0;7;1675077127146;0.083
pool-8-thread-5;APPROXIMATION;12348;0;7;1675077127146;0.055541
pool-8-thread-7;APPROXIMATION;12347;0;7;1675077127146;0.091916
pool-8-thread-7;HALTED;12347;0;8;1675077127149;0.114666
pool-8-thread-7;HALTED;12346;0;8;1675077127150;0.065208
pool-8-thread-7;HALTED;12348;0;8;1675077127150;0.036584
