type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12349;100;0;1672694091633;0.02376
INITIALIZATION;12346;100;0;1672694091633;0.049341
INITIALIZATION;12347;100;0;1672694091634;0.01191
INITIALIZATION;12350;100;0;1672694091634;0.01105
INITIALIZATION;12348;100;0;1672694091634;0.024971
INITIALIZATION;12352;100;0;1672694091634;0.01426
INITIALIZATION;12351;100;0;1672694091634;0.01462
APPROXIMATION;12346;100;1;1672694091634;0.012151
APPROXIMATION;12347;100;1;1672694091634;0.01155
APPROXIMATION;12349;100;1;1672694091635;0.01533
APPROXIMATION;12352;100;1;1672694091635;0.01019
APPROXIMATION;12348;100;1;1672694091635;0.00426
APPROXIMATION;12350;100;1;1672694091635;0.399254
APPROXIMATION;12351;100;1;1672694091635;0.110801
APPROXIMATION;12346;100;2;1672694091635;0.0064
APPROXIMATION;12347;100;2;1672694091636;0.01206
APPROXIMATION;12348;100;2;1672694091636;0.01017
APPROXIMATION;12349;100;2;1672694091636;0.01483
APPROXIMATION;12351;100;2;1672694091636;0.01833
APPROXIMATION;12352;100;2;1672694091636;0.080461
APPROXIMATION;12350;100;2;1672694091636;0.00549
HALTED;12346;100;3;1672694091636;0.00776
HALTED;12347;100;3;1672694091637;0.00918
HALTED;12348;100;3;1672694091637;0.00673
HALTED;12352;100;3;1672694091637;0.00382
HALTED;12349;100;3;1672694091637;0.007151
HALTED;12351;100;3;1672694091637;0.01249
HALTED;12350;100;3;1672694091637;0.00838
INITIALIZATION;12346;101;0;1672694091738;0.01184
INITIALIZATION;12349;101;0;1672694091738;0.00711
INITIALIZATION;12347;101;0;1672694091738;0.01471
INITIALIZATION;12348;101;0;1672694091739;0.01215
INITIALIZATION;12351;101;0;1672694091739;0.017191
INITIALIZATION;12352;101;0;1672694091739;0.0053
INITIALIZATION;12350;101;0;1672694091739;0.00686
APPROXIMATION;12346;101;1;1672694091739;0.01401
APPROXIMATION;12347;101;1;1672694091739;0.00889
APPROXIMATION;12350;101;1;1672694091740;0.00575
APPROXIMATION;12348;101;1;1672694091740;0.121011
APPROXIMATION;12351;101;1;1672694091740;0.128751
APPROXIMATION;12349;101;1;1672694091740;0.00762
APPROXIMATION;12352;101;1;1672694091740;0.00896
APPROXIMATION;12347;101;2;1672694091740;0.008941
APPROXIMATION;12346;101;2;1672694091740;0.00422
APPROXIMATION;12348;101;2;1672694091740;0.01574
APPROXIMATION;12349;101;2;1672694091741;0.0169
APPROXIMATION;12350;101;2;1672694091741;0.021551
APPROXIMATION;12351;101;2;1672694091741;0.074201
HALTED;12346;101;3;1672694091741;0.00802
APPROXIMATION;12352;101;2;1672694091741;0.00956
HALTED;12347;101;3;1672694091741;0.00904
HALTED;12348;101;3;1672694091741;0.00547
HALTED;12349;101;3;1672694091741;0.015591
HALTED;12351;101;3;1672694091741;0.025811
HALTED;12350;101;3;1672694091742;0.01003
APPROXIMATION;12352;101;3;1672694091742;0.00826
HALTED;12352;101;4;1672694091789;0.00733
INITIALIZATION;12346;102;0;1672694091842;0.00834
INITIALIZATION;12347;102;0;1672694091843;0.00623
INITIALIZATION;12349;102;0;1672694091843;0.01477
INITIALIZATION;12350;102;0;1672694091843;0.008361
INITIALIZATION;12348;102;0;1672694091843;0.01028
INITIALIZATION;12352;102;0;1672694091843;0.00787
INITIALIZATION;12351;102;0;1672694091843;0.00307
APPROXIMATION;12346;102;1;1672694091843;0.00544
APPROXIMATION;12347;102;1;1672694091843;0.01088
APPROXIMATION;12349;102;1;1672694091844;0.00889
APPROXIMATION;12352;102;1;1672694091844;0.00968
APPROXIMATION;12348;102;1;1672694091844;0.030641
APPROXIMATION;12350;102;1;1672694091844;0.205532
APPROXIMATION;12351;102;1;1672694091844;0.172301
APPROXIMATION;12346;102;2;1672694091844;0.00897
APPROXIMATION;12349;102;2;1672694091844;0.00538
APPROXIMATION;12347;102;2;1672694091844;0.00377
APPROXIMATION;12348;102;2;1672694091844;0.00637
APPROXIMATION;12350;102;2;1672694091844;0.00317
APPROXIMATION;12352;102;2;1672694091844;0.00267
APPROXIMATION;12351;102;2;1672694091845;0.00525
APPROXIMATION;12346;102;3;1672694091845;0.0094
APPROXIMATION;12349;102;3;1672694091845;0.00545
APPROXIMATION;12347;102;3;1672694091845;0.00411
APPROXIMATION;12351;102;3;1672694091845;0.01055
APPROXIMATION;12350;102;3;1672694091845;0.00778
APPROXIMATION;12348;102;3;1672694091845;0.006
APPROXIMATION;12352;102;3;1672694091845;0.00395
HALTED;12346;102;4;1672694091845;0.00829
HALTED;12349;102;4;1672694091846;0.00593
HALTED;12347;102;4;1672694091846;0.0109
HALTED;12351;102;4;1672694091846;0.02039
HALTED;12348;102;4;1672694091846;0.00537
HALTED;12350;102;4;1672694091846;0.00857
HALTED;12352;102;4;1672694091846;0.00712
INITIALIZATION;12346;103;0;1672694091947;0.00772
INITIALIZATION;12347;103;0;1672694091947;0.01765
INITIALIZATION;12349;103;0;1672694091947;0.063611
INITIALIZATION;12348;103;0;1672694091947;0.00939
INITIALIZATION;12351;103;0;1672694091947;0.012751
INITIALIZATION;12352;103;0;1672694091947;0.0672
APPROXIMATION;12346;103;1;1672694091948;0.00824
APPROXIMATION;12347;103;1;1672694091948;0.00581
APPROXIMATION;12348;103;1;1672694091948;0.01685
APPROXIMATION;12349;103;1;1672694091948;0.00658
APPROXIMATION;12351;103;1;1672694091948;0.00508
APPROXIMATION;12352;103;1;1672694091948;0.026261
APPROXIMATION;12346;103;2;1672694091949;0.0165
APPROXIMATION;12347;103;2;1672694091949;0.0116
APPROXIMATION;12348;103;2;1672694091949;0.008011
APPROXIMATION;12351;103;2;1672694091949;0.01663
APPROXIMATION;12349;103;2;1672694091949;0.01739
APPROXIMATION;12352;103;2;1672694091949;0.00647
INITIALIZATION;12350;103;0;1672694091949;0.0107
HALTED;12347;103;3;1672694091949;0.01358
HALTED;12352;103;3;1672694091950;0.0129
APPROXIMATION;12350;103;1;1672694091950;0.00955
APPROXIMATION;12350;103;2;1672694091951;0.013901
HALTED;12351;103;3;1672694091989;0.00872
