type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694091579;53.414319
INITIALIZATION;12346;100;0;1672694091633;0.628486
INITIALIZATION;12347;100;0;1672694091634;0.01088
INITIALIZATION;12348;100;0;1672694091634;0.139231
INITIALIZATION;12350;100;0;1672694091634;0.079521
INITIALIZATION;12352;100;0;1672694091634;0.179092
INITIALIZATION;12351;100;0;1672694091635;0.094631
APPROXIMATION;12346;100;1;1672694091635;0.02877
APPROXIMATION;12345;100;1;1672694091635;0.00562
APPROXIMATION;12347;100;1;1672694091635;0.00806
APPROXIMATION;12348;100;1;1672694091635;0.338293
APPROXIMATION;12352;100;1;1672694091635;0.440484
APPROXIMATION;12346;100;2;1672694091636;0.04122
APPROXIMATION;12351;100;1;1672694091636;0.00445
APPROXIMATION;12347;100;2;1672694091636;0.01108
APPROXIMATION;12350;100;1;1672694091636;0.005391
APPROXIMATION;12345;100;2;1672694091636;0.00381
APPROXIMATION;12348;100;2;1672694091636;0.340743
APPROXIMATION;12351;100;2;1672694091636;0.189552
APPROXIMATION;12352;100;2;1672694091636;0.0087
HALTED;12346;100;3;1672694091636;0.152841
APPROXIMATION;12350;100;2;1672694091637;0.075591
HALTED;12347;100;3;1672694091637;0.03501
HALTED;12345;100;3;1672694091637;0.00551
HALTED;12348;100;3;1672694091637;0.041021
HALTED;12352;100;3;1672694091637;0.206882
HALTED;12351;100;3;1672694091637;0.01431
HALTED;12350;100;3;1672694091637;0.329333
INITIALIZATION;12345;101;0;1672694091637;100.361981
INITIALIZATION;12346;101;0;1672694091738;0.366163
INITIALIZATION;12347;101;0;1672694091739;0.194542
INITIALIZATION;12348;101;0;1672694091739;0.202232
INITIALIZATION;12352;101;0;1672694091739;0.01114
INITIALIZATION;12351;101;0;1672694091739;0.601246
APPROXIMATION;12345;101;1;1672694091740;0.215321
APPROXIMATION;12346;101;1;1672694091740;0.03013
APPROXIMATION;12351;101;1;1672694091740;0.00509
APPROXIMATION;12348;101;1;1672694091740;0.0105
INITIALIZATION;12350;101;0;1672694091740;0.00526
APPROXIMATION;12347;101;1;1672694091740;0.110441
APPROXIMATION;12345;101;2;1672694091740;0.136842
APPROXIMATION;12350;101;1;1672694091740;0.01407
APPROXIMATION;12346;101;2;1672694091740;0.220332
APPROXIMATION;12352;101;1;1672694091741;0.01284
APPROXIMATION;12347;101;2;1672694091741;0.00984
APPROXIMATION;12348;101;2;1672694091741;0.275393
APPROXIMATION;12351;101;2;1672694091741;0.06433
HALTED;12345;101;3;1672694091741;0.107321
APPROXIMATION;12350;101;2;1672694091741;0.00536
HALTED;12348;101;3;1672694091741;0.095091
APPROXIMATION;12352;101;2;1672694091742;0.00891
HALTED;12346;101;3;1672694091742;0.02709
HALTED;12347;101;3;1672694091742;0.051661
HALTED;12351;101;3;1672694091742;0.168931
HALTED;12350;101;3;1672694091742;0.00709
APPROXIMATION;12352;101;3;1672694091742;0.115191
HALTED;12352;101;4;1672694091742;47.338345
INITIALIZATION;12345;102;0;1672694091789;52.789393
INITIALIZATION;12346;102;0;1672694091843;0.280842
INITIALIZATION;12347;102;0;1672694091843;0.178561
INITIALIZATION;12348;102;0;1672694091843;0.156172
INITIALIZATION;12350;102;0;1672694091843;0.06583
INITIALIZATION;12352;102;0;1672694091843;0.042271
APPROXIMATION;12345;102;1;1672694091843;0.00995
INITIALIZATION;12351;102;0;1672694091843;0.00328
APPROXIMATION;12346;102;1;1672694091843;0.114671
APPROXIMATION;12347;102;1;1672694091844;0.199552
APPROXIMATION;12348;102;1;1672694091844;0.177521
APPROXIMATION;12352;102;1;1672694091844;0.125411
APPROXIMATION;12350;102;1;1672694091844;0.00955
APPROXIMATION;12351;102;1;1672694091844;0.076911
APPROXIMATION;12345;102;2;1672694091844;0.111791
APPROXIMATION;12346;102;2;1672694091844;0.06312
APPROXIMATION;12347;102;2;1672694091844;0.147112
APPROXIMATION;12352;102;2;1672694091845;0.089271
APPROXIMATION;12348;102;2;1672694091845;0.04405
APPROXIMATION;12350;102;2;1672694091845;0.054411
APPROXIMATION;12345;102;3;1672694091845;0.008671
APPROXIMATION;12351;102;2;1672694091845;0.00287
APPROXIMATION;12346;102;3;1672694091845;0.151281
APPROXIMATION;12347;102;3;1672694091845;0.130821
APPROXIMATION;12351;102;3;1672694091845;0.07456
APPROXIMATION;12348;102;3;1672694091845;0.122931
APPROXIMATION;12350;102;3;1672694091846;0.01275
APPROXIMATION;12352;102;3;1672694091846;0.01224
HALTED;12345;102;4;1672694091846;0.00323
HALTED;12346;102;4;1672694091846;0.135241
HALTED;12347;102;4;1672694091846;0.123721
HALTED;12348;102;4;1672694091846;0.175282
HALTED;12352;102;4;1672694091846;0.01354
HALTED;12350;102;4;1672694091846;0.00305
HALTED;12351;102;4;1672694091846;0.00321
INITIALIZATION;12345;103;0;1672694091846;100.351771
INITIALIZATION;12346;103;0;1672694091947;0.339683
INITIALIZATION;12347;103;0;1672694091947;0.0321
INITIALIZATION;12348;103;0;1672694091947;0.207292
INITIALIZATION;12352;103;0;1672694091948;0.272623
APPROXIMATION;12345;103;1;1672694091948;0.00954
