type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694091633;0.507394
INITIALIZATION;12349;100;0;1672694091634;0.00811
INITIALIZATION;12347;100;0;1672694091634;0.00381
INITIALIZATION;12346;100;0;1672694091634;0.00265
INITIALIZATION;12350;100;0;1672694091634;0.00286
INITIALIZATION;12348;100;0;1672694091634;0.00645
INITIALIZATION;12352;100;0;1672694091635;0.00179
APPROXIMATION;12345;100;1;1672694091635;0.0083
APPROXIMATION;12347;100;1;1672694091635;0.00288
APPROXIMATION;12346;100;1;1672694091635;0.00294
APPROXIMATION;12349;100;1;1672694091635;0.0018
APPROXIMATION;12348;100;1;1672694091635;0.00349
APPROXIMATION;12346;100;2;1672694091636;0.00639
APPROXIMATION;12352;100;1;1672694091636;0.092581
APPROXIMATION;12347;100;2;1672694091636;0.00284
APPROXIMATION;12345;100;2;1672694091636;0.00191
APPROXIMATION;12350;100;1;1672694091636;0.00171
APPROXIMATION;12348;100;2;1672694091636;0.00228
APPROXIMATION;12349;100;2;1672694091636;0.00228
APPROXIMATION;12352;100;2;1672694091637;0.132901
HALTED;12346;100;3;1672694091637;0.00546
HALTED;12347;100;3;1672694091637;0.00175
APPROXIMATION;12350;100;2;1672694091637;0.00317
HALTED;12345;100;3;1672694091637;0.001591
HALTED;12348;100;3;1672694091637;0.00269
HALTED;12349;100;3;1672694091637;0.00197
HALTED;12352;100;3;1672694091637;0.00224
HALTED;12350;100;3;1672694091637;0.00272
INITIALIZATION;12345;101;0;1672694091738;0.526144
INITIALIZATION;12346;101;0;1672694091739;0.00583
INITIALIZATION;12349;101;0;1672694091739;0.00302
INITIALIZATION;12347;101;0;1672694091739;0.00709
INITIALIZATION;12352;101;0;1672694091739;0.00322
INITIALIZATION;12348;101;0;1672694091739;0.00768
INITIALIZATION;12350;101;0;1672694091740;0.00482
APPROXIMATION;12346;101;1;1672694091740;0.00519
APPROXIMATION;12347;101;1;1672694091740;0.00225
APPROXIMATION;12345;101;1;1672694091740;0.00161
APPROXIMATION;12348;101;1;1672694091740;0.00285
APPROXIMATION;12350;101;1;1672694091740;0.00147
APPROXIMATION;12349;101;1;1672694091740;0.103011
APPROXIMATION;12345;101;2;1672694091741;0.00282
APPROXIMATION;12347;101;2;1672694091741;0.0038
APPROXIMATION;12346;101;2;1672694091741;0.00501
APPROXIMATION;12352;101;1;1672694091741;0.0083
APPROXIMATION;12349;101;2;1672694091741;0.009071
HALTED;12345;101;3;1672694091741;0.01762
APPROXIMATION;12350;101;2;1672694091741;0.00222
APPROXIMATION;12348;101;2;1672694091741;0.105771
HALTED;12346;101;3;1672694091741;0.00213
APPROXIMATION;12352;101;2;1672694091742;0.00359
HALTED;12347;101;3;1672694091742;0.00219
HALTED;12348;101;3;1672694091742;0.00236
HALTED;12349;101;3;1672694091742;0.00159
HALTED;12350;101;3;1672694091742;0.00276
APPROXIMATION;12352;101;3;1672694091742;0.00204
HALTED;12352;101;4;1672694091789;0.00255
INITIALIZATION;12345;102;0;1672694091842;0.570695
INITIALIZATION;12346;102;0;1672694091843;0.00526
INITIALIZATION;12347;102;0;1672694091843;0.00624
INITIALIZATION;12349;102;0;1672694091843;0.00226
INITIALIZATION;12350;102;0;1672694091843;0.00267
INITIALIZATION;12348;102;0;1672694091843;0.00421
INITIALIZATION;12352;102;0;1672694091843;0.00175
APPROXIMATION;12345;102;1;1672694091844;0.01125
APPROXIMATION;12347;102;1;1672694091844;0.0053
APPROXIMATION;12346;102;1;1672694091844;0.00279
APPROXIMATION;12349;102;1;1672694091844;0.00187
APPROXIMATION;12352;102;1;1672694091844;0.0021
APPROXIMATION;12348;102;1;1672694091844;0.0051
APPROXIMATION;12350;102;1;1672694091844;0.00155
APPROXIMATION;12345;102;2;1672694091844;0.00404
APPROXIMATION;12346;102;2;1672694091845;0.00247
APPROXIMATION;12349;102;2;1672694091845;0.0021
APPROXIMATION;12347;102;2;1672694091845;0.0055
APPROXIMATION;12352;102;2;1672694091845;0.003541
APPROXIMATION;12350;102;2;1672694091845;0.00442
APPROXIMATION;12348;102;2;1672694091845;0.00152
APPROXIMATION;12345;102;3;1672694091845;0.00434
APPROXIMATION;12346;102;3;1672694091845;0.00295
APPROXIMATION;12349;102;3;1672694091845;0.01024
APPROXIMATION;12347;102;3;1672694091845;0.00198
APPROXIMATION;12350;102;3;1672694091846;0.00348
APPROXIMATION;12348;102;3;1672694091846;0.118561
HALTED;12345;102;4;1672694091846;0.00417
APPROXIMATION;12352;102;3;1672694091846;0.00166
HALTED;12346;102;4;1672694091846;0.00388
HALTED;12349;102;4;1672694091846;0.00216
HALTED;12347;102;4;1672694091846;0.00209
HALTED;12350;102;4;1672694091846;0.002531
HALTED;12348;102;4;1672694091846;0.00112
HALTED;12352;102;4;1672694091846;9.1E-4
INITIALIZATION;12345;103;0;1672694091947;0.545635
INITIALIZATION;12346;103;0;1672694091947;0.00639
INITIALIZATION;12349;103;0;1672694091948;0.00613
INITIALIZATION;12347;103;0;1672694091948;0.00212
INITIALIZATION;12348;103;0;1672694091948;0.00296
APPROXIMATION;12345;103;1;1672694091948;0.01117
INITIALIZATION;12352;103;0;1672694091948;0.00504
APPROXIMATION;12346;103;1;1672694091948;0.009661
APPROXIMATION;12347;103;1;1672694091948;0.01044
APPROXIMATION;12349;103;1;1672694091948;0.00336
APPROXIMATION;12352;103;1;1672694091949;0.00213
APPROXIMATION;12348;103;1;1672694091949;0.00458
APPROXIMATION;12345;103;2;1672694091949;0.00393
APPROXIMATION;12347;103;2;1672694091949;0.00282
APPROXIMATION;12349;103;2;1672694091949;0.00264
APPROXIMATION;12352;103;2;1672694091949;0.00218
APPROXIMATION;12348;103;2;1672694091949;0.00198
HALTED;12345;103;3;1672694091950;0.01887
INITIALIZATION;12350;103;0;1672694091950;0.00346
HALTED;12352;103;3;1672694091950;0.00543
APPROXIMATION;12346;103;2;1672694091989;0.105031
HALTED;12347;103;3;1672694091989;0.00268
APPROXIMATION;12350;103;1;1672694091990;0.00215
APPROXIMATION;12350;103;2;1672694091990;0.0016
APPROXIMATION;12350;103;3;1672694091990;0.00127
HALTED;12349;103;3;1672694091990;0.00246
HALTED;12348;103;3;1672694091990;7.7E-4
HALTED;12346;103;3;1672694091990;0.00142
HALTED;12350;103;4;1672694092039;0.00167
INITIALIZATION;12345;104;0;1672694092051;0.536255
INITIALIZATION;12346;104;0;1672694092051;0.0084
INITIALIZATION;12347;104;0;1672694092051;0.00195
INITIALIZATION;12350;104;0;1672694092052;0.003
INITIALIZATION;12349;104;0;1672694092052;0.00159
INITIALIZATION;12348;104;0;1672694092052;0.00503
APPROXIMATION;12345;104;1;1672694092052;0.01344
INITIALIZATION;12352;104;0;1672694092052;0.00559
APPROXIMATION;12347;104;1;1672694092052;0.00466
APPROXIMATION;12346;104;1;1672694092052;0.0034
APPROXIMATION;12349;104;1;1672694092052;0.0022
APPROXIMATION;12352;104;1;1672694092053;0.00213
APPROXIMATION;12348;104;1;1672694092053;0.00476
APPROXIMATION;12350;104;1;1672694092053;0.00144
APPROXIMATION;12345;104;2;1672694092053;0.0038
APPROXIMATION;12346;104;2;1672694092053;0.00217
APPROXIMATION;12349;104;2;1672694092053;0.00194
APPROXIMATION;12347;104;2;1672694092053;0.0019
APPROXIMATION;12352;104;2;1672694092053;0.00251
APPROXIMATION;12350;104;2;1672694092053;0.115591
APPROXIMATION;12345;104;3;1672694092053;0.0029
APPROXIMATION;12348;104;2;1672694092053;0.00127
APPROXIMATION;12346;104;3;1672694092054;0.00296
APPROXIMATION;12349;104;3;1672694092054;0.00169
APPROXIMATION;12347;104;3;1672694092054;0.00225
APPROXIMATION;12352;104;3;1672694092054;0.01058
APPROXIMATION;12350;104;3;1672694092054;0.124311
APPROXIMATION;12346;104;4;1672694092054;0.00286
APPROXIMATION;12345;104;4;1672694092054;0.00178
APPROXIMATION;12348;104;3;1672694092054;0.00122
APPROXIMATION;12349;104;4;1672694092054;0.00399
APPROXIMATION;12347;104;4;1672694092054;0.00268
APPROXIMATION;12352;104;4;1672694092054;0.00297
APPROXIMATION;12350;104;4;1672694092055;0.05398
APPROXIMATION;12348;104;4;1672694092055;0.00197
HALTED;12345;104;5;1672694092055;0.003
HALTED;12346;104;5;1672694092055;0.00164
HALTED;12349;104;5;1672694092055;0.00351
HALTED;12352;104;5;1672694092055;0.00177
HALTED;12350;104;5;1672694092055;0.00256
HALTED;12347;104;5;1672694092055;9.0E-4
HALTED;12348;104;5;1672694092055;0.00275
INITIALIZATION;12345;105;0;1672694092156;0.536555
INITIALIZATION;12346;105;0;1672694092156;0.00537
INITIALIZATION;12347;105;0;1672694092157;0.003811
INITIALIZATION;12348;105;0;1672694092157;0.00442
INITIALIZATION;12349;105;0;1672694092157;0.00278
INITIALIZATION;12350;105;0;1672694092157;0.005681
INITIALIZATION;12352;105;0;1672694092157;0.00244
APPROXIMATION;12345;105;1;1672694092157;0.00547
APPROXIMATION;12346;105;1;1672694092157;0.00236
APPROXIMATION;12347;105;1;1672694092157;0.00266
APPROXIMATION;12348;105;1;1672694092157;0.00478
APPROXIMATION;12349;105;1;1672694092158;0.00527
APPROXIMATION;12350;105;1;1672694092158;0.00529
APPROXIMATION;12346;105;2;1672694092158;0.00883
APPROXIMATION;12345;105;2;1672694092158;0.00202
APPROXIMATION;12352;105;1;1672694092158;0.00304
APPROXIMATION;12347;105;2;1672694092158;0.00235
APPROXIMATION;12349;105;2;1672694092158;0.00708
APPROXIMATION;12350;105;2;1672694092158;0.00312
APPROXIMATION;12352;105;2;1672694092158;0.09161
APPROXIMATION;12346;105;3;1672694092158;0.00254
APPROXIMATION;12345;105;3;1672694092158;0.00146
APPROXIMATION;12348;105;2;1672694092158;0.0012
APPROXIMATION;12347;105;3;1672694092159;0.00563
APPROXIMATION;12349;105;3;1672694092159;0.01016
APPROXIMATION;12350;105;3;1672694092159;0.00357
APPROXIMATION;12352;105;3;1672694092159;0.113151
HALTED;12346;105;4;1672694092159;0.00342
HALTED;12345;105;4;1672694092159;0.00131
APPROXIMATION;12348;105;3;1672694092159;0.00219
HALTED;12347;105;4;1672694092159;0.00202
HALTED;12349;105;4;1672694092159;0.00177
HALTED;12350;105;4;1672694092159;0.00204
HALTED;12352;105;4;1672694092160;0.00194
HALTED;12348;105;4;1672694092160;0.00164
INITIALIZATION;12345;106;0;1672694092260;0.674876
INITIALIZATION;12346;106;0;1672694092261;0.01073
INITIALIZATION;12347;106;0;1672694092261;0.00313
INITIALIZATION;12349;106;0;1672694092261;0.00215
INITIALIZATION;12350;106;0;1672694092261;0.00246
INITIALIZATION;12348;106;0;1672694092261;0.07337
APPROXIMATION;12345;106;1;1672694092262;0.003841
APPROXIMATION;12346;106;1;1672694092262;0.00199
APPROXIMATION;12347;106;1;1672694092262;0.00157
APPROXIMATION;12349;106;1;1672694092262;0.00202
INITIALIZATION;12352;106;0;1672694092262;0.00181
APPROXIMATION;12350;106;1;1672694092262;0.002211
APPROXIMATION;12348;106;1;1672694092262;0.06554
APPROXIMATION;12352;106;1;1672694092262;0.00184
APPROXIMATION;12345;106;2;1672694092262;0.0024
APPROXIMATION;12347;106;2;1672694092262;0.00169
APPROXIMATION;12349;106;2;1672694092263;0.00324
APPROXIMATION;12346;106;2;1672694092263;0.00204
APPROXIMATION;12350;106;2;1672694092263;0.01064
APPROXIMATION;12352;106;2;1672694092263;0.121971
APPROXIMATION;12345;106;3;1672694092263;0.00335
APPROXIMATION;12348;106;2;1672694092263;0.00147
APPROXIMATION;12347;106;3;1672694092263;0.00178
HALTED;12346;106;3;1672694092263;0.00688
APPROXIMATION;12350;106;3;1672694092263;0.00199
APPROXIMATION;12352;106;3;1672694092263;0.00352
APPROXIMATION;12349;106;3;1672694092264;0.05107
HALTED;12348;106;3;1672694092264;0.00376
HALTED;12345;106;4;1672694092264;0.00179
HALTED;12347;106;4;1672694092264;0.00173
HALTED;12352;106;4;1672694092264;0.00225
HALTED;12349;106;4;1672694092264;9.3E-4
HALTED;12350;106;4;1672694092264;7.4E-4
INITIALIZATION;12345;107;0;1672694092365;0.566205
INITIALIZATION;12346;107;0;1672694092365;0.00576
INITIALIZATION;12347;107;0;1672694092366;0.00283
INITIALIZATION;12349;107;0;1672694092366;0.00166
INITIALIZATION;12350;107;0;1672694092366;0.00793
INITIALIZATION;12348;107;0;1672694092366;0.06528
INITIALIZATION;12352;107;0;1672694092366;0.00311
APPROXIMATION;12345;107;1;1672694092366;0.00385
APPROXIMATION;12346;107;1;1672694092366;0.00188
APPROXIMATION;12347;107;1;1672694092366;0.00197
APPROXIMATION;12349;107;1;1672694092366;0.00221
APPROXIMATION;12350;107;1;1672694092367;0.00287
APPROXIMATION;12352;107;1;1672694092367;0.05537
APPROXIMATION;12348;107;1;1672694092367;0.005311
APPROXIMATION;12345;107;2;1672694092367;0.00215
APPROXIMATION;12346;107;2;1672694092367;0.00183
APPROXIMATION;12347;107;2;1672694092367;0.00186
APPROXIMATION;12348;107;2;1672694092367;0.00252
APPROXIMATION;12350;107;2;1672694092367;0.00175
APPROXIMATION;12352;107;2;1672694092367;0.0412
APPROXIMATION;12345;107;3;1672694092367;0.00272
APPROXIMATION;12347;107;3;1672694092367;0.00256
APPROXIMATION;12346;107;3;1672694092367;0.00157
APPROXIMATION;12348;107;3;1672694092368;0.00253
APPROXIMATION;12350;107;3;1672694092368;0.00193
APPROXIMATION;12352;107;3;1672694092368;0.073591
APPROXIMATION;12345;107;4;1672694092368;0.00244
APPROXIMATION;12346;107;4;1672694092368;0.00258
APPROXIMATION;12347;107;4;1672694092368;0.00148
APPROXIMATION;12348;107;4;1672694092368;0.00366
APPROXIMATION;12350;107;4;1672694092368;0.00147
APPROXIMATION;12352;107;4;1672694092368;0.039971
