type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12348;100;0;1672694725186;0.04876
INITIALIZATION;12346;100;0;1672694725186;0.026891
INITIALIZATION;12351;100;0;1672694725186;0.02775
INITIALIZATION;12349;100;0;1672694725186;0.104801
INITIALIZATION;12347;100;0;1672694725186;0.03985
INITIALIZATION;12352;100;0;1672694725186;0.025491
INITIALIZATION;12350;100;0;1672694725186;0.03639
APPROXIMATION;12346;100;1;1672694725187;0.01583
APPROXIMATION;12348;100;1;1672694725187;0.0123
APPROXIMATION;12349;100;1;1672694725187;0.01815
APPROXIMATION;12347;100;1;1672694725187;0.01728
APPROXIMATION;12350;100;1;1672694725187;0.01734
APPROXIMATION;12351;100;1;1672694725187;0.296743
APPROXIMATION;12352;100;1;1672694725187;0.069981
APPROXIMATION;12346;100;2;1672694725188;0.014781
APPROXIMATION;12347;100;2;1672694725188;0.00966
APPROXIMATION;12348;100;2;1672694725188;0.01978
APPROXIMATION;12349;100;2;1672694725188;0.01208
APPROXIMATION;12350;100;2;1672694725188;0.01887
APPROXIMATION;12351;100;2;1672694725188;0.0116
APPROXIMATION;12352;100;2;1672694725188;0.02118
APPROXIMATION;12346;100;3;1672694725188;0.01294
APPROXIMATION;12347;100;3;1672694725189;0.00991
APPROXIMATION;12348;100;3;1672694725189;0.018921
APPROXIMATION;12349;100;3;1672694725189;0.01409
APPROXIMATION;12350;100;3;1672694725189;0.01838
APPROXIMATION;12351;100;3;1672694725189;0.01392
APPROXIMATION;12352;100;3;1672694725189;0.01129
APPROXIMATION;12346;100;4;1672694725189;0.01064
APPROXIMATION;12347;100;4;1672694725190;0.230612
APPROXIMATION;12349;100;4;1672694725190;0.01951
APPROXIMATION;12348;100;4;1672694725190;0.02899
APPROXIMATION;12350;100;4;1672694725190;0.00895
APPROXIMATION;12351;100;4;1672694725191;0.016201
APPROXIMATION;12352;100;4;1672694725191;0.078661
APPROXIMATION;12346;100;5;1672694725192;0.01412
APPROXIMATION;12347;100;5;1672694725192;0.01643
APPROXIMATION;12348;100;5;1672694725192;0.01052
APPROXIMATION;12349;100;5;1672694725192;0.013631
APPROXIMATION;12350;100;5;1672694725192;0.01004
APPROXIMATION;12351;100;5;1672694725192;0.02011
APPROXIMATION;12352;100;5;1672694725193;0.01129
APPROXIMATION;12346;100;6;1672694725193;0.01269
APPROXIMATION;12347;100;6;1672694725193;0.00337
APPROXIMATION;12348;100;6;1672694725193;0.015211
APPROXIMATION;12349;100;6;1672694725193;0.01426
APPROXIMATION;12350;100;6;1672694725193;0.01027
APPROXIMATION;12351;100;6;1672694725193;0.015331
APPROXIMATION;12352;100;6;1672694725193;0.0104
APPROXIMATION;12346;100;7;1672694725193;0.01181
APPROXIMATION;12347;100;7;1672694725194;0.015461
APPROXIMATION;12348;100;7;1672694725194;0.01054
APPROXIMATION;12349;100;7;1672694725194;0.01315
APPROXIMATION;12350;100;7;1672694725194;0.00841
APPROXIMATION;12351;100;7;1672694725194;0.01487
APPROXIMATION;12352;100;7;1672694725194;0.00889
APPROXIMATION;12346;100;8;1672694725194;0.0148
APPROXIMATION;12347;100;8;1672694725194;0.01487
APPROXIMATION;12348;100;8;1672694725194;0.01398
APPROXIMATION;12349;100;8;1672694725194;0.00632
APPROXIMATION;12350;100;8;1672694725194;0.02009
APPROXIMATION;12351;100;8;1672694725194;0.03435
APPROXIMATION;12352;100;8;1672694725195;0.00714
APPROXIMATION;12346;100;9;1672694725195;0.00915
APPROXIMATION;12347;100;9;1672694725195;0.01505
