type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694725084;101.42151
INITIALIZATION;12348;100;0;1672694725186;0.185731
INITIALIZATION;12351;100;0;1672694725186;0.216942
INITIALIZATION;12349;100;0;1672694725186;0.00877
INITIALIZATION;12352;100;0;1672694725186;0.120411
INITIALIZATION;12347;100;0;1672694725186;0.04045
INITIALIZATION;12350;100;0;1672694725186;0.149712
APPROXIMATION;12345;100;1;1672694725187;0.074021
APPROXIMATION;12348;100;1;1672694725187;0.146161
APPROXIMATION;12349;100;1;1672694725187;0.097681
APPROXIMATION;12352;100;1;1672694725187;0.268993
APPROXIMATION;12347;100;1;1672694725187;0.095551
APPROXIMATION;12350;100;1;1672694725187;0.01464
APPROXIMATION;12351;100;1;1672694725187;0.00388
APPROXIMATION;12348;100;2;1672694725187;0.235432
APPROXIMATION;12347;100;2;1672694725188;0.100581
APPROXIMATION;12349;100;2;1672694725188;0.00546
APPROXIMATION;12345;100;2;1672694725188;0.02832
APPROXIMATION;12352;100;2;1672694725188;0.146512
APPROXIMATION;12351;100;2;1672694725188;0.00606
APPROXIMATION;12350;100;2;1672694725188;0.02343
APPROXIMATION;12347;100;3;1672694725188;0.220342
APPROXIMATION;12348;100;3;1672694725188;0.148291
APPROXIMATION;12345;100;3;1672694725188;0.03877
APPROXIMATION;12349;100;3;1672694725188;0.00456
APPROXIMATION;12351;100;3;1672694725188;0.062311
APPROXIMATION;12350;100;3;1672694725189;0.02032
APPROXIMATION;12352;100;3;1672694725189;0.064721
APPROXIMATION;12347;100;4;1672694725189;0.189321
APPROXIMATION;12348;100;4;1672694725189;0.132092
APPROXIMATION;12349;100;4;1672694725189;0.08116
APPROXIMATION;12350;100;4;1672694725189;0.138622
APPROXIMATION;12352;100;4;1672694725189;0.01751
APPROXIMATION;12351;100;4;1672694725189;0.00294
APPROXIMATION;12345;100;4;1672694725189;0.00157
APPROXIMATION;12347;100;5;1672694725189;0.343153
APPROXIMATION;12348;100;5;1672694725190;0.811498
APPROXIMATION;12350;100;5;1672694725191;0.02946
APPROXIMATION;12352;100;5;1672694725191;0.00258
APPROXIMATION;12349;100;5;1672694725191;0.00149
APPROXIMATION;12351;100;5;1672694725191;0.03524
APPROXIMATION;12345;100;5;1672694725191;0.930708
APPROXIMATION;12348;100;6;1672694725192;0.356373
APPROXIMATION;12349;100;6;1672694725192;0.138692
APPROXIMATION;12350;100;6;1672694725192;0.08424
APPROXIMATION;12351;100;6;1672694725192;0.07585
APPROXIMATION;12347;100;6;1672694725193;0.00269
APPROXIMATION;12352;100;6;1672694725193;0.052091
APPROXIMATION;12345;100;6;1672694725193;0.119671
APPROXIMATION;12347;100;7;1672694725193;0.225042
APPROXIMATION;12348;100;7;1672694725193;0.130871
APPROXIMATION;12349;100;7;1672694725193;0.073521
APPROXIMATION;12351;100;7;1672694725193;0.099011
APPROXIMATION;12352;100;7;1672694725193;0.00298
APPROXIMATION;12345;100;7;1672694725193;0.079441
APPROXIMATION;12350;100;7;1672694725193;0.03619
APPROXIMATION;12347;100;8;1672694725193;0.259863
APPROXIMATION;12348;100;8;1672694725194;0.06353
APPROXIMATION;12349;100;8;1672694725194;0.063681
APPROXIMATION;12351;100;8;1672694725194;0.119031
APPROXIMATION;12350;100;8;1672694725194;0.066711
APPROXIMATION;12345;100;8;1672694725194;0.01944
APPROXIMATION;12352;100;8;1672694725194;0.00198
APPROXIMATION;12347;100;9;1672694725194;0.207862
APPROXIMATION;12348;100;9;1672694725194;0.076541
APPROXIMATION;12349;100;9;1672694725194;0.04989
APPROXIMATION;12350;100;9;1672694725195;0.063111
APPROXIMATION;12351;100;9;1672694725195;0.05476
APPROXIMATION;12352;100;9;1672694725195;0.063741
APPROXIMATION;12345;100;9;1672694725195;0.00353
APPROXIMATION;12347;100;10;1672694725195;0.179952
APPROXIMATION;12349;100;10;1672694725195;0.118781
APPROXIMATION;12348;100;10;1672694725195;0.01237
