type;receiverPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;-1;100;0;1672694725186;0.550895
APPROXIMATION;-1;100;1;1672694725187;0.324042
APPROXIMATION;-1;100;2;1672694725188;0.337353
APPROXIMATION;-1;100;3;1672694725188;0.366773
APPROXIMATION;-1;100;4;1672694725189;0.337393
APPROXIMATION;-1;100;5;1672694725191;0.330763
APPROXIMATION;-1;100;6;1672694725193;0.349263
APPROXIMATION;-1;100;7;1672694725193;0.278353
APPROXIMATION;-1;100;8;1672694725194;0.312272
APPROXIMATION;-1;100;9;1672694725195;0.297533
APPROXIMATION;-1;100;10;1672694725195;0.286712
APPROXIMATION;-1;100;11;1672694725196;0.278782
APPROXIMATION;-1;100;12;1672694725196;0.249712
APPROXIMATION;-1;100;13;1672694725197;0.256423
HALTED;-1;100;14;1672694725197;0.242232
INITIALIZATION;-1;101;0;1672694725301;0.417554
APPROXIMATION;-1;101;1;1672694725301;0.314593
APPROXIMATION;-1;101;2;1672694725302;0.338213
APPROXIMATION;-1;101;3;1672694725303;0.227162
APPROXIMATION;-1;101;4;1672694725350;0.372394
APPROXIMATION;-1;101;5;1672694725350;0.295913
APPROXIMATION;-1;101;6;1672694725351;0.242312
APPROXIMATION;-1;101;7;1672694725352;0.217101
APPROXIMATION;-1;101;8;1672694725400;0.455824
APPROXIMATION;-1;101;9;1672694725401;0.252812
APPROXIMATION;-1;101;10;1672694725401;0.249722
APPROXIMATION;-1;101;11;1672694725402;0.297363
APPROXIMATION;-1;101;12;1672694725403;0.322213
APPROXIMATION;-1;101;13;1672694725403;0.301043
HALTED;-1;101;14;1672694725404;0.280542
INITIALIZATION;-1;102;0;1672694725506;0.598015
APPROXIMATION;-1;102;1;1672694725506;0.273583
APPROXIMATION;-1;102;2;1672694725507;0.677145
APPROXIMATION;-1;102;3;1672694725549;0.347303
APPROXIMATION;-1;102;4;1672694725550;0.632426
APPROXIMATION;-1;102;5;1672694725551;0.379303
APPROXIMATION;-1;102;6;1672694725552;0.242383
APPROXIMATION;-1;102;7;1672694725552;0.271753
APPROXIMATION;-1;102;8;1672694725553;0.245342
