tid;type;receiverPort;reqIdInternal;Round;startWalltime;duration
pool-15-thread-1;INITIALIZATION;-1;0;0;1675070559486;27.999833
pool-15-thread-1;APPROXIMATION;-1;0;1;1675070559708;5.124166
pool-15-thread-1;APPROXIMATION;-1;0;2;1675070559917;12.785958
pool-15-thread-1;HALTED;-1;0;3;1675070559930;18.347625
pool-15-thread-1;INITIALIZATION;-1;1;0;1675070560052;13.626
pool-15-thread-1;APPROXIMATION;-1;1;1;1675070560066;11.589375
pool-15-thread-1;APPROXIMATION;-1;1;2;1675070560078;12.147125
pool-15-thread-1;HALTED;-1;1;3;1675070560090;11.06575
pool-15-thread-1;INITIALIZATION;-1;2;0;1675070560204;33.668541
pool-15-thread-1;APPROXIMATION;-1;2;1;1675070560273;52.133083
pool-15-thread-1;APPROXIMATION;-1;2;2;1675070560326;4.7215
pool-15-thread-1;HALTED;-1;2;3;1675070560345;9.880625
pool-15-thread-1;INITIALIZATION;-1;3;0;1675070560458;31.684833
pool-15-thread-1;APPROXIMATION;-1;3;1;1675070560528;57.110833
pool-15-thread-1;APPROXIMATION;-1;3;2;1675070560588;20.820959
pool-15-thread-1;HALTED;-1;3;3;1675070560611;9.98425
pool-15-thread-1;INITIALIZATION;-1;4;0;1675070560727;28.815
pool-15-thread-1;APPROXIMATION;-1;4;1;1675070560787;39.611209
pool-15-thread-1;APPROXIMATION;-1;4;2;1675070560828;7.357334
pool-15-thread-1;HALTED;-1;4;3;1675070560837;7.006167
pool-15-thread-1;INITIALIZATION;-1;5;0;1675070560948;23.179
pool-15-thread-1;APPROXIMATION;-1;5;1;1675070560989;57.894042
pool-15-thread-1;APPROXIMATION;-1;5;2;1675070561047;29.803542
pool-15-thread-1;HALTED;-1;5;3;1675070561080;7.211583
pool-15-thread-1;INITIALIZATION;-1;6;0;1675070561194;6.76725
pool-15-thread-1;APPROXIMATION;-1;6;1;1675070561208;7.400667
pool-15-thread-1;APPROXIMATION;-1;6;2;1675070561216;12.911792
pool-15-thread-1;HALTED;-1;6;3;1675070561231;9.276042
pool-15-thread-1;INITIALIZATION;-1;7;0;1675070561346;37.732459
pool-15-thread-1;APPROXIMATION;-1;7;1;1675070561409;40.344416
pool-15-thread-1;APPROXIMATION;-1;7;2;1675070561451;9.243709
pool-15-thread-1;HALTED;-1;7;3;1675070561461;6.088083
pool-15-thread-1;INITIALIZATION;-1;8;0;1675070561569;14.350708
pool-15-thread-1;APPROXIMATION;-1;8;1;1675070561589;5.595042
pool-15-thread-1;APPROXIMATION;-1;8;2;1675070561596;5.005792
pool-15-thread-1;HALTED;-1;8;3;1675070561601;4.597959
pool-15-thread-1;INITIALIZATION;-1;9;0;1675070561712;84.983666
pool-15-thread-1;APPROXIMATION;-1;9;1;1675070561823;5.070875
pool-15-thread-1;APPROXIMATION;-1;9;2;1675070561833;5.2095
pool-15-thread-1;HALTED;-1;9;3;1675070561839;3.346125
pool-15-thread-1;INITIALIZATION;-1;10;0;1675070561949;16.155167
pool-15-thread-1;APPROXIMATION;-1;10;1;1675070561971;9.779958
pool-15-thread-1;APPROXIMATION;-1;10;2;1675070561983;6.816667
pool-15-thread-1;HALTED;-1;10;3;1675070561991;4.0105
pool-15-thread-1;INITIALIZATION;-1;11;0;1675070562101;43.897375
pool-15-thread-1;APPROXIMATION;-1;11;1;1675070562167;19.621042
pool-15-thread-1;APPROXIMATION;-1;11;2;1675070562193;11.414042
pool-15-thread-1;HALTED;-1;11;3;1675070562204;6.7695
