tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675070559528;38.617334
pool-16-thread-2;INITIALIZATION;12346;0;0;1675070559583;0.041334
pool-16-thread-3;INITIALIZATION;12349;0;0;1675070559613;0.034583
pool-16-thread-4;INITIALIZATION;12348;0;0;1675070559614;0.028208
pool-16-thread-5;INITIALIZATION;12351;0;0;1675070559654;0.042917
pool-16-thread-6;INITIALIZATION;12350;0;0;1675070559686;0.053416
pool-16-thread-7;INITIALIZATION;12352;0;0;1675070559687;0.08725
pool-16-thread-8;APPROXIMATION;12345;0;1;1675070559711;0.077334
pool-16-thread-9;APPROXIMATION;12346;0;1;1675070559735;0.041375
pool-16-thread-10;APPROXIMATION;12349;0;1;1675070559762;0.040209
pool-16-thread-1;APPROXIMATION;12348;0;1;1675070559765;0.0355
pool-16-thread-1;APPROXIMATION;12350;0;1;1675070559766;0.034292
pool-16-thread-1;APPROXIMATION;12351;0;1;1675070559835;0.027333
pool-16-thread-1;APPROXIMATION;12352;0;1;1675070559917;0.047417
pool-16-thread-1;APPROXIMATION;12346;0;2;1675070559920;0.028291
pool-16-thread-1;APPROXIMATION;12345;0;2;1675070559921;0.031166
pool-16-thread-1;APPROXIMATION;12348;0;2;1675070559926;0.032584
pool-16-thread-1;APPROXIMATION;12349;0;2;1675070559928;0.03325
pool-16-thread-1;APPROXIMATION;12350;0;2;1675070559929;0.030208
pool-16-thread-1;APPROXIMATION;12352;0;2;1675070559931;0.030458
pool-16-thread-1;APPROXIMATION;12351;0;2;1675070559933;0.050541
pool-16-thread-1;HALTED;12345;0;3;1675070559936;0.045708
pool-16-thread-1;HALTED;12346;0;3;1675070559938;0.032625
pool-16-thread-1;HALTED;12348;0;3;1675070559945;0.036208
pool-16-thread-1;HALTED;12349;0;3;1675070559946;0.025542
pool-16-thread-1;HALTED;12350;0;3;1675070559946;0.023958
pool-16-thread-1;HALTED;12351;0;3;1675070559947;0.028083
pool-16-thread-1;HALTED;12352;0;3;1675070559947;0.027042
pool-16-thread-1;INITIALIZATION;12345;1;0;1675070560053;1.573375
pool-16-thread-2;INITIALIZATION;12346;1;0;1675070560058;0.028958
pool-16-thread-2;INITIALIZATION;12349;1;0;1675070560060;0.036083
pool-16-thread-2;INITIALIZATION;12348;1;0;1675070560061;0.035542
pool-16-thread-2;INITIALIZATION;12350;1;0;1675070560063;0.023917
pool-16-thread-2;INITIALIZATION;12351;1;0;1675070560063;0.034666
pool-16-thread-2;INITIALIZATION;12352;1;0;1675070560064;0.018416
pool-16-thread-2;APPROXIMATION;12346;1;1;1675070560067;0.040041
pool-16-thread-9;APPROXIMATION;12348;1;1;1675070560070;0.024667
pool-16-thread-10;APPROXIMATION;12345;1;1;1675070560071;0.034833
pool-16-thread-1;APPROXIMATION;12350;1;1;1675070560073;0.025166
pool-16-thread-1;APPROXIMATION;12351;1;1;1675070560073;0.028333
pool-16-thread-4;APPROXIMATION;12349;1;1;1675070560074;0.023125
pool-16-thread-5;APPROXIMATION;12352;1;1;1675070560077;0.039583
pool-16-thread-5;APPROXIMATION;12348;1;2;1675070560079;0.042084
pool-16-thread-7;APPROXIMATION;12349;1;2;1675070560080;0.043375
pool-16-thread-8;APPROXIMATION;12345;1;2;1675070560081;0.018709
pool-16-thread-8;APPROXIMATION;12346;1;2;1675070560081;0.02175
pool-16-thread-9;APPROXIMATION;12351;1;2;1675070560084;0.0225
pool-16-thread-9;APPROXIMATION;12352;1;2;1675070560085;0.026958
pool-16-thread-3;APPROXIMATION;12350;1;2;1675070560086;0.03725
