tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675070559387;142.687166
pool-16-thread-2;INITIALIZATION;12347;0;0;1675070559531;57.5025
pool-16-thread-3;INITIALIZATION;12346;0;0;1675070559591;0.096
pool-16-thread-4;INITIALIZATION;12349;0;0;1675070559591;22.6135
pool-16-thread-5;INITIALIZATION;12348;0;0;1675070559615;0.523042
pool-16-thread-6;INITIALIZATION;12351;0;0;1675070559616;40.467375
pool-16-thread-7;INITIALIZATION;12352;0;0;1675070559657;31.567542
pool-16-thread-8;APPROXIMATION;12345;0;1;1675070559690;22.378167
pool-16-thread-9;APPROXIMATION;12347;0;1;1675070559713;23.9385
pool-16-thread-10;APPROXIMATION;12346;0;1;1675070559739;0.093542
pool-16-thread-10;APPROXIMATION;12349;0;1;1675070559739;26.62125
pool-16-thread-10;APPROXIMATION;12348;0;1;1675070559766;0.536875
pool-16-thread-10;APPROXIMATION;12351;0;1;1675070559766;69.5985
pool-16-thread-4;APPROXIMATION;12352;0;1;1675070559836;83.921584
pool-16-thread-4;APPROXIMATION;12346;0;2;1675070559920;5.18775
pool-16-thread-4;APPROXIMATION;12345;0;2;1675070559925;2.480292
pool-16-thread-4;APPROXIMATION;12347;0;2;1675070559928;1.873291
pool-16-thread-4;APPROXIMATION;12348;0;2;1675070559930;0.962125
pool-16-thread-4;APPROXIMATION;12349;0;2;1675070559931;0.038541
pool-16-thread-4;APPROXIMATION;12352;0;2;1675070559931;7.04275
pool-16-thread-4;APPROXIMATION;12351;0;2;1675070559938;1.745125
pool-16-thread-4;HALTED;12345;0;3;1675070559940;4.00325
pool-16-thread-4;HALTED;12346;0;3;1675070559945;0.383959
pool-16-thread-4;HALTED;12347;0;3;1675070559945;0.472417
pool-16-thread-4;HALTED;12348;0;3;1675070559946;1.017583
pool-16-thread-4;HALTED;12349;0;3;1675070559947;0.294458
pool-16-thread-4;HALTED;12351;0;3;1675070559947;1.116625
