tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-30;INITIALIZATION;12345;0;0;1675070559508;6197.712959
pool-1-thread-31;INITIALIZATION;12347;0;0;1675070559588;3221476.831458
pool-1-thread-32;INITIALIZATION;12346;0;0;1675070559590;3221478.49175
pool-1-thread-1;INITIALIZATION;12349;0;0;1675070559614;3221502.655875
pool-1-thread-3;INITIALIZATION;12348;0;0;1675070559615;3221503.966916
pool-1-thread-4;INITIALIZATION;12351;0;0;1675070559656;3300.01125
pool-1-thread-8;INITIALIZATION;12352;0;0;1675070559688;349.157709
pool-1-thread-13;APPROXIMATION;12345;0;1;1675070559712;182.466042
pool-1-thread-12;APPROXIMATION;12347;0;1;1675070559736;148.251667
pool-1-thread-14;APPROXIMATION;12346;0;1;1675070559738;148.024833
pool-1-thread-18;APPROXIMATION;12349;0;1;1675070559765;151.07625
pool-1-thread-20;APPROXIMATION;12348;0;1;1675070559766;150.739125
pool-1-thread-15;APPROXIMATION;12351;0;1;1675070559836;179.850875
pool-1-thread-26;APPROXIMATION;12352;0;1;1675070559919;231.603458
pool-1-thread-28;APPROXIMATION;12346;0;2;1675070559924;186.442083
pool-1-thread-28;APPROXIMATION;12345;0;2;1675070559924;212.271709
pool-1-thread-32;APPROXIMATION;12347;0;2;1675070559929;192.571
pool-1-thread-1;APPROXIMATION;12348;0;2;1675070559930;164.167416
pool-1-thread-3;APPROXIMATION;12349;0;2;1675070559931;165.665834
pool-1-thread-7;APPROXIMATION;12352;0;2;1675070559937;17.902791
pool-1-thread-9;APPROXIMATION;12351;0;2;1675070559939;103.447334
pool-1-thread-8;HALTED;12345;0;3;1675070559943;17.0085
pool-1-thread-8;HALTED;12346;0;3;1675070559944;19.128958
pool-1-thread-12;HALTED;12347;0;3;1675070559945;15.846667
pool-1-thread-16;HALTED;12348;0;3;1675070559946;16.01825
pool-1-thread-17;HALTED;12349;0;3;1675070559947;15.491458
pool-1-thread-21;HALTED;12351;0;3;1675070559948;8.645291
pool-1-thread-21;HALTED;12352;0;3;1675070559948;10.679042
pool-1-thread-24;INITIALIZATION;12345;1;0;1675070560054;110.371375
pool-1-thread-27;INITIALIZATION;12347;1;0;1675070560062;116.353416
pool-1-thread-27;INITIALIZATION;12346;1;0;1675070560062;117.135084
pool-1-thread-30;INITIALIZATION;12349;1;0;1675070560062;115.368292
pool-1-thread-27;INITIALIZATION;12348;1;0;1675070560062;116.048875
pool-1-thread-2;INITIALIZATION;12351;1;0;1675070560065;117.260292
pool-1-thread-2;INITIALIZATION;12352;1;0;1675070560066;117.231
pool-1-thread-7;APPROXIMATION;12347;1;1;1675070560068;5.975875
pool-1-thread-6;APPROXIMATION;12346;1;1;1675070560068;5.422042
pool-1-thread-9;APPROXIMATION;12348;1;1;1675070560070;6.395542
pool-1-thread-10;APPROXIMATION;12345;1;1;1675070560071;16.783542
pool-1-thread-17;APPROXIMATION;12351;1;1;1675070560073;7.860666
pool-1-thread-19;APPROXIMATION;12349;1;1;1675070560074;11.379959
pool-1-thread-20;APPROXIMATION;12352;1;1;1675070560077;10.935959
pool-1-thread-22;APPROXIMATION;12348;1;2;1675070560079;9.284
pool-1-thread-22;APPROXIMATION;12349;1;2;1675070560080;4.990209
pool-1-thread-21;APPROXIMATION;12345;1;2;1675070560081;10.475834
pool-1-thread-24;APPROXIMATION;12346;1;2;1675070560082;13.607417
pool-1-thread-15;APPROXIMATION;12347;1;2;1675070560083;15.554041
pool-1-thread-26;APPROXIMATION;12351;1;2;1675070560084;10.657333
