tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-30;INITIALIZATION;12345;0;0;1675070559533;0.092208
pool-1-thread-31;INITIALIZATION;12347;0;0;1675070559590;0.05625
pool-1-thread-32;INITIALIZATION;12346;0;0;1675070559592;0.031416
pool-1-thread-1;INITIALIZATION;12349;0;0;1675070559615;0.05675
pool-1-thread-3;INITIALIZATION;12348;0;0;1675070559616;0.031792
pool-1-thread-11;INITIALIZATION;12350;0;0;1675070559688;0.070125
pool-1-thread-8;INITIALIZATION;12352;0;0;1675070559690;0.041333
pool-1-thread-13;APPROXIMATION;12345;0;1;1675070559713;0.061083
pool-1-thread-12;APPROXIMATION;12347;0;1;1675070559738;0.191208
pool-1-thread-14;APPROXIMATION;12346;0;1;1675070559740;0.041167
pool-1-thread-16;APPROXIMATION;12349;0;1;1675070559766;0.067208
pool-1-thread-16;APPROXIMATION;12348;0;1;1675070559767;0.459375
pool-1-thread-17;APPROXIMATION;12350;0;1;1675070559768;0.037625
pool-1-thread-26;APPROXIMATION;12352;0;1;1675070559921;0.054292
pool-1-thread-27;APPROXIMATION;12346;0;2;1675070559926;0.053917
pool-1-thread-27;APPROXIMATION;12345;0;2;1675070559926;2.004833
pool-1-thread-31;APPROXIMATION;12347;0;2;1675070559931;0.062083
pool-1-thread-1;APPROXIMATION;12348;0;2;1675070559933;0.093791
pool-1-thread-1;APPROXIMATION;12349;0;2;1675070559933;1.404125
pool-1-thread-2;APPROXIMATION;12350;0;2;1675070559936;0.033959
pool-1-thread-6;APPROXIMATION;12352;0;2;1675070559940;0.040375
pool-1-thread-11;HALTED;12345;0;3;1675070559945;0.055792
pool-1-thread-8;HALTED;12346;0;3;1675070559945;0.548542
pool-1-thread-8;HALTED;12347;0;3;1675070559946;0.43725
pool-1-thread-15;HALTED;12348;0;3;1675070559947;0.043542
pool-1-thread-17;HALTED;12349;0;3;1675070559947;0.116667
pool-1-thread-20;HALTED;12350;0;3;1675070559948;0.032125
pool-1-thread-23;HALTED;12352;0;3;1675070559949;0.029542
pool-1-thread-24;INITIALIZATION;12345;1;0;1675070560055;0.047833
pool-1-thread-28;INITIALIZATION;12347;1;0;1675070560063;0.063916
pool-1-thread-18;INITIALIZATION;12346;1;0;1675070560063;0.600209
pool-1-thread-27;INITIALIZATION;12349;1;0;1675070560063;0.586958
pool-1-thread-30;INITIALIZATION;12348;1;0;1675070560064;0.84925
pool-1-thread-3;INITIALIZATION;12350;1;0;1675070560065;0.403417
pool-1-thread-5;INITIALIZATION;12352;1;0;1675070560066;0.030583
pool-1-thread-7;APPROXIMATION;12347;1;1;1675070560068;0.049708
pool-1-thread-7;APPROXIMATION;12346;1;1;1675070560069;0.051167
pool-1-thread-9;APPROXIMATION;12348;1;1;1675070560070;0.034625
pool-1-thread-10;APPROXIMATION;12345;1;1;1675070560071;0.052541
pool-1-thread-8;APPROXIMATION;12350;1;1;1675070560073;0.071916
pool-1-thread-17;APPROXIMATION;12349;1;1;1675070560075;0.043875
