Id;StartingWallTime;Texec;expectedH;realH;neededMessages;processedMessages
0;2023-01-31T15:51:52.419614081;33.586752;9;9;60;77
1;2023-01-31T15:51:52.553492471;13.342518;9;9;60;77
2;2023-01-31T15:51:52.666995946;13.523206;9;9;60;77
3;2023-01-31T15:51:52.780667971;13.621887;9;9;60;77
4;2023-01-31T15:51:52.894429132;12.434699;9;9;60;77
5;2023-01-31T15:51:53.007095841;10.403618;9;9;60;77
6;2023-01-31T15:51:53.117626815;10.238199;9;9;60;77
7;2023-01-31T15:51:53.228040911;9.403988;9;9;60;77
8;2023-01-31T15:51:53.337763691;20.452962;9;9;60;77
9;2023-01-31T15:51:53.458404263;10.876689;9;9;60;77
10;2023-01-31T15:51:53.569477582;9.707365;9;9;60;77
11;2023-01-31T15:51:53.679402857;10.278768;9;9;60;77
12;2023-01-31T15:51:53.789871377;11.20808;9;9;60;77
13;2023-01-31T15:51:53.901250284;9.330701;9;9;60;77
14;2023-01-31T15:51:54.010760399;9.231032;9;9;60;77
15;2023-01-31T15:51:54.120164264;9.821615;9;9;60;77
16;2023-01-31T15:51:54.230161717;8.244772;9;9;60;77
17;2023-01-31T15:51:54.338657800;17.192071;9;9;60;77
18;2023-01-31T15:51:54.455963795;8.874473;9;9;60;77
19;2023-01-31T15:51:54.565023127;8.519681;9;9;60;77
20;2023-01-31T15:51:54.673730265;9.594576;9;9;60;77
21;2023-01-31T15:51:54.783487300;9.176181;9;9;60;77
22;2023-01-31T15:51:54.892811577;8.354574;9;9;60;77
23;2023-01-31T15:51:55.001335476;8.277048;9;9;60;77
24;2023-01-31T15:51:55.109777187;7.28296;9;9;60;77
25;2023-01-31T15:51:55.217204833;7.854648;9;9;60;77
26;2023-01-31T15:51:55.325211350;9.546589;9;9;60;77
27;2023-01-31T15:51:55.434911476;7.01187;9;9;60;77
28;2023-01-31T15:51:55.542067044;8.583844;9;9;60;77
29;2023-01-31T15:51:55.650806331;8.117978;9;9;60;77
30;2023-01-31T15:51:55.759078050;7.180395;9;9;60;77
31;2023-01-31T15:51:55.866414357;7.650664;9;9;60;77
32;2023-01-31T15:51:55.974225515;7.97948;9;9;60;77
33;2023-01-31T15:51:56.082336560;6.926779;9;9;60;77
34;2023-01-31T15:51:56.189416901;6.605554;9;9;60;77
35;2023-01-31T15:51:56.296167112;8.002963;9;9;60;77
36;2023-01-31T15:51:56.404322464;7.602292;9;9;60;77
37;2023-01-31T15:51:56.512066794;7.099097;9;9;60;77
38;2023-01-31T15:51:56.619303097;7.347771;9;9;60;77
39;2023-01-31T15:51:56.726773816;6.692498;9;9;60;77
40;2023-01-31T15:51:56.833603207;6.626989;9;9;60;77
41;2023-01-31T15:51:56.940362102;6.973758;9;9;60;77
42;2023-01-31T15:51:57.047498876;10.64065;9;9;60;77
43;2023-01-31T15:51:57.158336957;10.34596;9;9;60;77
44;2023-01-31T15:51:57.268886182;7.812799;9;9;60;77
45;2023-01-31T15:51:57.376849812;6.871343;9;9;60;77
46;2023-01-31T15:51:57.483846403;6.399012;9;9;60;77
47;2023-01-31T15:51:57.590373680;6.733869;9;9;60;77
48;2023-01-31T15:51:57.697224207;6.519384;9;9;60;77
49;2023-01-31T15:51:57.803868661;6.357003;9;9;60;77
50;2023-01-31T15:51:57.910352211;5.982201;9;9;60;77
51;2023-01-31T15:51:58.016453545;5.845798;9;9;60;77
52;2023-01-31T15:51:58.122415528;5.805321;9;9;60;77
53;2023-01-31T15:51:58.228350706;5.973059;9;9;60;77
54;2023-01-31T15:51:58.334442485;6.258882;9;9;60;77
55;2023-01-31T15:51:58.440844913;5.778606;9;9;60;77
56;2023-01-31T15:51:58.546752073;5.913436;9;9;60;77
57;2023-01-31T15:51:58.652781442;6.396799;9;9;60;77
58;2023-01-31T15:51:58.759319686;5.365972;9;9;60;77
59;2023-01-31T15:51:58.864807718;5.470146;9;9;60;77
60;2023-01-31T15:51:58.970391172;6.383391;9;9;60;77
61;2023-01-31T15:51:59.076887474;6.126398;9;9;60;77
62;2023-01-31T15:51:59.183139526;6.557173;9;9;60;77
63;2023-01-31T15:51:59.289836777;6.010227;9;9;60;77
64;2023-01-31T15:51:59.395972286;5.972333;9;9;60;77
65;2023-01-31T15:51:59.502094334;6.127531;9;9;60;77
66;2023-01-31T15:51:59.608359719;6.185206;9;9;60;77
67;2023-01-31T15:51:59.714693825;6.409616;9;9;60;77
68;2023-01-31T15:51:59.821241212;5.734002;9;9;60;77
69;2023-01-31T15:51:59.927116773;5.967141;9;9;60;77
70;2023-01-31T15:52:00.033227962;6.142291;9;9;60;77
71;2023-01-31T15:52:00.139544825;6.366364;9;9;60;77
72;2023-01-31T15:52:00.246074336;6.033658;9;9;60;77
73;2023-01-31T15:52:00.352293379;6.489286;9;9;60;77
74;2023-01-31T15:52:00.458959515;6.868071;9;9;60;77
75;2023-01-31T15:52:00.565985976;6.48272;9;9;60;77
76;2023-01-31T15:52:00.672626454;5.794253;9;9;60;77
77;2023-01-31T15:52:00.778562217;5.651597;9;9;60;77
78;2023-01-31T15:52:00.884346606;5.487181;9;9;60;77
79;2023-01-31T15:52:00.989970825;5.958056;9;9;60;77
80;2023-01-31T15:52:01.096056306;5.913817;9;9;60;77
81;2023-01-31T15:52:01.202103592;5.658964;9;9;60;77
82;2023-01-31T15:52:01.307916955;5.866473;9;9;60;77
83;2023-01-31T15:52:01.413949752;6.857278;9;9;60;77
84;2023-01-31T15:52:01.520977486;7.392348;9;9;60;77
85;2023-01-31T15:52:01.628551983;25.197981;9;9;60;77
86;2023-01-31T15:52:01.753912185;7.200612;9;9;60;77
87;2023-01-31T15:52:01.861251558;7.439552;9;9;60;77
88;2023-01-31T15:52:01.968801253;7.660849;9;9;60;77
89;2023-01-31T15:52:02.076585254;6.630442;9;9;60;77
