Id;Texec;expectedH;realH;neededMessages;processedMessages
0;123.165537;15;15;240;255
1;59.665866;15;15;240;255
2;40.982493;15;15;240;255
3;62.23314;15;15;240;255
4;96.684743;15;15;240;255
5;70.408891;15;15;240;255
6;43.544252;15;15;240;255
7;36.014499;15;15;240;255
8;35.962125;15;15;240;255
9;41.437225;15;15;240;255
10;43.13284;15;15;240;255
11;34.406768;15;15;240;255
12;65.64189;15;15;240;255
13;94.422398;15;15;240;255
14;123.440732;15;15;240;255
15;105.00989;15;15;240;255
16;66.179071;15;15;240;255
17;61.516362;15;15;240;255
18;37.8399;15;15;240;255
19;29.190065;15;15;240;255
20;28.216758;15;15;240;255
21;30.146262;15;15;240;255
22;30.769295;15;15;240;255
23;22.536373;15;15;240;255
24;21.202644;15;15;240;255
25;65.610428;15;15;240;255
26;30.817252;15;15;240;255
27;17.770086;15;15;240;255
28;16.416384;15;15;240;255
29;22.869958;15;15;240;255
30;17.081551;15;15;240;255
31;16.311525;15;15;240;255
32;16.571338;15;15;240;255
33;17.316038;15;15;240;255
34;15.954234;15;15;240;255
35;15.263356;15;15;240;255
36;16.806075;15;15;240;255
37;15.959568;15;15;240;255
38;15.345403;15;15;240;255
39;17.260671;15;15;240;255
40;16.010638;15;15;240;255
41;16.181503;15;15;240;255
42;43.545361;15;15;240;255
43;15.347796;15;15;240;255
44;27.13462;15;15;240;255
45;65.557494;15;15;240;255
46;68.570269;15;15;240;255
47;29.808156;15;15;240;255
48;28.287178;15;15;240;255
49;16.978628;15;15;240;255
50;16.115883;15;15;240;255
51;15.717808;15;15;240;255
52;14.941609;15;15;240;255
53;21.588575;15;15;240;255
54;15.346916;15;15;240;255
55;31.590892;15;15;240;255
56;15.383479;15;15;240;255
57;15.1808;15;15;240;255
58;15.922499;15;15;240;255
59;16.114398;15;15;240;255
60;15.013093;15;15;240;255
61;15.533844;15;15;240;255
62;15.131765;15;15;240;255
63;14.827714;15;15;240;255
64;16.291639;15;15;240;255
65;16.54268;15;15;240;255
66;15.65105;15;15;240;255
67;17.625765;15;15;240;255
68;15.556067;15;15;240;255
69;16.60054;15;15;240;255
70;14.838442;15;15;240;255
71;15.797318;15;15;240;255
72;16.079935;15;15;240;255
73;14.438478;15;15;240;255
74;15.973248;15;15;240;255
75;16.160825;15;15;240;255
76;14.51412;15;15;240;255
77;14.705433;15;15;240;255
78;15.3325;15;15;240;255
79;16.641019;15;15;240;255
80;15.393701;15;15;240;255
81;14.543702;15;15;240;255
82;17.162944;15;15;240;255
83;14.83532;15;15;240;255
84;14.318549;15;15;240;255
85;15.652856;15;15;240;255
86;14.658615;15;15;240;255
87;14.232885;15;15;240;255
88;14.246655;15;15;240;255
89;13.944274;15;15;240;255
90;14.371679;15;15;240;255
91;16.442374;15;15;240;255
92;17.237208;15;15;240;255
93;14.770962;15;15;240;255
94;15.67473;15;15;240;255
95;14.367078;15;15;240;255
96;13.65212;15;15;240;255
97;14.65052;15;15;240;255
98;14.845389;15;15;240;255
99;14.43794;15;15;240;255
100;14.450083;15;15;240;255
101;15.027445;15;15;240;255
102;15.934739;15;15;240;255
103;16.144064;15;15;240;255
104;14.051922;15;15;240;255
105;18.67582;15;15;240;255
106;16.589433;15;15;240;255
107;14.796352;15;15;240;255
108;14.213799;15;15;240;255
109;13.506204;15;15;240;255
110;15.20525;15;15;240;255
111;14.771778;15;15;240;255
112;14.492025;15;15;240;255
113;15.698995;15;15;240;255
114;16.742244;15;15;240;255
115;14.594351;15;15;240;255
116;14.012813;15;15;240;255
117;18.084428;15;15;240;255
118;15.140203;15;15;240;255
119;14.636722;15;15;240;255
120;13.999714;15;15;240;255
121;14.852334;15;15;240;255
122;15.209479;15;15;240;255
123;14.76121;15;15;240;255
124;18.969391;15;15;240;255
125;96.117976;15;15;240;255
126;17.145622;15;15;240;255
127;60.426142;15;15;240;255
128;119.017033;15;15;240;255
129;105.911764;15;15;240;255
130;43.061124;15;15;240;255
131;43.76581;15;15;240;255
132;14.001835;15;15;240;255
133;14.056552;15;15;240;255
134;14.886171;15;15;240;255
135;14.029056;15;15;240;255
136;16.747889;15;15;240;255
137;13.207359;15;15;240;255
138;13.600864;15;15;240;255
139;13.695246;15;15;240;255
140;17.950914;15;15;240;255
141;14.647168;15;15;240;255
142;14.315917;15;15;240;255
143;15.815282;15;15;240;255
144;34.408683;15;15;240;255
145;13.413041;15;15;240;255
146;14.499008;15;15;240;255
147;15.785936;15;15;240;255
148;14.223313;15;15;240;255
149;18.826713;15;15;240;255
150;18.488144;15;15;240;255
151;15.892834;15;15;240;255
152;14.455338;15;15;240;255
153;15.536032;15;15;240;255
154;13.485893;15;15;240;255
