Id;Texec;expectedH;realH;neededMessages;processedMessages
0;618.109044;21;21;550;713
1;795.263296;21;21;550;713
2;300.525117;21;21;550;713
3;319.364396;21;21;550;713
4;1039.251771;21;21;550;713
5;837.278262;21;21;550;713
6;292.979342;21;21;550;713
7;296.655171;21;21;550;713
8;278.472763;21;21;550;713
9;345.844786;21;21;550;713
10;174.110112;21;21;550;713
11;156.431204;21;21;550;713
12;153.706203;21;21;550;713
13;153.354147;21;21;550;713
14;141.850387;21;21;550;713
15;168.668452;21;21;550;713
16;192.91395;21;21;550;713
17;139.466597;21;21;550;713
18;131.534402;21;21;550;713
19;130.137081;21;21;550;713
20;133.167234;21;21;550;713
21;132.940907;21;21;550;713
22;130.932544;21;21;550;713
23;128.052043;21;21;550;713
24;127.932771;21;21;550;713
25;136.581266;21;21;550;713
26;131.433303;21;21;550;713
27;135.246344;21;21;550;713
28;127.570867;21;21;550;713
29;141.858002;21;21;550;713
30;120.631443;21;21;550;713
31;119.318517;21;21;550;713
32;124.249933;21;21;550;713
33;119.134609;21;21;550;713
34;123.120691;21;21;550;713
35;116.491234;21;21;550;713
36;119.257262;21;21;550;713
37;131.671457;21;21;550;713
38;123.215511;21;21;550;713
39;122.735058;21;21;550;713
40;120.704017;21;21;550;713
41;142.292862;21;21;550;713
42;120.285103;21;21;550;713
43;162.522539;21;21;550;713
44;237.213756;21;21;550;713
45;219.631205;21;21;550;713
46;196.703065;21;21;550;713
47;273.768686;21;21;550;713
48;258.003521;21;21;550;713
49;129.841962;21;21;550;713
50;109.342934;21;21;550;713
51;114.833355;21;21;550;713
52;119.537895;21;21;550;713
53;116.391417;21;21;550;713
54;115.557472;21;21;550;713
55;114.008121;21;21;550;713
56;111.680701;21;21;550;713
57;117.933748;21;21;550;713
58;115.300686;21;21;550;713
59;116.115393;21;21;550;713
60;118.888157;21;21;550;713
61;113.954806;21;21;550;713
62;110.218863;21;21;550;713
63;114.675701;21;21;550;713
64;119.840012;21;21;550;713
65;120.23745;21;21;550;713
66;123.872501;21;21;550;713
67;113.232177;21;21;550;713
68;114.659547;21;21;550;713
69;111.934267;21;21;550;713
70;119.529912;21;21;550;713
71;108.701223;21;21;550;713
72;109.481654;21;21;550;713
73;112.919261;21;21;550;713
74;115.371948;21;21;550;713
75;111.128834;21;21;550;713
76;111.634759;21;21;550;713
77;158.314891;21;21;550;713
78;151.667351;21;21;550;713
79;197.606175;21;21;550;713
80;159.488392;21;21;550;713
81;186.760939;21;21;550;713
82;162.622754;21;21;550;713
83;151.458746;21;21;550;713
84;246.885267;21;21;550;713
85;138.313913;21;21;550;713
86;140.183633;21;21;550;713
87;107.537564;21;21;550;713
88;112.794894;21;21;550;713
89;109.27507;21;21;550;713
90;113.889651;21;21;550;713
91;114.420395;21;21;550;713
92;116.878417;21;21;550;713
93;114.389171;21;21;550;713
94;113.237018;21;21;550;713
95;111.859265;21;21;550;713
96;114.543631;21;21;550;713
97;116.549694;21;21;550;713
98;113.828339;21;21;550;713
99;116.361306;21;21;550;713
100;110.738573;21;21;550;713
101;116.04987;21;21;550;713
102;113.660799;21;21;550;713
103;112.678774;21;21;550;713
104;115.042475;21;21;550;713
105;113.378846;21;21;550;713
106;109.510261;21;21;550;713
107;110.32185;21;21;550;713
108;110.960474;21;21;550;713
109;112.762427;21;21;550;713
110;117.640357;21;21;550;713
111;120.483559;21;21;550;713
112;115.235651;21;21;550;713
113;109.707096;21;21;550;713
114;113.316224;21;21;550;713
115;109.536059;21;21;550;713
116;113.041536;21;21;550;713
117;110.126473;21;21;550;713
118;111.455799;21;21;550;713
119;139.305101;21;21;550;713
120;111.726611;21;21;550;713
121;113.930506;21;21;550;713
122;121.04678;21;21;550;713
123;111.480095;21;21;550;713
124;117.978097;21;21;550;713
125;113.268095;21;21;550;713
126;116.253361;21;21;550;713
127;117.848194;21;21;550;713
128;117.468563;21;21;550;713
129;113.810141;21;21;550;713
130;117.759258;21;21;550;713
131;115.21274;21;21;550;713
132;117.580805;21;21;550;713
133;119.559922;21;21;550;713
134;136.31082;21;21;550;713
135;256.42596;21;21;550;713
136;111.654112;21;21;550;713
137;112.556315;21;21;550;713
138;145.461587;21;21;550;713
139;162.814827;21;21;550;713
140;203.186811;21;21;550;713
141;217.984627;21;21;550;713
142;164.03496;21;21;550;713
143;117.753016;21;21;550;713
144;279.121651;21;21;550;713
145;171.264795;21;21;550;713
146;116.099831;21;21;550;713
147;125.530794;21;21;550;713
148;108.067799;21;21;550;713
149;175.756379;21;21;550;713
150;108.231495;21;21;550;713
151;108.411158;21;21;550;713
152;110.690404;21;21;550;713
153;109.103234;21;21;550;713
154;113.274833;21;21;550;713
155;110.153258;21;21;550;713
156;107.173861;21;21;550;713
157;114.43119;21;21;550;713
158;112.552507;21;21;550;713
159;111.448407;21;21;550;713
160;113.075493;21;21;550;713
161;109.506014;21;21;550;713
162;109.87053;21;21;550;713
163;114.045421;21;21;550;713
164;111.644402;21;21;550;713
165;109.059574;21;21;550;713
166;157.872095;21;21;550;713
167;124.818586;21;21;550;713
168;108.588818;21;21;550;713
169;104.090326;21;21;550;713
170;105.064694;21;21;550;713
171;108.05559;21;21;550;713
172;106.315159;21;21;550;713
173;106.769689;21;21;550;713
174;104.754152;21;21;550;713
175;107.344568;21;21;550;713
176;107.661592;21;21;550;713
177;107.108677;21;21;550;713
178;106.063985;21;21;550;713
179;106.560733;21;21;550;713
180;142.739667;21;21;550;713
181;210.254442;21;21;550;713
182;107.846741;21;21;550;713
183;108.03139;21;21;550;713
184;109.854229;21;21;550;713
185;110.457952;21;21;550;713
186;152.113908;21;21;550;713
187;226.736537;21;21;550;713
188;162.575626;21;21;550;713
189;106.091503;21;21;550;713
190;249.280365;21;21;550;713
191;155.221807;21;21;550;713
192;127.568214;21;21;550;713
193;164.280674;21;21;550;713
194;133.810763;21;21;550;713
195;140.143944;21;21;550;713
196;103.667325;21;21;550;713
197;110.599143;21;21;550;713
198;109.810233;21;21;550;713
199;121.669208;21;21;550;713
200;106.980162;21;21;550;713
201;108.858045;21;21;550;713
202;107.348796;21;21;550;713
203;108.242262;21;21;550;713
204;108.307436;21;21;550;713
205;109.078181;21;21;550;713
206;104.73924;21;21;550;713
207;104.560872;21;21;550;713
208;106.704481;21;21;550;713
209;108.483159;21;21;550;713
210;110.841232;21;21;550;713
211;109.015456;21;21;550;713
212;106.595792;21;21;550;713
213;105.46935;21;21;550;713
214;109.329013;21;21;550;713
215;107.119351;21;21;550;713
216;107.909795;21;21;550;713
217;104.725546;21;21;550;713
218;106.197951;21;21;550;713
219;104.091513;21;21;550;713
220;105.758758;21;21;550;713
221;104.254616;21;21;550;713
222;101.730247;21;21;550;713
223;105.551534;21;21;550;713
224;118.658555;21;21;550;713
225;108.344116;21;21;550;713
226;117.07696;21;21;550;713
227;184.675667;21;21;550;713
228;133.382972;21;21;550;713
229;125.012455;21;21;550;713
230;107.009774;21;21;550;713
231;129.950973;21;21;550;713
232;144.514007;21;21;550;713
233;244.622765;21;21;550;713
234;140.305125;21;21;550;713
235;123.558873;21;21;550;713
236;206.749831;21;21;550;713
237;148.653216;21;21;550;713
238;110.181757;21;21;550;713
239;171.01579;21;21;550;713
240;118.918825;21;21;550;713
241;146.079923;21;21;550;713
242;107.2858;21;21;550;713
243;105.467613;21;21;550;713
244;122.686541;21;21;550;713
245;106.357825;21;21;550;713
246;103.731844;21;21;550;713
247;110.700889;21;21;550;713
248;102.919378;21;21;550;713
249;106.206791;21;21;550;713
250;111.748678;21;21;550;713
251;105.757552;21;21;550;713
252;108.219243;21;21;550;713
253;105.000246;21;21;550;713
254;105.550273;21;21;550;713
255;138.33911;21;21;550;713
256;113.390495;21;21;550;713
257;103.196342;21;21;550;713
258;100.702807;21;21;550;713
259;104.120575;21;21;550;713
260;100.983168;21;21;550;713
261;100.079776;21;21;550;713
262;104.436239;21;21;550;713
263;103.606451;21;21;550;713
264;100.833884;21;21;550;713
265;102.884989;21;21;550;713
266;99.748605;21;21;550;713
267;101.343463;21;21;550;713
268;111.318344;21;21;550;713
269;108.391535;21;21;550;713
270;101.494754;21;21;550;713
271;101.690226;21;21;550;713
272;102.391732;21;21;550;713
273;98.946524;21;21;550;713
274;112.252055;21;21;550;713
275;100.852825;21;21;550;713
276;97.928898;21;21;550;713
277;102.455124;21;21;550;713
278;175.580668;21;21;550;713
279;104.910822;21;21;550;713
280;100.319562;21;21;550;713
281;99.812242;21;21;550;713
282;99.833554;21;21;550;713
283;100.899626;21;21;550;713
284;101.10469;21;21;550;713
285;103.452629;21;21;550;713
286;105.626704;21;21;550;713
287;100.757357;21;21;550;713
288;104.371842;21;21;550;713
289;103.745491;21;21;550;713
290;108.406114;21;21;550;713
291;105.894603;21;21;550;713
292;105.315945;21;21;550;713
293;102.423236;21;21;550;713
294;101.78775;21;21;550;713
295;126.038596;21;21;550;713
296;176.805321;21;21;550;713
297;101.746709;21;21;550;713
298;101.110853;21;21;550;713
299;101.330387;21;21;550;713
