Id;Texec;expectedH;realH;neededMessages
0;6536.90544;8;8;918
1;3668.968658;8;8;918
2;2550.250135;8;8;918
3;2120.667628;8;8;918
4;2181.139408;8;8;918
5;2823.21175;8;8;918
6;3520.873818;8;8;918
7;4977.815332;8;8;918
8;4950.593081;8;8;918
9;2848.567327;8;8;918
10;2624.044777;8;8;918
11;2699.461679;8;8;918
12;1897.13633;8;8;918
13;1920.011573;8;8;918
14;1873.583755;8;8;918
15;2251.322953;8;8;918
16;1592.050842;8;8;918
17;1346.392946;8;8;918
18;1313.402116;8;8;918
19;1416.806002;8;8;918
20;1294.515319;8;8;918
21;1230.44911;8;8;918
22;1217.366605;8;8;918
23;1208.686691;8;8;918
24;1298.649072;8;8;918
25;1318.102105;8;8;918
26;1342.250875;8;8;918
27;1258.230422;8;8;918
28;1228.969884;8;8;918
29;1312.739283;8;8;918
30;1272.135263;8;8;918
31;1293.349819;8;8;918
32;1342.28793;8;8;918
33;1295.383234;8;8;918
34;1363.520337;8;8;918
35;1395.320961;8;8;918
36;1304.00904;8;8;918
37;1526.602053;8;8;918
38;1506.446245;8;8;918
39;1327.500675;8;8;918
40;1355.352366;8;8;918
41;1461.146169;8;8;918
42;1336.467399;8;8;918
43;1219.270586;8;8;918
44;1235.924105;8;8;918
45;1274.462168;8;8;918
46;1198.185908;8;8;918
47;1246.916025;8;8;918
48;1241.036332;8;8;918
49;1242.621132;8;8;918
50;1326.674072;8;8;918
51;1363.93255;8;8;918
52;1180.608549;8;8;918
53;1235.064387;8;8;918
54;1199.969006;8;8;918
55;1215.994643;8;8;918
56;1257.795998;8;8;918
57;1286.10038;8;8;918
58;1182.849162;8;8;918
59;1294.553298;8;8;918
60;1284.654846;8;8;918
61;1232.655769;8;8;918
62;1217.886362;8;8;918
63;1306.42832;8;8;918
64;1423.671564;8;8;918
65;1340.206253;8;8;918
66;1460.782782;8;8;918
67;1353.132367;8;8;918
68;1338.06488;8;8;918
69;1369.136312;8;8;918
70;1347.791025;8;8;918
71;1300.576631;8;8;918
72;1276.68535;8;8;918
73;1234.095715;8;8;918
74;1395.443975;8;8;918
75;1267.792016;8;8;918
76;1194.605993;8;8;918
77;1201.439165;8;8;918
78;1258.87104;8;8;918
79;1239.58038;8;8;918
80;1180.310245;8;8;918
81;1291.840314;8;8;918
82;1196.155569;8;8;918
83;1253.829039;8;8;918
84;1255.340274;8;8;918
85;1244.598694;8;8;918
86;1294.382026;8;8;918
87;1211.711151;8;8;918
88;1242.773372;8;8;918
89;1181.354617;8;8;918
90;1172.258264;8;8;918
91;1265.002321;8;8;918
92;1183.012605;8;8;918
93;1238.890564;8;8;918
94;1256.659383;8;8;918
95;1227.639471;8;8;918
96;1233.305304;8;8;918
97;1262.732612;8;8;918
98;1335.522785;8;8;918
99;1301.008221;8;8;918
100;1261.241194;8;8;918
101;1305.532672;8;8;918
102;1371.267774;8;8;918
103;1429.04935;8;8;918
104;1312.293543;8;8;918
105;1376.456371;8;8;918
106;1486.379537;8;8;918
107;1236.873523;8;8;918
108;1346.894956;8;8;918
109;1253.302766;8;8;918
110;1320.372249;8;8;918
111;1328.448957;8;8;918
112;1256.983881;8;8;918
113;1216.695324;8;8;918
114;1238.94091;8;8;918
115;1246.189891;8;8;918
116;1232.956616;8;8;918
117;1244.008725;8;8;918
118;1199.212533;8;8;918
119;1266.467523;8;8;918
120;1243.503514;8;8;918
121;1236.53689;8;8;918
122;1300.386548;8;8;918
123;1207.686329;8;8;918
124;1177.899475;8;8;918
125;1359.754006;8;8;918
126;1400.90398;8;8;918
127;1252.477275;8;8;918
128;1287.701228;8;8;918
129;1251.423113;8;8;918
130;1377.014666;8;8;918
131;1242.279007;8;8;918
132;1366.037614;8;8;918
133;1263.455707;8;8;918
134;1340.311637;8;8;918
135;1180.489514;8;8;918
136;1181.696085;8;8;918
137;1289.589612;8;8;918
138;1226.400642;8;8;918
139;1229.909687;8;8;918
140;1166.506085;8;8;918
141;1270.968337;8;8;918
142;1216.678401;8;8;918
143;1207.943298;8;8;918
144;1225.81423;8;8;918
145;1220.82807;8;8;918
146;1185.486774;8;8;918
147;1176.21854;8;8;918
148;1175.319437;8;8;918
149;1173.382059;8;8;918
150;1200.204137;8;8;918
151;1218.094203;8;8;918
152;1190.700233;8;8;918
153;1221.462659;8;8;918
154;1244.930044;8;8;918
155;1178.118884;8;8;918
156;1215.046416;8;8;918
157;1230.249699;8;8;918
158;1207.224994;8;8;918
159;1245.374936;8;8;918
160;1394.130104;8;8;918
161;1157.84894;8;8;918
162;1190.655756;8;8;918
163;1198.125218;8;8;918
164;1366.318894;8;8;918
165;1192.249686;8;8;918
166;1286.239363;8;8;918
167;1123.762835;8;8;918
168;1210.771146;8;8;918
169;1178.423914;8;8;918
170;1234.900986;8;8;918
171;1358.230486;8;8;918
172;1167.487362;8;8;918
173;1221.966002;8;8;918
174;1242.439063;8;8;918
175;1195.088455;8;8;918
176;1161.457763;8;8;918
177;1178.533062;8;8;918
178;1263.418618;8;8;918
179;1321.531427;8;8;918
180;1368.187942;8;8;918
181;1322.3131;8;8;918
182;1277.625858;8;8;918
183;1343.179521;8;8;918
184;1284.759857;8;8;918
185;1255.332948;8;8;918
186;1327.045886;8;8;918
187;1318.321029;8;8;918
188;1235.468378;8;8;918
189;1524.486197;8;8;918
190;1290.345627;8;8;918
