tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-25;INITIALIZATION;12345;0;0;1675077536008;12145.521958
pool-1-thread-1;INITIALIZATION;12347;0;0;1675077536189;10482.467166
pool-1-thread-3;INITIALIZATION;12348;0;0;1675077536218;8409.486
pool-1-thread-4;INITIALIZATION;12349;0;0;1675077536271;6451.772583
pool-1-thread-5;INITIALIZATION;12350;0;0;1675077536334;4499.654334
pool-1-thread-2;INITIALIZATION;12352;0;0;1675077536403;526.822042
pool-1-thread-7;APPROXIMATION;12345;0;1;1675077536431;391.897333
pool-1-thread-6;INITIALIZATION;12351;0;0;1675077536439;2602.733458
pool-1-thread-16;APPROXIMATION;12347;0;1;1675077536468;279.309833
pool-1-thread-14;APPROXIMATION;12349;0;1;1675077536477;205.887583
pool-1-thread-18;APPROXIMATION;12348;0;1;1675077536478;259.565417
pool-1-thread-19;APPROXIMATION;12351;0;1;1675077536496;57.114333
pool-1-thread-19;APPROXIMATION;12350;0;1;1675077536496;161.779292
pool-1-thread-19;APPROXIMATION;12352;0;1;1675077536497;93.18825
pool-1-thread-22;APPROXIMATION;12345;0;2;1675077536498;66.856
pool-1-thread-25;APPROXIMATION;12347;0;2;1675077536502;33.227292
pool-1-thread-27;APPROXIMATION;12348;0;2;1675077536504;25.286083
pool-1-thread-29;APPROXIMATION;12349;0;2;1675077536504;27.5635
pool-1-thread-31;APPROXIMATION;12351;0;2;1675077536506;9.994417
pool-1-thread-31;APPROXIMATION;12350;0;2;1675077536506;9.692208
pool-1-thread-31;APPROXIMATION;12352;0;2;1675077536507;10.221208
pool-1-thread-31;APPROXIMATION;12345;0;3;1675077536508;9.935083
pool-1-thread-6;APPROXIMATION;12347;0;3;1675077536511;9.651625
pool-1-thread-10;APPROXIMATION;12348;0;3;1675077536513;9.441
pool-1-thread-12;APPROXIMATION;12349;0;3;1675077536515;10.050125
pool-1-thread-11;APPROXIMATION;12351;0;3;1675077536516;10.028209
pool-1-thread-11;APPROXIMATION;12350;0;3;1675077536517;9.600417
pool-1-thread-14;APPROXIMATION;12352;0;3;1675077536518;10.420125
pool-1-thread-20;APPROXIMATION;12345;0;4;1675077536519;10.567042
pool-1-thread-23;APPROXIMATION;12347;0;4;1675077536523;11.77525
pool-1-thread-23;APPROXIMATION;12348;0;4;1675077536523;10.1135
pool-1-thread-26;APPROXIMATION;12349;0;4;1675077536526;11.483541
pool-1-thread-28;APPROXIMATION;12350;0;4;1675077536527;10.187833
pool-1-thread-28;APPROXIMATION;12351;0;4;1675077536528;11.148
pool-1-thread-30;APPROXIMATION;12352;0;4;1675077536528;10.033542
pool-1-thread-4;APPROXIMATION;12345;0;5;1675077536532;12.747791
pool-1-thread-2;APPROXIMATION;12347;0;5;1675077536535;11.309125
pool-1-thread-7;APPROXIMATION;12348;0;5;1675077536535;10.590292
pool-1-thread-10;APPROXIMATION;12349;0;5;1675077536537;10.979167
pool-1-thread-8;APPROXIMATION;12351;0;5;1675077536538;9.196166
pool-1-thread-8;APPROXIMATION;12350;0;5;1675077536538;10.226791
pool-1-thread-13;APPROXIMATION;12352;0;5;1675077536539;9.181292
pool-1-thread-18;HALTED;12345;0;6;1675077536545;13.211125
pool-1-thread-17;HALTED;12347;0;6;1675077536549;13.713833
pool-1-thread-22;HALTED;12348;0;6;1675077536550;13.972458
pool-1-thread-23;HALTED;12351;0;6;1675077536552;14.490667
pool-1-thread-23;HALTED;12350;0;6;1675077536552;14.531708
pool-1-thread-27;HALTED;12352;0;6;1675077536553;14.285333
pool-1-thread-23;HALTED;12349;0;6;1675077536553;16.040666
