tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675077536045;123.060167
pool-16-thread-2;INITIALIZATION;12346;0;0;1675077536168;3.761958
pool-16-thread-3;INITIALIZATION;12348;0;0;1675077536221;0.0325
pool-16-thread-4;INITIALIZATION;12349;0;0;1675077536273;0.034083
pool-16-thread-5;INITIALIZATION;12350;0;0;1675077536336;0.033917
pool-16-thread-6;INITIALIZATION;12352;0;0;1675077536405;64.362125
pool-16-thread-7;APPROXIMATION;12345;0;1;1675077536433;36.936208
pool-16-thread-8;INITIALIZATION;12351;0;0;1675077536440;29.533166
pool-16-thread-9;APPROXIMATION;12346;0;1;1675077536458;11.428542
pool-16-thread-10;APPROXIMATION;12349;0;1;1675077536478;0.026625
pool-16-thread-10;APPROXIMATION;12348;0;1;1675077536479;0.08825
pool-16-thread-2;APPROXIMATION;12351;0;1;1675077536497;0.02425
pool-16-thread-2;APPROXIMATION;12350;0;1;1675077536498;1.481
pool-16-thread-4;APPROXIMATION;12352;0;1;1675077536499;0.817084
pool-16-thread-5;APPROXIMATION;12345;0;2;1675077536500;0.050625
pool-16-thread-5;APPROXIMATION;12346;0;2;1675077536502;0.062709
pool-16-thread-5;APPROXIMATION;12348;0;2;1675077536506;0.030042
pool-16-thread-5;APPROXIMATION;12349;0;2;1675077536506;0.043
pool-16-thread-5;APPROXIMATION;12351;0;2;1675077536508;0.077209
pool-16-thread-5;APPROXIMATION;12350;0;2;1675077536509;0.233625
pool-16-thread-5;APPROXIMATION;12352;0;2;1675077536510;0.044375
pool-16-thread-5;APPROXIMATION;12345;0;3;1675077536511;0.022166
pool-16-thread-5;APPROXIMATION;12346;0;3;1675077536512;0.024917
pool-16-thread-5;APPROXIMATION;12348;0;3;1675077536516;0.031042
pool-16-thread-5;APPROXIMATION;12349;0;3;1675077536517;0.085375
pool-16-thread-5;APPROXIMATION;12351;0;3;1675077536518;0.022208
pool-16-thread-5;APPROXIMATION;12350;0;3;1675077536519;0.031708
pool-16-thread-5;APPROXIMATION;12352;0;3;1675077536521;0.018334
pool-16-thread-5;APPROXIMATION;12345;0;4;1675077536522;0.024791
pool-16-thread-5;APPROXIMATION;12346;0;4;1675077536522;0.023083
pool-16-thread-5;APPROXIMATION;12348;0;4;1675077536527;0.0465
pool-16-thread-5;APPROXIMATION;12349;0;4;1675077536528;0.022334
pool-16-thread-5;APPROXIMATION;12350;0;4;1675077536528;0.017375
pool-16-thread-5;APPROXIMATION;12351;0;4;1675077536529;0.028167
pool-16-thread-5;APPROXIMATION;12352;0;4;1675077536531;0.017167
pool-16-thread-5;APPROXIMATION;12346;0;5;1675077536534;0.022041
pool-16-thread-5;APPROXIMATION;12345;0;5;1675077536535;0.024
pool-16-thread-5;APPROXIMATION;12348;0;5;1675077536538;0.028
pool-16-thread-5;APPROXIMATION;12349;0;5;1675077536539;0.029375
pool-16-thread-5;APPROXIMATION;12351;0;5;1675077536540;0.027833
pool-16-thread-5;APPROXIMATION;12350;0;5;1675077536542;2.267459
pool-16-thread-4;APPROXIMATION;12352;0;5;1675077536543;2.120416
pool-16-thread-6;HALTED;12346;0;6;1675077536546;0.052959
pool-16-thread-6;HALTED;12345;0;6;1675077536549;0.023083
pool-16-thread-6;HALTED;12348;0;6;1675077536552;0.032042
pool-16-thread-6;HALTED;12351;0;6;1675077536554;0.028625
pool-16-thread-6;HALTED;12350;0;6;1675077536555;0.018417
pool-16-thread-6;HALTED;12352;0;6;1675077536557;0.030041
pool-16-thread-3;HALTED;12349;0;6;1675077536558;0.018375
