tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-27;INITIALIZATION;12345;0;0;1675077536043;0.081333
pool-1-thread-28;INITIALIZATION;12346;0;0;1675077536106;0.054375
pool-1-thread-29;INITIALIZATION;12347;0;0;1675077536190;0.081208
pool-1-thread-5;INITIALIZATION;12349;0;0;1675077536273;0.062375
pool-1-thread-7;INITIALIZATION;12350;0;0;1675077536337;0.072875
pool-1-thread-6;INITIALIZATION;12352;0;0;1675077536405;0.108834
pool-1-thread-8;APPROXIMATION;12345;0;1;1675077536433;0.055833
pool-1-thread-10;INITIALIZATION;12351;0;0;1675077536439;0.066166
pool-1-thread-11;APPROXIMATION;12346;0;1;1675077536458;0.073
pool-1-thread-12;APPROXIMATION;12347;0;1;1675077536469;0.07775
pool-1-thread-14;APPROXIMATION;12349;0;1;1675077536478;0.068792
pool-1-thread-21;APPROXIMATION;12351;0;1;1675077536497;0.051291
pool-1-thread-21;APPROXIMATION;12350;0;1;1675077536498;1.084709
pool-1-thread-21;APPROXIMATION;12352;0;1;1675077536499;0.803542
pool-1-thread-24;APPROXIMATION;12345;0;2;1675077536501;0.043041
pool-1-thread-23;APPROXIMATION;12346;0;2;1675077536503;0.046917
pool-1-thread-23;APPROXIMATION;12347;0;2;1675077536503;0.903875
pool-1-thread-31;APPROXIMATION;12349;0;2;1675077536507;0.034959
pool-1-thread-3;APPROXIMATION;12351;0;2;1675077536508;0.043167
pool-1-thread-3;APPROXIMATION;12350;0;2;1675077536509;0.931833
pool-1-thread-5;APPROXIMATION;12352;0;2;1675077536510;0.025417
pool-1-thread-7;APPROXIMATION;12345;0;3;1675077536511;0.0375
pool-1-thread-8;APPROXIMATION;12346;0;3;1675077536512;0.105167
pool-1-thread-11;APPROXIMATION;12347;0;3;1675077536514;0.046375
pool-1-thread-15;APPROXIMATION;12349;0;3;1675077536518;0.034667
pool-1-thread-14;APPROXIMATION;12351;0;3;1675077536519;0.0315
pool-1-thread-14;APPROXIMATION;12350;0;3;1675077536519;0.783291
pool-1-thread-17;APPROXIMATION;12352;0;3;1675077536522;0.036875
pool-1-thread-22;APPROXIMATION;12345;0;4;1675077536522;0.023583
pool-1-thread-21;APPROXIMATION;12346;0;4;1675077536523;0.0285
pool-1-thread-25;APPROXIMATION;12347;0;4;1675077536525;0.047709
pool-1-thread-23;APPROXIMATION;12349;0;4;1675077536528;0.034958
pool-1-thread-30;APPROXIMATION;12350;0;4;1675077536530;0.037375
pool-1-thread-30;APPROXIMATION;12351;0;4;1675077536530;1.348583
pool-1-thread-30;APPROXIMATION;12352;0;4;1675077536532;0.043833
pool-1-thread-2;APPROXIMATION;12346;0;5;1675077536534;0.029208
pool-1-thread-5;APPROXIMATION;12345;0;5;1675077536535;0.049916
pool-1-thread-6;APPROXIMATION;12347;0;5;1675077536536;0.102959
pool-1-thread-12;APPROXIMATION;12349;0;5;1675077536540;0.056958
pool-1-thread-13;APPROXIMATION;12351;0;5;1675077536541;0.032083
pool-1-thread-13;APPROXIMATION;12350;0;5;1675077536542;1.361875
pool-1-thread-16;APPROXIMATION;12352;0;5;1675077536543;2.126541
pool-1-thread-14;HALTED;12346;0;6;1675077536547;0.154583
pool-1-thread-22;HALTED;12345;0;6;1675077536550;0.037583
pool-1-thread-22;HALTED;12347;0;6;1675077536551;1.027958
pool-1-thread-27;HALTED;12351;0;6;1675077536555;0.049208
pool-1-thread-27;HALTED;12350;0;6;1675077536555;0.593583
pool-1-thread-23;HALTED;12352;0;6;1675077536555;1.034709
pool-1-thread-29;HALTED;12349;0;6;1675077536556;1.640042
