tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12346;0;0;1675077536258;112.674541
pool-16-thread-2;INITIALIZATION;12347;0;0;1675077536371;0.105375
pool-16-thread-3;INITIALIZATION;12348;0;0;1675077536371;0.027458
pool-16-thread-4;INITIALIZATION;12349;0;0;1675077536371;0.023917
pool-16-thread-5;INITIALIZATION;12350;0;0;1675077536371;0.01825
pool-16-thread-6;INITIALIZATION;12352;0;0;1675077536404;27.7605
pool-16-thread-7;INITIALIZATION;12351;0;0;1675077536439;0.031459
pool-16-thread-8;APPROXIMATION;12346;0;1;1675077536458;0.038875
pool-16-thread-9;APPROXIMATION;12347;0;1;1675077536469;0.033708
pool-16-thread-10;APPROXIMATION;12349;0;1;1675077536477;0.065875
pool-16-thread-10;APPROXIMATION;12348;0;1;1675077536478;0.032
pool-16-thread-2;APPROXIMATION;12351;0;1;1675077536495;0.026
pool-16-thread-2;APPROXIMATION;12352;0;1;1675077536496;1.317958
pool-16-thread-3;APPROXIMATION;12350;0;1;1675077536496;1.053333
pool-16-thread-4;APPROXIMATION;12346;0;2;1675077536501;0.033583
pool-16-thread-4;APPROXIMATION;12347;0;2;1675077536501;0.050125
pool-16-thread-4;APPROXIMATION;12348;0;2;1675077536503;0.081791
pool-16-thread-4;APPROXIMATION;12349;0;2;1675077536503;0.019333
pool-16-thread-4;APPROXIMATION;12351;0;2;1675077536506;0.027667
pool-16-thread-4;APPROXIMATION;12352;0;2;1675077536507;0.247833
pool-16-thread-4;APPROXIMATION;12350;0;2;1675077536507;0.017042
pool-16-thread-4;APPROXIMATION;12346;0;3;1675077536510;0.028417
pool-16-thread-4;APPROXIMATION;12347;0;3;1675077536511;0.034333
pool-16-thread-4;APPROXIMATION;12348;0;3;1675077536512;0.030166
pool-16-thread-4;APPROXIMATION;12349;0;3;1675077536514;0.025708
pool-16-thread-4;APPROXIMATION;12351;0;3;1675077536516;0.027209
pool-16-thread-4;APPROXIMATION;12350;0;3;1675077536517;0.032666
pool-16-thread-4;APPROXIMATION;12352;0;3;1675077536517;0.046333
pool-16-thread-4;APPROXIMATION;12346;0;4;1675077536521;0.030417
pool-16-thread-4;APPROXIMATION;12347;0;4;1675077536523;0.026917
pool-16-thread-4;APPROXIMATION;12348;0;4;1675077536524;0.029875
pool-16-thread-4;APPROXIMATION;12349;0;4;1675077536525;0.028625
pool-16-thread-4;APPROXIMATION;12351;0;4;1675077536527;0.02975
pool-16-thread-4;APPROXIMATION;12352;0;4;1675077536528;0.068583
pool-16-thread-4;APPROXIMATION;12350;0;4;1675077536528;0.880125
pool-16-thread-7;APPROXIMATION;12346;0;5;1675077536532;0.026791
pool-16-thread-7;APPROXIMATION;12347;0;5;1675077536534;0.057708
pool-16-thread-7;APPROXIMATION;12348;0;5;1675077536535;0.02325
pool-16-thread-7;APPROXIMATION;12349;0;5;1675077536536;0.026667
pool-16-thread-7;APPROXIMATION;12351;0;5;1675077536538;0.05175
pool-16-thread-7;APPROXIMATION;12352;0;5;1675077536539;0.030167
pool-16-thread-7;APPROXIMATION;12350;0;5;1675077536539;0.014166
pool-16-thread-7;HALTED;12346;0;6;1675077536542;0.038416
pool-16-thread-7;HALTED;12347;0;6;1675077536546;0.034458
pool-16-thread-7;HALTED;12348;0;6;1675077536549;0.040584
pool-16-thread-7;HALTED;12351;0;6;1675077536552;0.024792
pool-16-thread-7;HALTED;12350;0;6;1675077536552;0.024375
pool-16-thread-7;HALTED;12349;0;6;1675077536554;0.028167
pool-16-thread-7;HALTED;12352;0;6;1675077536554;0.01375
