Id;Texec;expectedH;realH;neededMessages
0;138.866251;8;8;135
1;71.787557;8;8;135
2;42.156879;8;8;135
3;26.706575;8;8;135
4;24.806619;8;8;135
5;61.849916;8;8;135
6;37.977326;8;8;135
7;53.031482;8;8;135
8;57.892286;8;8;135
9;34.563691;8;8;135
10;39.882312;8;8;135
11;26.875402;8;8;135
12;42.241007;8;8;135
13;20.125159;8;8;135
14;18.018359;8;8;135
15;16.180625;8;8;135
16;17.974038;8;8;135
17;18.7263;8;8;135
18;31.565009;8;8;135
19;25.375428;8;8;135
20;27.20117;8;8;135
21;36.9165;8;8;135
22;49.81005;8;8;135
23;34.088866;8;8;135
24;30.969457;8;8;135
25;31.83577;8;8;135
26;15.505402;8;8;135
27;13.965622;8;8;135
28;16.714799;8;8;135
29;17.909277;8;8;135
30;12.006101;8;8;135
31;15.530478;8;8;135
32;11.416543;8;8;135
33;12.638933;8;8;135
34;10.785568;8;8;135
35;12.786435;8;8;135
36;16.154715;8;8;135
37;17.789968;8;8;135
38;12.49725;8;8;135
39;10.866188;8;8;135
40;11.970457;8;8;135
41;10.336104;8;8;135
42;43.439158;8;8;135
43;22.474285;8;8;135
44;18.139629;8;8;135
45;11.160337;8;8;135
46;8.943792;8;8;135
47;9.516684;8;8;135
48;10.862655;8;8;135
49;11.687363;8;8;135
50;12.747428;8;8;135
51;10.955188;8;8;135
52;8.825966;8;8;135
53;11.043113;8;8;135
54;10.976174;8;8;135
55;9.993982;8;8;135
56;9.119155;8;8;135
57;10.645997;8;8;135
58;9.382992;8;8;135
59;9.248997;8;8;135
60;11.829442;8;8;135
61;17.441962;8;8;135
62;9.43406;8;8;135
63;9.376534;8;8;135
64;10.797042;8;8;135
65;16.545551;8;8;135
66;8.847884;8;8;135
67;17.602238;8;8;135
68;9.386812;8;8;135
69;9.801948;8;8;135
70;9.100987;8;8;135
71;10.629823;8;8;135
72;19.873195;8;8;135
73;9.024917;8;8;135
74;18.098665;8;8;135
75;9.459698;8;8;135
76;10.477834;8;8;135
77;25.285449;8;8;135
78;20.156923;8;8;135
79;27.583479;8;8;135
80;27.999303;8;8;135
81;11.81607;8;8;135
82;22.444797;8;8;135
83;45.127117;8;8;135
84;10.102546;8;8;135
85;9.649313;8;8;135
86;9.922304;8;8;135
87;9.853707;8;8;135
88;8.473027;8;8;135
89;8.905799;8;8;135
90;8.661538;8;8;135
91;8.346429;8;8;135
92;9.222508;8;8;135
93;9.77192;8;8;135
94;8.788448;8;8;135
95;7.992054;8;8;135
96;8.178778;8;8;135
97;8.368426;8;8;135
98;9.588187;8;8;135
99;8.74333;8;8;135
100;9.065762;8;8;135
101;10.54436;8;8;135
102;8.125765;8;8;135
103;8.411294;8;8;135
104;10.016318;8;8;135
105;8.338509;8;8;135
106;11.818548;8;8;135
107;9.057568;8;8;135
108;9.137947;8;8;135
109;10.301049;8;8;135
110;9.528114;8;8;135
111;9.254651;8;8;135
112;25.192806;8;8;135
113;8.580107;8;8;135
114;9.173838;8;8;135
115;11.989076;8;8;135
116;8.880986;8;8;135
117;9.266591;8;8;135
118;10.26932;8;8;135
119;9.87011;8;8;135
120;9.241754;8;8;135
121;9.143294;8;8;135
122;8.97928;8;8;135
123;10.917074;8;8;135
124;9.930024;8;8;135
125;8.539369;8;8;135
126;9.92244;8;8;135
127;8.471241;8;8;135
128;9.720389;8;8;135
129;8.31778;8;8;135
130;8.144522;8;8;135
131;7.804102;8;8;135
132;9.705498;8;8;135
133;10.063878;8;8;135
134;9.425668;8;8;135
135;11.502901;8;8;135
136;8.326108;8;8;135
137;9.187599;8;8;135
138;7.90719;8;8;135
139;8.455295;8;8;135
140;13.383104;8;8;135
141;9.572729;8;8;135
142;8.23727;8;8;135
143;9.967162;8;8;135
144;8.630417;8;8;135
145;8.29183;8;8;135
146;8.722607;8;8;135
147;9.585762;8;8;135
148;8.098997;8;8;135
149;10.63323;8;8;135
150;8.46768;8;8;135
151;8.838447;8;8;135
152;7.839006;8;8;135
153;8.623134;8;8;135
154;8.940445;8;8;135
155;7.932115;8;8;135
156;7.976134;8;8;135
157;11.153997;8;8;135
158;7.901442;8;8;135
159;8.566914;8;8;135
160;8.884729;8;8;135
161;7.773219;8;8;135
162;8.565974;8;8;135
163;8.520632;8;8;135
164;8.34583;8;8;135
165;9.038458;8;8;135
166;7.898953;8;8;135
167;8.567535;8;8;135
168;8.296123;8;8;135
169;10.253443;8;8;135
170;7.921255;8;8;135
171;10.843645;8;8;135
172;8.099707;8;8;135
173;8.242522;8;8;135
174;10.026666;8;8;135
175;8.27615;8;8;135
176;7.990983;8;8;135
177;8.649112;8;8;135
178;11.523485;8;8;135
179;9.943593;8;8;135
180;9.308534;8;8;135
181;8.741456;8;8;135
182;9.714159;8;8;135
183;10.283114;8;8;135
184;8.948374;8;8;135
185;9.048296;8;8;135
186;7.810766;8;8;135
187;13.187879;8;8;135
188;7.946984;8;8;135
189;8.886995;8;8;135
190;11.632573;8;8;135
191;35.871421;8;8;135
192;8.78154;8;8;135
193;36.428404;8;8;135
194;10.44739;8;8;135
195;7.943344;8;8;135
196;7.638338;8;8;135
197;7.897244;8;8;135
198;15.200641;8;8;135
199;31.601007;8;8;135
200;11.565796;8;8;135
201;10.300421;8;8;135
202;9.302283;8;8;135
203;8.075423;8;8;135
204;36.96625;8;8;135
205;8.590771;8;8;135
206;8.738398;8;8;135
207;8.215866;8;8;135
208;8.6154;8;8;135
209;39.077727;8;8;135
210;8.507657;8;8;135
211;7.60587;8;8;135
212;66.362098;8;8;135
213;11.11221;8;8;135
214;35.475478;8;8;135
215;8.093635;8;8;135
216;44.346925;8;8;135
217;38.443706;8;8;135
218;59.126366;8;8;135
219;8.872016;8;8;135
220;8.855087;8;8;135
221;8.264485;8;8;135
222;8.062951;8;8;135
223;7.978132;8;8;135
224;7.930493;8;8;135
225;7.622072;8;8;135
226;8.074818;8;8;135
227;8.903528;8;8;135
228;9.374451;8;8;135
229;9.092215;8;8;135
230;7.911615;8;8;135
231;7.508589;8;8;135
232;7.989487;8;8;135
233;8.623616;8;8;135
234;9.326718;8;8;135
235;7.779007;8;8;135
236;9.589044;8;8;135
237;8.000846;8;8;135
238;7.987241;8;8;135
239;11.101467;8;8;135
240;7.662009;8;8;135
241;7.648485;8;8;135
242;9.686456;8;8;135
243;7.696852;8;8;135
244;10.390218;8;8;135
245;8.134048;8;8;135
246;8.347971;8;8;135
247;9.457521;8;8;135
248;8.108844;8;8;135
249;7.769714;8;8;135
250;8.655625;8;8;135
251;9.387235;8;8;135
252;9.420345;8;8;135
253;9.980782;8;8;135
254;7.785034;8;8;135
255;10.084428;8;8;135
256;10.028364;8;8;135
257;8.994766;8;8;135
258;8.448958;8;8;135
259;8.272277;8;8;135
260;7.540393;8;8;135
261;7.47679;8;8;135
262;29.48648;8;8;135
263;8.355124;8;8;135
264;7.673712;8;8;135
265;8.879772;8;8;135
266;7.563354;8;8;135
267;7.882395;8;8;135
268;7.723944;8;8;135
269;10.702037;8;8;135
270;7.764825;8;8;135
271;7.886846;8;8;135
272;9.297175;8;8;135
273;7.544533;8;8;135
274;10.60618;8;8;135
275;8.447485;8;8;135
276;8.860861;8;8;135
277;8.304587;8;8;135
278;10.137463;8;8;135
279;8.544794;8;8;135
280;7.888733;8;8;135
281;8.24311;8;8;135
282;8.673155;8;8;135
