tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-24;INITIALIZATION;12345;0;0;1675077406683;12247.230583
pool-1-thread-30;INITIALIZATION;12347;0;0;1675077406859;10402.461708
pool-1-thread-1;INITIALIZATION;12349;0;0;1675077406882;6367.728708
pool-1-thread-3;INITIALIZATION;12348;0;0;1675077406898;8409.458208
pool-1-thread-4;INITIALIZATION;12350;0;0;1675077406920;4528.581791
pool-1-thread-5;INITIALIZATION;12351;0;0;1675077406939;2423.741
pool-1-thread-2;INITIALIZATION;12352;0;0;1675077406958;427.102417
pool-1-thread-7;APPROXIMATION;12345;0;1;1675077406990;274.553125
pool-1-thread-15;APPROXIMATION;12347;0;1;1675077407017;157.6115
pool-1-thread-16;APPROXIMATION;12348;0;1;1675077407031;132.745375
pool-1-thread-14;APPROXIMATION;12352;0;1;1675077407054;95.893042
pool-1-thread-18;APPROXIMATION;12350;0;1;1675077407057;136.19625
pool-1-thread-19;APPROXIMATION;12349;0;1;1675077407058;175.884709
pool-1-thread-17;APPROXIMATION;12351;0;1;1675077407132;192.3795
pool-1-thread-22;APPROXIMATION;12345;0;2;1675077407136;146.003792
pool-1-thread-24;APPROXIMATION;12347;0;2;1675077407140;122.388083
pool-1-thread-25;APPROXIMATION;12348;0;2;1675077407141;109.42825
pool-1-thread-27;APPROXIMATION;12349;0;2;1675077407143;84.893542
pool-1-thread-29;APPROXIMATION;12350;0;2;1675077407145;88.005208
pool-1-thread-29;APPROXIMATION;12351;0;2;1675077407145;13.380917
pool-1-thread-29;APPROXIMATION;12352;0;2;1675077407148;93.310583
pool-1-thread-4;APPROXIMATION;12345;0;3;1675077407154;17.283084
pool-1-thread-7;APPROXIMATION;12347;0;3;1675077407158;18.303
pool-1-thread-9;APPROXIMATION;12348;0;3;1675077407161;19.835416
pool-1-thread-8;APPROXIMATION;12349;0;3;1675077407163;19.726333
pool-1-thread-13;APPROXIMATION;12350;0;3;1675077407165;19.618458
pool-1-thread-13;APPROXIMATION;12352;0;3;1675077407165;15.589125
pool-1-thread-16;APPROXIMATION;12351;0;3;1675077407168;20.004167
pool-1-thread-18;APPROXIMATION;12345;0;4;1675077407170;16.088542
pool-1-thread-21;APPROXIMATION;12347;0;4;1675077407176;17.314
pool-1-thread-20;APPROXIMATION;12348;0;4;1675077407178;17.267542
pool-1-thread-25;APPROXIMATION;12349;0;4;1675077407180;17.727666
pool-1-thread-27;APPROXIMATION;12350;0;4;1675077407182;17.260833
pool-1-thread-30;APPROXIMATION;12351;0;4;1675077407183;14.973042
pool-1-thread-30;APPROXIMATION;12352;0;4;1675077407184;16.624459
pool-1-thread-1;APPROXIMATION;12345;0;5;1675077407187;17.019917
pool-1-thread-4;APPROXIMATION;12347;0;5;1675077407191;15.228834
pool-1-thread-7;APPROXIMATION;12348;0;5;1675077407195;16.271834
pool-1-thread-9;APPROXIMATION;12349;0;5;1675077407197;15.887667
pool-1-thread-9;APPROXIMATION;12350;0;5;1675077407197;14.333375
pool-1-thread-12;APPROXIMATION;12351;0;5;1675077407199;15.001042
pool-1-thread-12;APPROXIMATION;12352;0;5;1675077407199;13.896708
pool-1-thread-13;APPROXIMATION;12345;0;6;1675077407201;14.361708
pool-1-thread-19;APPROXIMATION;12347;0;6;1675077407207;15.913542
pool-1-thread-21;APPROXIMATION;12348;0;6;1675077407210;14.867541
pool-1-thread-21;APPROXIMATION;12349;0;6;1675077407210;13.036542
pool-1-thread-24;APPROXIMATION;12350;0;6;1675077407211;13.250334
pool-1-thread-25;APPROXIMATION;12351;0;6;1675077407211;12.725292
pool-1-thread-27;APPROXIMATION;12352;0;6;1675077407212;12.229875
pool-1-thread-31;APPROXIMATION;12345;0;7;1675077407214;12.176833
pool-1-thread-1;APPROXIMATION;12347;0;7;1675077407219;11.442167
pool-1-thread-3;APPROXIMATION;12348;0;7;1675077407220;10.33175
pool-1-thread-3;APPROXIMATION;12349;0;7;1675077407220;9.539958
pool-1-thread-7;APPROXIMATION;12350;0;7;1675077407222;10.554083
pool-1-thread-8;APPROXIMATION;12352;0;7;1675077407225;12.4135
pool-1-thread-8;APPROXIMATION;12351;0;7;1675077407225;13.226167
pool-1-thread-11;APPROXIMATION;12345;0;8;1675077407228;14.466792
pool-1-thread-13;APPROXIMATION;12348;0;8;1675077407232;11.378333
pool-1-thread-13;APPROXIMATION;12347;0;8;1675077407232;12.468209
pool-1-thread-18;APPROXIMATION;12349;0;8;1675077407233;12.462583
pool-1-thread-17;APPROXIMATION;12350;0;8;1675077407235;12.45875
pool-1-thread-17;APPROXIMATION;12352;0;8;1675077407235;9.604458
pool-1-thread-24;APPROXIMATION;12351;0;8;1675077407236;9.783042
pool-1-thread-27;HALTED;12349;0;9;1675077407238;5.120125
pool-1-thread-4;HALTED;12352;0;9;1675077407239;3.90625
pool-1-thread-5;HALTED;12347;0;9;1675077407241;8.7885
pool-1-thread-3;HALTED;12345;0;9;1675077407242;13.441792
pool-1-thread-2;HALTED;12348;0;9;1675077407242;10.750792
pool-1-thread-7;HALTED;12351;0;9;1675077407244;7.433
pool-1-thread-6;HALTED;12350;0;9;1675077407246;11.010625
