tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-14;INITIALIZATION;12345;0;0;1675077127066;0.102
pool-1-thread-17;INITIALIZATION;12346;0;0;1675077127101;0.04725
pool-1-thread-19;INITIALIZATION;12348;0;0;1675077127103;0.028917
pool-1-thread-22;APPROXIMATION;12346;0;1;1675077127115;0.042167
pool-1-thread-24;APPROXIMATION;12345;0;1;1675077127127;0.095541
pool-1-thread-25;APPROXIMATION;12348;0;1;1675077127127;0.23325
pool-1-thread-26;APPROXIMATION;12346;0;2;1675077127129;0.059042
pool-1-thread-27;APPROXIMATION;12345;0;2;1675077127130;0.030042
pool-1-thread-31;APPROXIMATION;12345;0;3;1675077127133;0.04075
pool-1-thread-32;APPROXIMATION;12348;0;2;1675077127133;0.031083
pool-1-thread-1;APPROXIMATION;12346;0;3;1675077127134;0.036792
pool-1-thread-4;APPROXIMATION;12348;0;3;1675077127135;0.098667
pool-1-thread-7;APPROXIMATION;12345;0;4;1675077127136;0.0555
pool-1-thread-9;APPROXIMATION;12346;0;4;1675077127137;0.030125
pool-1-thread-12;APPROXIMATION;12348;0;4;1675077127138;0.040041
pool-1-thread-6;APPROXIMATION;12345;0;5;1675077127139;0.032
pool-1-thread-14;APPROXIMATION;12346;0;5;1675077127140;0.034792
pool-1-thread-16;APPROXIMATION;12348;0;5;1675077127140;0.0465
pool-1-thread-18;APPROXIMATION;12345;0;6;1675077127142;0.040542
pool-1-thread-21;APPROXIMATION;12346;0;6;1675077127143;0.023583
pool-1-thread-24;APPROXIMATION;12348;0;6;1675077127144;0.037666
pool-1-thread-25;APPROXIMATION;12345;0;7;1675077127145;0.055042
pool-1-thread-26;APPROXIMATION;12346;0;7;1675077127146;0.083125
pool-1-thread-28;APPROXIMATION;12348;0;7;1675077127147;0.074709
pool-1-thread-31;HALTED;12345;0;8;1675077127148;0.090792
pool-1-thread-3;HALTED;12346;0;8;1675077127150;0.052375
pool-1-thread-2;HALTED;12348;0;8;1675077127151;0.033458
