tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675077406719;123.00575
pool-16-thread-2;INITIALIZATION;12346;0;0;1675077406848;0.107917
pool-16-thread-3;INITIALIZATION;12349;0;0;1675077406882;0.031292
pool-16-thread-4;INITIALIZATION;12348;0;0;1675077406900;0.048667
pool-16-thread-5;INITIALIZATION;12350;0;0;1675077406923;0.03325
pool-16-thread-6;INITIALIZATION;12351;0;0;1675077406942;0.036042
pool-16-thread-7;INITIALIZATION;12352;0;0;1675077406960;0.128333
pool-16-thread-8;APPROXIMATION;12345;0;1;1675077406991;0.055917
pool-16-thread-9;APPROXIMATION;12346;0;1;1675077407006;0.044666
pool-16-thread-10;APPROXIMATION;12348;0;1;1675077407032;0.027916
pool-16-thread-1;APPROXIMATION;12352;0;1;1675077407057;0.033959
pool-16-thread-1;APPROXIMATION;12350;0;1;1675077407059;0.024125
pool-16-thread-1;APPROXIMATION;12349;0;1;1675077407059;0.027083
pool-16-thread-1;APPROXIMATION;12351;0;1;1675077407133;0.047416
pool-16-thread-1;APPROXIMATION;12346;0;2;1675077407140;0.065834
pool-16-thread-1;APPROXIMATION;12345;0;2;1675077407141;0.045083
pool-16-thread-1;APPROXIMATION;12348;0;2;1675077407145;0.062875
pool-16-thread-1;APPROXIMATION;12349;0;2;1675077407146;0.035166
pool-16-thread-1;APPROXIMATION;12350;0;2;1675077407150;0.034125
pool-16-thread-1;APPROXIMATION;12351;0;2;1675077407152;0.039916
pool-16-thread-1;APPROXIMATION;12352;0;2;1675077407152;0.025083
pool-16-thread-1;APPROXIMATION;12345;0;3;1675077407157;0.030125
pool-16-thread-1;APPROXIMATION;12346;0;3;1675077407158;0.033125
pool-16-thread-1;APPROXIMATION;12348;0;3;1675077407164;0.045209
pool-16-thread-1;APPROXIMATION;12349;0;3;1675077407166;0.038
pool-16-thread-1;APPROXIMATION;12350;0;3;1675077407168;0.022417
pool-16-thread-1;APPROXIMATION;12352;0;3;1675077407169;0.036666
pool-16-thread-1;APPROXIMATION;12351;0;3;1675077407170;0.043
pool-16-thread-1;APPROXIMATION;12345;0;4;1675077407174;0.058875
pool-16-thread-1;APPROXIMATION;12346;0;4;1675077407175;0.025042
pool-16-thread-1;APPROXIMATION;12348;0;4;1675077407181;0.041458
pool-16-thread-1;APPROXIMATION;12349;0;4;1675077407183;0.027833
pool-16-thread-1;APPROXIMATION;12350;0;4;1675077407184;0.024042
pool-16-thread-1;APPROXIMATION;12351;0;4;1675077407186;0.027167
pool-16-thread-1;APPROXIMATION;12352;0;4;1675077407187;0.042833
pool-16-thread-1;APPROXIMATION;12345;0;5;1675077407190;0.026292
pool-16-thread-1;APPROXIMATION;12346;0;5;1675077407191;0.025167
pool-16-thread-1;APPROXIMATION;12348;0;5;1675077407196;0.033084
pool-16-thread-1;APPROXIMATION;12349;0;5;1675077407199;0.027625
pool-16-thread-1;APPROXIMATION;12350;0;5;1675077407200;0.082542
pool-16-thread-1;APPROXIMATION;12351;0;5;1675077407201;0.040458
pool-16-thread-1;APPROXIMATION;12352;0;5;1675077407202;0.068208
pool-16-thread-1;APPROXIMATION;12345;0;6;1675077407205;0.035666
pool-16-thread-1;APPROXIMATION;12346;0;6;1675077407206;0.035625
pool-16-thread-1;APPROXIMATION;12348;0;6;1675077407212;0.033875
pool-16-thread-1;APPROXIMATION;12349;0;6;1675077407212;0.02375
pool-16-thread-1;APPROXIMATION;12350;0;6;1675077407213;0.0185
pool-16-thread-1;APPROXIMATION;12351;0;6;1675077407213;0.035584
pool-16-thread-1;APPROXIMATION;12352;0;6;1675077407215;0.102417
pool-16-thread-1;APPROXIMATION;12345;0;7;1675077407217;0.048167
pool-16-thread-1;APPROXIMATION;12346;0;7;1675077407219;0.027125
pool-16-thread-1;APPROXIMATION;12349;0;7;1675077407222;0.0595
pool-16-thread-1;APPROXIMATION;12348;0;7;1675077407223;0.030917
pool-16-thread-1;APPROXIMATION;12350;0;7;1675077407225;0.031834
pool-16-thread-1;APPROXIMATION;12352;0;7;1675077407228;0.028708
pool-16-thread-1;APPROXIMATION;12351;0;7;1675077407229;0.034625
pool-16-thread-1;APPROXIMATION;12345;0;8;1675077407230;0.019541
pool-16-thread-1;APPROXIMATION;12346;0;8;1675077407232;0.026
pool-16-thread-1;APPROXIMATION;12348;0;8;1675077407234;0.030084
pool-16-thread-1;APPROXIMATION;12349;0;8;1675077407235;0.030625
pool-16-thread-1;APPROXIMATION;12350;0;8;1675077407240;0.027541
pool-16-thread-7;HALTED;12349;0;9;1675077407240;0.031333
pool-16-thread-8;HALTED;12352;0;9;1675077407240;0.021709
pool-16-thread-7;HALTED;12346;0;9;1675077407240;0.010291
pool-16-thread-10;APPROXIMATION;12351;0;8;1675077407240;0.028209
pool-16-thread-2;APPROXIMATION;12352;0;8;1675077407241;0.027917
pool-16-thread-10;HALTED;12345;0;9;1675077407243;0.068792
pool-16-thread-4;HALTED;12348;0;9;1675077407244;0.013541
pool-16-thread-5;HALTED;12351;0;9;1675077407244;0.01225
pool-16-thread-6;HALTED;12350;0;9;1675077407246;0.01425
