tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675077406590;127.200459
pool-16-thread-2;INITIALIZATION;12346;0;0;1675077406717;130.777583
pool-16-thread-3;INITIALIZATION;12347;0;0;1675077406856;5.582083
pool-16-thread-4;INITIALIZATION;12348;0;0;1675077406862;38.607916
pool-16-thread-5;INITIALIZATION;12350;0;0;1675077406901;23.219875
pool-16-thread-6;INITIALIZATION;12351;0;0;1675077406924;18.864667
pool-16-thread-7;INITIALIZATION;12352;0;0;1675077406944;19.8865
pool-16-thread-8;APPROXIMATION;12345;0;1;1675077406964;27.120291
pool-16-thread-9;APPROXIMATION;12346;0;1;1675077406992;13.674958
pool-16-thread-10;APPROXIMATION;12347;0;1;1675077407006;13.363625
pool-16-thread-10;APPROXIMATION;12348;0;1;1675077407020;12.1915
pool-16-thread-2;APPROXIMATION;12352;0;1;1675077407032;26.843
pool-16-thread-2;APPROXIMATION;12350;0;1;1675077407059;1.567334
pool-16-thread-2;APPROXIMATION;12351;0;1;1675077407061;74.491584
pool-16-thread-2;APPROXIMATION;12345;0;2;1675077407135;8.820292
pool-16-thread-2;APPROXIMATION;12347;0;2;1675077407144;2.552667
pool-16-thread-2;APPROXIMATION;12348;0;2;1675077407147;2.102667
pool-16-thread-2;APPROXIMATION;12346;0;2;1675077407149;0.053333
pool-16-thread-2;APPROXIMATION;12350;0;2;1675077407149;4.806667
pool-16-thread-2;APPROXIMATION;12351;0;2;1675077407154;2.067208
pool-16-thread-2;APPROXIMATION;12352;0;2;1675077407156;1.466959
pool-16-thread-2;APPROXIMATION;12345;0;3;1675077407158;2.689625
pool-16-thread-2;APPROXIMATION;12346;0;3;1675077407161;1.049458
pool-16-thread-2;APPROXIMATION;12347;0;3;1675077407162;1.699792
pool-16-thread-2;APPROXIMATION;12348;0;3;1675077407164;1.112291
pool-16-thread-2;APPROXIMATION;12350;0;3;1675077407165;6.494458
pool-16-thread-2;APPROXIMATION;12352;0;3;1675077407172;1.773416
pool-16-thread-2;APPROXIMATION;12351;0;3;1675077407174;1.267667
pool-16-thread-2;APPROXIMATION;12345;0;4;1675077407175;3.181083
pool-16-thread-2;APPROXIMATION;12346;0;4;1675077407179;1.624083
pool-16-thread-2;APPROXIMATION;12347;0;4;1675077407181;0.951875
pool-16-thread-2;APPROXIMATION;12348;0;4;1675077407182;0.902167
pool-16-thread-2;APPROXIMATION;12350;0;4;1675077407183;5.396792
pool-16-thread-2;APPROXIMATION;12351;0;4;1675077407188;2.057125
pool-16-thread-2;APPROXIMATION;12352;0;4;1675077407190;0.8165
pool-16-thread-2;APPROXIMATION;12345;0;5;1675077407191;1.849583
pool-16-thread-2;APPROXIMATION;12346;0;5;1675077407193;1.483959
pool-16-thread-2;APPROXIMATION;12347;0;5;1675077407195;0.818166
pool-16-thread-2;APPROXIMATION;12348;0;5;1675077407196;2.412125
pool-16-thread-2;APPROXIMATION;12350;0;5;1675077407199;4.679125
pool-16-thread-2;APPROXIMATION;12351;0;5;1675077407203;2.183
pool-16-thread-2;APPROXIMATION;12352;0;5;1675077407206;0.047333
pool-16-thread-5;APPROXIMATION;12345;0;6;1675077407206;2.573917
pool-16-thread-5;APPROXIMATION;12346;0;6;1675077407209;0.098666
pool-16-thread-5;APPROXIMATION;12347;0;6;1675077407209;1.674958
pool-16-thread-5;APPROXIMATION;12348;0;6;1675077407211;1.351041
pool-16-thread-5;APPROXIMATION;12350;0;6;1675077407213;3.839
pool-16-thread-5;APPROXIMATION;12351;0;6;1675077407216;0.038542
pool-16-thread-5;APPROXIMATION;12352;0;6;1675077407217;0.708166
pool-16-thread-5;APPROXIMATION;12345;0;7;1675077407217;2.569542
pool-16-thread-5;APPROXIMATION;12346;0;7;1675077407220;0.606791
pool-16-thread-5;APPROXIMATION;12347;0;7;1675077407221;1.051625
pool-16-thread-5;APPROXIMATION;12348;0;7;1675077407222;1.41075
pool-16-thread-5;APPROXIMATION;12350;0;7;1675077407223;3.657625
pool-16-thread-5;APPROXIMATION;12351;0;7;1675077407227;1.86525
pool-16-thread-5;APPROXIMATION;12352;0;7;1675077407229;0.588125
pool-16-thread-5;APPROXIMATION;12345;0;8;1675077407230;1.547792
pool-16-thread-5;APPROXIMATION;12346;0;8;1675077407232;2.734
pool-16-thread-5;APPROXIMATION;12347;0;8;1675077407235;0.951041
pool-16-thread-5;APPROXIMATION;12348;0;8;1675077407236;0.065958
pool-16-thread-5;APPROXIMATION;12350;0;8;1675077407236;1.180792
pool-16-thread-5;APPROXIMATION;12352;0;8;1675077407237;0.044417
pool-16-thread-5;APPROXIMATION;12351;0;8;1675077407237;0.027583
pool-16-thread-5;HALTED;12346;0;9;1675077407237;1.886875
pool-16-thread-1;HALTED;12352;0;9;1675077407239;0.98325
pool-16-thread-10;HALTED;12347;0;9;1675077407240;1.634125
pool-16-thread-10;HALTED;12348;0;9;1675077407242;1.081834
pool-16-thread-4;HALTED;12345;0;9;1675077407243;0.046
pool-16-thread-6;HALTED;12351;0;9;1675077407243;0.977292
pool-16-thread-2;HALTED;12350;0;9;1675077407244;2.554583
