tid;type;receiverPort;reqIdInternal;Round;startWalltime;duration
pool-5-thread-1;INITIALIZATION;-1;0;0;1675077406957;7.197583
pool-5-thread-1;APPROXIMATION;-1;0;1;1675077407051;9.718375
pool-5-thread-1;APPROXIMATION;-1;0;2;1675077407143;17.7425
pool-5-thread-1;APPROXIMATION;-1;0;3;1675077407161;16.026459
pool-5-thread-1;APPROXIMATION;-1;0;4;1675077407180;12.1405
pool-5-thread-1;APPROXIMATION;-1;0;5;1675077407194;12.838583
pool-5-thread-1;APPROXIMATION;-1;0;6;1675077407209;10.433666
pool-5-thread-1;APPROXIMATION;-1;0;7;1675077407221;10.712708
pool-5-thread-1;APPROXIMATION;-1;0;8;1675077407233;5.026542
pool-5-thread-1;HALTED;-1;0;9;1675077407239;1.495875
