tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-3;INITIALIZATION;12346;0;0;1675077406829;0.174042
pool-1-thread-4;INITIALIZATION;12347;0;0;1675077406855;0.950375
pool-1-thread-5;INITIALIZATION;12349;0;0;1675077406881;0.210042
pool-1-thread-1;INITIALIZATION;12348;0;0;1675077406897;0.053917
pool-1-thread-7;INITIALIZATION;12350;0;0;1675077406920;0.110875
pool-1-thread-8;INITIALIZATION;12351;0;0;1675077406939;0.28275
pool-1-thread-9;INITIALIZATION;12352;0;0;1675077406958;0.157958
pool-1-thread-17;APPROXIMATION;12346;0;1;1675077407003;0.083834
pool-1-thread-18;APPROXIMATION;12347;0;1;1675077407017;0.050542
pool-1-thread-12;APPROXIMATION;12348;0;1;1675077407031;0.070125
pool-1-thread-20;APPROXIMATION;12352;0;1;1675077407052;0.327416
pool-1-thread-21;APPROXIMATION;12350;0;1;1675077407055;0.112458
pool-1-thread-22;APPROXIMATION;12349;0;1;1675077407056;0.029
pool-1-thread-23;APPROXIMATION;12351;0;1;1675077407132;0.053875
pool-1-thread-24;APPROXIMATION;12346;0;2;1675077407136;0.040583
pool-1-thread-25;APPROXIMATION;12347;0;2;1675077407136;0.586292
pool-1-thread-19;APPROXIMATION;12348;0;2;1675077407138;0.03575
pool-1-thread-29;APPROXIMATION;12349;0;2;1675077407140;0.081958
pool-1-thread-31;APPROXIMATION;12350;0;2;1675077407143;0.044667
pool-1-thread-31;APPROXIMATION;12351;0;2;1675077407143;1.6185
pool-1-thread-3;APPROXIMATION;12352;0;2;1675077407145;0.823292
pool-1-thread-8;APPROXIMATION;12346;0;3;1675077407155;0.044667
pool-1-thread-8;APPROXIMATION;12347;0;3;1675077407155;2.036875
pool-1-thread-6;APPROXIMATION;12348;0;3;1675077407159;0.035708
pool-1-thread-13;APPROXIMATION;12349;0;3;1675077407161;0.072958
pool-1-thread-16;APPROXIMATION;12350;0;3;1675077407163;0.040375
pool-1-thread-16;APPROXIMATION;12352;0;3;1675077407164;1.63675
pool-1-thread-18;APPROXIMATION;12351;0;3;1675077407164;2.02225
pool-1-thread-22;APPROXIMATION;12346;0;4;1675077407172;0.0955
pool-1-thread-24;APPROXIMATION;12347;0;4;1675077407174;0.037291
pool-1-thread-25;APPROXIMATION;12348;0;4;1675077407175;0.03325
pool-1-thread-28;APPROXIMATION;12349;0;4;1675077407179;0.100083
pool-1-thread-30;APPROXIMATION;12350;0;4;1675077407181;0.060292
pool-1-thread-32;APPROXIMATION;12351;0;4;1675077407181;0.679333
pool-1-thread-2;APPROXIMATION;12352;0;4;1675077407182;1.278375
pool-1-thread-5;APPROXIMATION;12346;0;5;1675077407188;0.043916
pool-1-thread-7;APPROXIMATION;12347;0;5;1675077407190;0.033917
pool-1-thread-8;APPROXIMATION;12348;0;5;1675077407193;0.03725
pool-1-thread-6;APPROXIMATION;12349;0;5;1675077407195;0.036208
pool-1-thread-6;APPROXIMATION;12350;0;5;1675077407195;0.868791
pool-1-thread-15;APPROXIMATION;12352;0;5;1675077407197;0.035417
pool-1-thread-15;APPROXIMATION;12351;0;5;1675077407197;1.243667
pool-1-thread-18;APPROXIMATION;12346;0;6;1675077407203;0.04525
pool-1-thread-21;APPROXIMATION;12347;0;6;1675077407204;0.063125
pool-1-thread-24;APPROXIMATION;12349;0;6;1675077407209;0.042291
pool-1-thread-24;APPROXIMATION;12348;0;6;1675077407209;0.538208
pool-1-thread-24;APPROXIMATION;12350;0;6;1675077407209;0.816875
pool-1-thread-28;APPROXIMATION;12351;0;6;1675077407210;0.7945
pool-1-thread-29;APPROXIMATION;12352;0;6;1675077407211;0.793875
pool-1-thread-4;APPROXIMATION;12346;0;7;1675077407216;0.036125
pool-1-thread-3;APPROXIMATION;12347;0;7;1675077407218;0.031625
pool-1-thread-1;APPROXIMATION;12348;0;7;1675077407219;0.030834
pool-1-thread-1;APPROXIMATION;12349;0;7;1675077407219;0.546167
pool-1-thread-8;APPROXIMATION;12350;0;7;1675077407221;0.031041
pool-1-thread-14;APPROXIMATION;12352;0;7;1675077407223;0.033208
pool-1-thread-14;APPROXIMATION;12351;0;7;1675077407223;1.438959
pool-1-thread-15;APPROXIMATION;12346;0;8;1675077407230;0.071459
pool-1-thread-18;APPROXIMATION;12348;0;8;1675077407230;0.031584
pool-1-thread-18;APPROXIMATION;12347;0;8;1675077407231;0.456083
pool-1-thread-22;APPROXIMATION;12349;0;8;1675077407232;0.028666
pool-1-thread-26;APPROXIMATION;12350;0;8;1675077407233;0.03425
pool-1-thread-19;APPROXIMATION;12352;0;8;1675077407234;0.020458
pool-1-thread-30;APPROXIMATION;12351;0;8;1675077407235;0.029542
pool-1-thread-28;HALTED;12346;0;9;1675077407238;0.674375
pool-1-thread-32;HALTED;12349;0;9;1675077407238;0.661333
pool-1-thread-29;HALTED;12352;0;9;1675077407239;0.023125
pool-1-thread-31;HALTED;12347;0;9;1675077407241;0.036959
pool-1-thread-2;HALTED;12348;0;9;1675077407242;0.048958
pool-1-thread-1;HALTED;12351;0;9;1675077407243;0.050333
pool-1-thread-11;HALTED;12350;0;9;1675077407246;0.051625
