tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12346;0;0;1675077406886;43.0585
pool-16-thread-2;INITIALIZATION;12347;0;0;1675077406929;0.114584
pool-16-thread-3;INITIALIZATION;12349;0;0;1675077406929;0.024583
pool-16-thread-4;INITIALIZATION;12348;0;0;1675077406929;0.025667
pool-16-thread-5;INITIALIZATION;12350;0;0;1675077406929;0.01775
pool-16-thread-6;INITIALIZATION;12351;0;0;1675077406940;0.036458
pool-16-thread-7;INITIALIZATION;12352;0;0;1675077406959;0.06875
pool-16-thread-8;APPROXIMATION;12346;0;1;1675077407005;0.066458
pool-16-thread-9;APPROXIMATION;12347;0;1;1675077407018;0.036166
pool-16-thread-10;APPROXIMATION;12348;0;1;1675077407031;0.028083
pool-16-thread-1;APPROXIMATION;12352;0;1;1675077407053;0.032541
pool-16-thread-1;APPROXIMATION;12350;0;1;1675077407056;0.07125
pool-16-thread-1;APPROXIMATION;12349;0;1;1675077407056;0.016417
pool-16-thread-1;APPROXIMATION;12351;0;1;1675077407133;0.04575
pool-16-thread-1;APPROXIMATION;12346;0;2;1675077407136;0.026208
pool-16-thread-1;APPROXIMATION;12347;0;2;1675077407138;0.029041
pool-16-thread-1;APPROXIMATION;12348;0;2;1675077407138;0.028375
pool-16-thread-1;APPROXIMATION;12349;0;2;1675077407141;0.034
pool-16-thread-1;APPROXIMATION;12350;0;2;1675077407144;0.031375
pool-16-thread-1;APPROXIMATION;12351;0;2;1675077407145;0.024417
pool-16-thread-1;APPROXIMATION;12352;0;2;1675077407147;0.05575
pool-16-thread-1;APPROXIMATION;12346;0;3;1675077407156;0.034833
pool-16-thread-1;APPROXIMATION;12347;0;3;1675077407158;0.031667
pool-16-thread-1;APPROXIMATION;12348;0;3;1675077407160;0.039875
pool-16-thread-1;APPROXIMATION;12349;0;3;1675077407161;0.065083
pool-16-thread-1;APPROXIMATION;12350;0;3;1675077407165;0.038417
pool-16-thread-1;APPROXIMATION;12351;0;3;1675077407167;0.03425
pool-16-thread-1;APPROXIMATION;12352;0;3;1675077407167;0.024833
pool-16-thread-1;APPROXIMATION;12346;0;4;1675077407173;0.039333
pool-16-thread-1;APPROXIMATION;12347;0;4;1675077407175;0.029917
pool-16-thread-1;APPROXIMATION;12348;0;4;1675077407177;0.034084
pool-16-thread-1;APPROXIMATION;12349;0;4;1675077407180;0.031958
pool-16-thread-1;APPROXIMATION;12350;0;4;1675077407182;0.029916
pool-16-thread-1;APPROXIMATION;12351;0;4;1675077407183;0.02875
pool-16-thread-1;APPROXIMATION;12352;0;4;1675077407184;0.043625
pool-16-thread-1;APPROXIMATION;12346;0;5;1675077407190;0.073292
pool-16-thread-1;APPROXIMATION;12347;0;5;1675077407191;0.0255
pool-16-thread-1;APPROXIMATION;12348;0;5;1675077407193;0.026834
pool-16-thread-1;APPROXIMATION;12349;0;5;1675077407196;0.036542
pool-16-thread-1;APPROXIMATION;12350;0;5;1675077407197;0.025792
pool-16-thread-1;APPROXIMATION;12352;0;5;1675077407197;0.028333
pool-16-thread-1;APPROXIMATION;12351;0;5;1675077407199;0.050084
pool-16-thread-1;APPROXIMATION;12346;0;6;1675077407203;0.029875
pool-16-thread-1;APPROXIMATION;12347;0;6;1675077407205;0.058666
pool-16-thread-1;APPROXIMATION;12349;0;6;1675077407209;0.038458
pool-16-thread-1;APPROXIMATION;12348;0;6;1675077407210;0.028375
pool-16-thread-1;APPROXIMATION;12350;0;6;1675077407211;0.024166
pool-16-thread-1;APPROXIMATION;12352;0;6;1675077407212;0.028667
pool-16-thread-1;APPROXIMATION;12351;0;6;1675077407212;0.031584
pool-16-thread-1;APPROXIMATION;12346;0;7;1675077407217;0.03025
pool-16-thread-1;APPROXIMATION;12347;0;7;1675077407218;0.032459
pool-16-thread-1;APPROXIMATION;12348;0;7;1675077407220;0.026042
pool-16-thread-1;APPROXIMATION;12349;0;7;1675077407220;0.026625
pool-16-thread-1;APPROXIMATION;12350;0;7;1675077407221;0.025583
pool-16-thread-1;APPROXIMATION;12352;0;7;1675077407224;0.032291
pool-16-thread-1;APPROXIMATION;12351;0;7;1675077407225;0.060417
pool-16-thread-1;APPROXIMATION;12346;0;8;1675077407230;0.02475
pool-16-thread-1;APPROXIMATION;12348;0;8;1675077407231;0.024916
pool-16-thread-1;APPROXIMATION;12347;0;8;1675077407231;0.02225
pool-16-thread-1;APPROXIMATION;12349;0;8;1675077407232;0.027584
pool-16-thread-1;APPROXIMATION;12350;0;8;1675077407234;0.064709
pool-16-thread-1;APPROXIMATION;12352;0;8;1675077407234;0.018125
pool-16-thread-1;APPROXIMATION;12351;0;8;1675077407241;0.055042
pool-16-thread-2;HALTED;12352;0;9;1675077407241;0.047042
pool-16-thread-9;HALTED;12349;0;9;1675077407241;0.015167
pool-16-thread-10;HALTED;12346;0;9;1675077407241;0.013958
pool-16-thread-3;HALTED;12347;0;9;1675077407241;0.027375
pool-16-thread-4;HALTED;12348;0;9;1675077407242;0.022291
pool-16-thread-5;HALTED;12351;0;9;1675077407243;0.018458
pool-16-thread-5;HALTED;12350;0;9;1675077407246;0.03475
