tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-3;INITIALIZATION;12346;0;0;1675077406781;12334.2555
pool-1-thread-4;INITIALIZATION;12347;0;0;1675077406855;10397.971708
pool-1-thread-5;INITIALIZATION;12349;0;0;1675077406881;6367.580375
pool-1-thread-1;INITIALIZATION;12348;0;0;1675077406897;8408.648792
pool-1-thread-7;INITIALIZATION;12350;0;0;1675077406919;4528.263208
pool-1-thread-8;INITIALIZATION;12351;0;0;1675077406939;2423.391292
pool-1-thread-9;INITIALIZATION;12352;0;0;1675077406958;427.274167
pool-1-thread-17;APPROXIMATION;12346;0;1;1675077407003;173.757958
pool-1-thread-18;APPROXIMATION;12347;0;1;1675077407017;161.363875
pool-1-thread-12;APPROXIMATION;12348;0;1;1675077407031;133.579292
pool-1-thread-20;APPROXIMATION;12352;0;1;1675077407052;93.661083
pool-1-thread-21;APPROXIMATION;12350;0;1;1675077407055;135.034
pool-1-thread-22;APPROXIMATION;12349;0;1;1675077407056;175.05025
pool-1-thread-23;APPROXIMATION;12351;0;1;1675077407132;192.611083
pool-1-thread-24;APPROXIMATION;12346;0;2;1675077407136;132.316083
pool-1-thread-25;APPROXIMATION;12347;0;2;1675077407136;119.01125
pool-1-thread-19;APPROXIMATION;12348;0;2;1675077407138;106.515334
pool-1-thread-29;APPROXIMATION;12349;0;2;1675077407140;83.5885
pool-1-thread-31;APPROXIMATION;12350;0;2;1675077407142;87.572292
pool-1-thread-31;APPROXIMATION;12351;0;2;1675077407143;10.770708
pool-1-thread-3;APPROXIMATION;12352;0;2;1675077407145;92.738208
pool-1-thread-8;APPROXIMATION;12346;0;3;1675077407155;18.761625
pool-1-thread-8;APPROXIMATION;12347;0;3;1675077407155;18.017833
pool-1-thread-6;APPROXIMATION;12348;0;3;1675077407159;21.634333
pool-1-thread-13;APPROXIMATION;12349;0;3;1675077407161;20.428583
pool-1-thread-16;APPROXIMATION;12350;0;3;1675077407163;20.611
pool-1-thread-16;APPROXIMATION;12352;0;3;1675077407163;17.588667
pool-1-thread-18;APPROXIMATION;12351;0;3;1675077407164;19.999667
pool-1-thread-22;APPROXIMATION;12346;0;4;1675077407172;16.980125
pool-1-thread-24;APPROXIMATION;12347;0;4;1675077407174;17.199125
pool-1-thread-25;APPROXIMATION;12348;0;4;1675077407175;15.89425
pool-1-thread-28;APPROXIMATION;12349;0;4;1675077407179;18.062708
pool-1-thread-30;APPROXIMATION;12350;0;4;1675077407181;17.505459
pool-1-thread-32;APPROXIMATION;12351;0;4;1675077407181;14.906291
pool-1-thread-2;APPROXIMATION;12352;0;4;1675077407182;16.685709
pool-1-thread-5;APPROXIMATION;12346;0;5;1675077407188;16.330375
pool-1-thread-7;APPROXIMATION;12347;0;5;1675077407190;15.813625
pool-1-thread-8;APPROXIMATION;12348;0;5;1675077407193;17.228542
pool-1-thread-6;APPROXIMATION;12349;0;5;1675077407195;15.936958
pool-1-thread-6;APPROXIMATION;12350;0;5;1675077407195;14.080083
pool-1-thread-15;APPROXIMATION;12352;0;5;1675077407197;13.393542
pool-1-thread-15;APPROXIMATION;12351;0;5;1675077407197;14.675375
pool-1-thread-18;APPROXIMATION;12346;0;6;1675077407202;14.070625
pool-1-thread-21;APPROXIMATION;12347;0;6;1675077407204;13.765334
pool-1-thread-24;APPROXIMATION;12349;0;6;1675077407208;13.303083
pool-1-thread-24;APPROXIMATION;12348;0;6;1675077407209;15.817208
pool-1-thread-24;APPROXIMATION;12350;0;6;1675077407209;13.147666
pool-1-thread-28;APPROXIMATION;12351;0;6;1675077407210;12.052458
pool-1-thread-29;APPROXIMATION;12352;0;6;1675077407211;13.754292
pool-1-thread-4;APPROXIMATION;12346;0;7;1675077407216;13.313333
pool-1-thread-3;APPROXIMATION;12347;0;7;1675077407218;13.502958
pool-1-thread-1;APPROXIMATION;12348;0;7;1675077407219;9.921625
pool-1-thread-1;APPROXIMATION;12349;0;7;1675077407219;10.669625
pool-1-thread-8;APPROXIMATION;12350;0;7;1675077407221;10.647084
pool-1-thread-14;APPROXIMATION;12352;0;7;1675077407223;11.402125
pool-1-thread-14;APPROXIMATION;12351;0;7;1675077407223;11.898167
pool-1-thread-15;APPROXIMATION;12346;0;8;1675077407230;13.760625
pool-1-thread-18;APPROXIMATION;12348;0;8;1675077407230;11.151084
pool-1-thread-18;APPROXIMATION;12347;0;8;1675077407231;12.857
pool-1-thread-22;APPROXIMATION;12349;0;8;1675077407232;11.732041
pool-1-thread-26;APPROXIMATION;12350;0;8;1675077407233;12.40675
pool-1-thread-19;APPROXIMATION;12352;0;8;1675077407234;10.95175
pool-1-thread-30;APPROXIMATION;12351;0;8;1675077407235;10.3225
pool-1-thread-28;HALTED;12346;0;9;1675077407238;8.028167
pool-1-thread-32;HALTED;12349;0;9;1675077407238;6.579792
pool-1-thread-29;HALTED;12352;0;9;1675077407239;5.399625
pool-1-thread-31;HALTED;12347;0;9;1675077407241;10.028667
pool-1-thread-2;HALTED;12348;0;9;1675077407242;11.585958
pool-1-thread-1;HALTED;12351;0;9;1675077407243;8.221958
pool-1-thread-11;HALTED;12350;0;9;1675077407246;12.135792
