tid;type;receiverPort;reqIdInternal;Round;startWalltime;duration
pool-15-thread-1;INITIALIZATION;-1;0;0;1675077406665;22.266291
pool-15-thread-1;APPROXIMATION;-1;0;1;1675077406989;3.494125
pool-15-thread-1;APPROXIMATION;-1;0;2;1675077407135;15.758375
pool-15-thread-1;APPROXIMATION;-1;0;3;1675077407150;16.590959
pool-15-thread-1;APPROXIMATION;-1;0;4;1675077407168;14.552625
pool-15-thread-1;APPROXIMATION;-1;0;5;1675077407185;12.309416
pool-15-thread-1;APPROXIMATION;-1;0;6;1675077407199;12.125583
pool-15-thread-1;APPROXIMATION;-1;0;7;1675077407212;10.355667
pool-15-thread-1;APPROXIMATION;-1;0;8;1675077407226;8.791875
pool-15-thread-1;HALTED;-1;0;9;1675077407242;2.29075
