type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694091633;0.025181
INITIALIZATION;12346;100;0;1672694091634;0.020561
INITIALIZATION;12347;100;0;1672694091634;0.02621
INITIALIZATION;12348;100;0;1672694091634;0.01243
INITIALIZATION;12350;100;0;1672694091634;0.01838
INITIALIZATION;12352;100;0;1672694091634;0.02465
INITIALIZATION;12351;100;0;1672694091635;0.01489
APPROXIMATION;12345;100;1;1672694091635;0.04583
APPROXIMATION;12346;100;1;1672694091635;0.05186
APPROXIMATION;12347;100;1;1672694091635;0.01196
APPROXIMATION;12348;100;1;1672694091635;0.012871
APPROXIMATION;12351;100;1;1672694091635;0.01193
APPROXIMATION;12352;100;1;1672694091635;0.176752
APPROXIMATION;12346;100;2;1672694091635;0.181112
APPROXIMATION;12345;100;2;1672694091636;0.00712
APPROXIMATION;12350;100;1;1672694091636;0.01251
APPROXIMATION;12347;100;2;1672694091636;0.00896
APPROXIMATION;12348;100;2;1672694091636;0.01847
APPROXIMATION;12351;100;2;1672694091636;0.02083
APPROXIMATION;12352;100;2;1672694091636;0.043661
HALTED;12346;100;3;1672694091637;0.01896
APPROXIMATION;12350;100;2;1672694091637;0.01382
HALTED;12345;100;3;1672694091637;0.063631
HALTED;12347;100;3;1672694091637;0.06007
HALTED;12348;100;3;1672694091637;0.0167
HALTED;12352;100;3;1672694091637;0.01345
HALTED;12351;100;3;1672694091637;0.01244
HALTED;12350;100;3;1672694091637;0.01431
INITIALIZATION;12345;101;0;1672694091738;0.01217
INITIALIZATION;12346;101;0;1672694091739;0.02283
INITIALIZATION;12347;101;0;1672694091739;0.01919
INITIALIZATION;12348;101;0;1672694091739;0.01531
INITIALIZATION;12352;101;0;1672694091739;0.01575
INITIALIZATION;12351;101;0;1672694091739;0.018251
INITIALIZATION;12350;101;0;1672694091739;0.817047
APPROXIMATION;12345;101;1;1672694091739;0.757356
APPROXIMATION;12348;101;1;1672694091740;0.164852
APPROXIMATION;12351;101;1;1672694091740;0.031081
APPROXIMATION;12346;101;1;1672694091740;0.043881
APPROXIMATION;12347;101;1;1672694091740;0.0127
APPROXIMATION;12350;101;1;1672694091740;0.05026
APPROXIMATION;12345;101;2;1672694091740;0.067701
APPROXIMATION;12346;101;2;1672694091741;0.01501
APPROXIMATION;12352;101;1;1672694091741;0.045521
APPROXIMATION;12347;101;2;1672694091741;0.00693
APPROXIMATION;12348;101;2;1672694091741;0.024181
APPROXIMATION;12350;101;2;1672694091741;0.160671
APPROXIMATION;12351;101;2;1672694091741;0.144291
HALTED;12345;101;3;1672694091741;0.133191
HALTED;12348;101;3;1672694091741;0.011951
APPROXIMATION;12352;101;2;1672694091742;0.02752
HALTED;12346;101;3;1672694091742;0.0231
HALTED;12347;101;3;1672694091742;0.01507
HALTED;12351;101;3;1672694091742;0.01464
HALTED;12350;101;3;1672694091742;0.007351
APPROXIMATION;12352;101;3;1672694091742;0.020401
HALTED;12352;101;4;1672694091789;0.01503
INITIALIZATION;12345;102;0;1672694091842;0.0154
INITIALIZATION;12346;102;0;1672694091843;0.01395
INITIALIZATION;12347;102;0;1672694091843;0.01287
INITIALIZATION;12348;102;0;1672694091843;0.013661
INITIALIZATION;12350;102;0;1672694091843;0.0142
INITIALIZATION;12352;102;0;1672694091843;0.02142
INITIALIZATION;12351;102;0;1672694091843;0.00861
