type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694091632;0.0
INITIALIZATION;12346;100;0;1672694091634;0.0
INITIALIZATION;12347;100;0;1672694091634;0.0
INITIALIZATION;12348;100;0;1672694091634;0.0
INITIALIZATION;12350;100;0;1672694091634;0.0
INITIALIZATION;12352;100;0;1672694091634;0.0
INITIALIZATION;12351;100;0;1672694091635;0.0
APPROXIMATION;12345;100;1;1672694091635;0.0
APPROXIMATION;12346;100;1;1672694091635;0.0
APPROXIMATION;12347;100;1;1672694091635;0.0
APPROXIMATION;12348;100;1;1672694091635;0.0
APPROXIMATION;12351;100;1;1672694091635;0.0
APPROXIMATION;12352;100;1;1672694091635;0.0
APPROXIMATION;12346;100;2;1672694091635;0.0
APPROXIMATION;12345;100;2;1672694091636;0.0
APPROXIMATION;12350;100;1;1672694091636;0.0
APPROXIMATION;12347;100;2;1672694091636;0.0
APPROXIMATION;12348;100;2;1672694091636;0.0
APPROXIMATION;12351;100;2;1672694091636;0.0
APPROXIMATION;12352;100;2;1672694091636;0.0
HALTED;12346;100;3;1672694091637;0.0
APPROXIMATION;12350;100;2;1672694091637;0.0
HALTED;12345;100;3;1672694091637;0.0
HALTED;12347;100;3;1672694091637;0.0
HALTED;12348;100;3;1672694091637;0.0
HALTED;12352;100;3;1672694091637;0.0
HALTED;12351;100;3;1672694091637;0.0
HALTED;12350;100;3;1672694091637;0.0
INITIALIZATION;12345;101;0;1672694091738;0.0
INITIALIZATION;12346;101;0;1672694091739;0.0
INITIALIZATION;12347;101;0;1672694091739;0.0
INITIALIZATION;12348;101;0;1672694091739;0.0
INITIALIZATION;12352;101;0;1672694091739;0.0
INITIALIZATION;12351;101;0;1672694091739;0.0
INITIALIZATION;12350;101;0;1672694091739;0.0
APPROXIMATION;12345;101;1;1672694091739;0.0
APPROXIMATION;12348;101;1;1672694091740;0.0
APPROXIMATION;12346;101;1;1672694091740;0.0
APPROXIMATION;12351;101;1;1672694091740;0.0
APPROXIMATION;12347;101;1;1672694091740;0.0
APPROXIMATION;12350;101;1;1672694091740;0.0
APPROXIMATION;12345;101;2;1672694091740;0.0
APPROXIMATION;12346;101;2;1672694091741;0.0
APPROXIMATION;12352;101;1;1672694091741;0.0
APPROXIMATION;12347;101;2;1672694091741;0.0
APPROXIMATION;12348;101;2;1672694091741;0.0
APPROXIMATION;12350;101;2;1672694091741;0.0
APPROXIMATION;12351;101;2;1672694091741;0.0
HALTED;12345;101;3;1672694091741;0.0
HALTED;12348;101;3;1672694091741;0.0
APPROXIMATION;12352;101;2;1672694091741;0.0
HALTED;12346;101;3;1672694091742;0.0
HALTED;12347;101;3;1672694091742;0.0
HALTED;12351;101;3;1672694091742;0.0
HALTED;12350;101;3;1672694091742;0.0
APPROXIMATION;12352;101;3;1672694091742;0.0
HALTED;12352;101;4;1672694091789;0.0
